Feature,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14,Factor_15,Factor_16,Factor_17,Factor_18,Factor_19,Factor_20,Factor_21,Factor_22,Factor_23,Factor_24,Factor_25,Factor_26,Factor_27,Factor_28,Factor_29
rigidity_left,0.042117354,0.010615353,0.041434202,-0.05668878,0.00020670991,0.24552312,0.07842597,-0.13977242,-0.02110786,-0.2083692,-0.18450688,0.0049770665,0.10586742,0.5263435,0.12407782,-0.29352066,0.015964564,0.09134181,0.025555117,0.13156019,-0.023170177,0.008474519,0.014504404,-0.13419357,-0.07869515,0.03462426,0.10920268,0.05644708,0.028454674,0.25324795
rigidity_right,0.009953322,-0.04612906,0.20117752,0.012877577,0.12263075,-0.34193286,-0.005441039,-0.12481917,0.019341873,-0.03257813,-0.09307641,0.20830005,0.014417177,0.038345672,-0.19474277,-0.0070066284,-0.26613846,0.13664098,0.04163673,-0.10443893,0.037256114,0.022577886,0.2373008,-0.16795234,0.044043675,0.17178702,0.0039024402,-0.044630818,-0.20601809,-0.18917161
tremor_rest_left,-0.44427404,-0.025083123,-0.13259237,-0.018332634,-0.06915282,-0.12564212,-0.08897652,-0.29026493,-0.25833812,-0.18125524,-0.06630759,0.057358027,-0.10920404,0.122897744,-0.29777506,-0.140379,0.25715184,-0.041840386,-0.14585823,0.1290413,0.23740675,-0.10530234,-0.077986516,0.030401196,-0.107001536,-0.10049142,0.081829526,0.060230818,0.06507906,-0.12961884
tremor_rest_right,0.008874862,0.00049209653,0.18063655,0.13382342,-0.028340494,-0.09957185,0.29406765,-0.26928893,-0.27399904,-0.06678738,-0.013380875,-0.101040795,0.10384023,-0.21827614,-0.29432574,-0.11569589,-0.019177968,-0.073405124,0.05072474,0.07432096,0.06309721,-0.23359011,-0.09159797,-0.063864894,-0.2326095,0.092208914,0.1932244,0.036137614,0.004088947,0.012760312
tremor_postural_left,0.006450327,-0.001408155,-0.19367255,-0.21115993,0.20560005,-0.039430685,-0.05819663,-0.12992051,0.03471817,-0.090355664,-0.12499078,0.12662563,-0.199149,0.30753678,-0.07094651,0.013422191,-0.06364499,0.041614715,-0.25348273,0.2822572,0.05047709,0.04725504,-0.24417879,-0.35981244,0.06537946,0.06545076,-0.15058403,0.14882542,0.180775,0.06843426
tremor_postural_right,0.04837589,0.054274622,-0.1110579,0.17187703,-0.014551096,-0.0057889177,-0.09643625,0.13732146,-0.11804081,-0.07145328,-0.10930146,-0.019618256,0.048555553,-0.0110565135,0.046551105,-0.120925516,0.01809515,-0.15592356,-0.21501589,0.07513967,0.080979995,-0.26503998,0.07465896,0.02800017,-0.085771576,2.5123441e-05,0.3443845,-0.056427814,0.057981495,-0.08231001
bradykinesia_speed_left,-0.017669197,0.07259671,0.023919601,0.0058779432,-0.085041605,0.19434226,-0.023795797,-0.047823973,-0.19240822,-0.117812075,-0.013404016,-0.036015444,0.0003365347,0.38130164,0.049477305,0.1476805,0.19845767,0.16322325,-0.026639728,0.110575624,-0.029148942,-0.0074307653,-0.042017024,-0.03896209,0.07014514,-0.24735548,0.09063897,-0.011526084,0.027451633,-0.17373402
bradykinesia_speed_right,0.24566627,0.040990677,-0.03024258,0.2019743,-0.047291387,-0.15223563,0.037772954,-0.08952213,0.06836148,0.02886797,-0.18870082,-0.08270604,0.07956239,-0.070564605,0.042628955,0.031662133,-0.32911906,-0.19293931,0.19062665,-0.16890185,-0.00463553,-0.06096247,0.10316814,-0.0015798401,0.026753457,0.05496324,0.097132154,-0.16400786,0.03206762,-0.02153607
bradykinesia_amplitude_left,-0.12146056,-0.18027705,0.08196796,-0.1790477,-0.06369417,0.26496157,-0.003727544,-0.10274828,-0.16519812,-0.10928478,-0.003110851,-0.087660015,0.029072115,0.11132456,-0.029031428,-0.007895295,0.05318879,0.17343844,0.11793625,0.15576631,0.08637146,0.20115902,0.03349696,-0.14483066,-0.04984469,-0.17022228,-0.045988135,0.07882232,0.01645963,-0.073024936
bradykinesia_amplitude_right,-0.07124371,-0.01480907,0.0066353204,0.013211568,0.011511983,0.035837468,-0.018887477,-0.046118688,-0.043868043,0.087110415,-0.078622006,0.004901575,0.005749539,-0.034397442,-0.10101678,-0.17709883,-0.19181217,-0.07377018,0.066716745,-0.08928743,0.18923186,0.18529457,0.022875864,0.10832234,0.15770525,-0.09359402,-0.037001446,0.05267406,-0.023000754,-0.07998924
