Feature,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14,Factor_15,Factor_16,Factor_17,Factor_18,Factor_19,Factor_20,Factor_21,Factor_22,Factor_23,Factor_24,Factor_25,Factor_26,Factor_27,Factor_28,Factor_29
volume_sn_voxels_feature_0,-1.2231965,0.06262954,0.5716666,0.653346,-0.6426835,-1.16238,0.29031274,-0.15348227,0.18222558,0.5874543,0.6483744,-0.5431299,0.7269993,0.008362873,0.09828719,1.7046648,-0.43490088,-0.5345039,0.10164729,0.24050023,0.5349025,-0.1698056,0.81069463,-0.063226126,-0.024077643,-0.19963399,-0.6195599,-0.8913591,-1.3260086,0.1851649
volume_sn_voxels_feature_1,-1.4774342,-0.34064606,-0.14754103,0.96370196,-0.41397837,-0.34740216,1.1063635,-0.60997206,0.22389516,0.6263647,-0.16825119,-0.122019224,0.6427696,-0.13420309,-0.14563273,1.5192307,0.17915726,-0.40435126,-0.40201974,0.53810257,0.93173665,0.90681,-1.0491426,0.02342035,-0.093541935,-0.5822652,0.12755848,0.097205244,-1.3213193,0.028101208
volume_sn_voxels_feature_2,0.10024217,0.33820406,1.0447612,0.072275266,-0.12619391,-0.78132737,-1.0615189,-0.036172487,-0.16501085,0.31375703,0.2744495,-0.36775875,-0.37913537,-0.10541253,0.23140672,1.4904947,-0.14533204,0.3305817,-0.011573027,-0.19831838,0.06055435,-0.899841,1.0583277,0.100273736,0.19037722,1.0092585,-0.5616114,-0.5677201,-0.7292047,-0.29075867
volume_sn_voxels_feature_3,-0.017949218,-0.5076709,0.43938956,0.0037025276,0.0684514,-0.071730845,-1.0121074,-0.08052639,-0.23010166,0.28743404,-0.48708585,0.2815407,-0.6374473,-0.5270984,-0.1464911,1.4324875,-0.017805872,0.36675897,0.080926724,0.14861654,-0.2789739,-0.10918769,-0.56161207,0.28739965,0.017756205,0.28858453,-0.06822578,0.23988384,-0.9912038,-0.13464619
volume_sn_voxels_feature_4,0.5862648,-0.7358682,0.83760166,-1.0232368,0.27592725,0.8919118,-1.3503642,-0.3542864,-1.0807092,-0.03328058,-0.5896384,0.35141632,-1.0290061,-0.6629333,-0.0825681,1.05561,-0.5508877,0.8240505,0.39865163,-0.9761545,-0.13280626,-0.4405965,-0.3039372,0.1091909,0.8987884,0.7616654,-0.19296284,0.5084326,1.0112529,-0.6840434
volume_sn_voxels_feature_5,0.24383318,-1.3828396,1.2097797,0.85730577,-0.28949818,-0.9563822,-1.2867076,0.10372875,-0.6241714,0.770794,0.2249334,-0.45279834,-1.1823097,-0.106449194,0.00857459,1.4215258,-0.3076537,1.1439359,-0.34441224,1.1354848,-1.3313779,-1.2759045,-0.96222657,1.1045035,-0.41356152,0.4467794,-0.3388154,0.35793737,-0.4355254,0.06959046
volume_sn_voxels_feature_6,0.381602,-1.3660133,0.40261254,1.0081927,-0.09491318,-0.6046157,-1.3115278,0.1995791,0.48484394,0.7114642,0.2760977,0.3013432,0.37543377,-0.09401684,0.025040664,0.83691317,-0.65529186,0.3571033,-0.31427726,1.0169578,-0.15457466,-0.7016775,-0.052543487,0.9289254,-0.2500899,0.7672182,-0.43422455,0.06897075,-0.120182715,0.010998345
volume_sn_voxels_feature_7,-0.053635884,-1.643052,0.68941057,0.3501863,-0.24419734,-0.30364674,-1.2086784,-0.66375154,-0.17900057,0.87391496,0.5048917,-0.49788672,-0.9395753,-0.4170858,-1.1601676,-0.0039759176,0.46048614,0.39379987,-0.12877972,0.47877792,-1.1466923,-0.7847286,-1.0892876,0.99424267,-0.30792907,0.0027186146,0.029947411,0.16042002,-0.99698806,0.55484176
volume_sn_voxels_feature_8,0.24443379,-1.1408645,-1.2514678,0.1430658,0.840967,-0.24185051,-1.4983045,-0.25424424,0.12945859,1.0097243,-0.0666612,0.14509006,0.23161882,0.12758058,-1.2553087,0.31281167,0.60728794,-0.31975862,0.55065876,-0.32577044,1.1233357,0.12756094,0.7463748,-0.318886,0.7117322,-1.4270991,0.05867682,-0.2730319,-0.5298577,0.47825763
volume_sn_voxels_feature_9,0.67004156,-1.3609065,-1.4616182,-0.091964215,0.63169146,-0.31046566,-1.1153132,0.06687696,-0.018591587,0.6418173,-0.45747676,-0.23232765,0.30415106,0.922627,-0.93660265,0.12663466,1.1859106,-0.109775975,1.064102,-0.8014002,1.2308419,0.31130213,1.4836817,-0.0654981,0.6204298,-1.4104017,0.361854,-0.37153774,-0.26003987,-0.0027666
