0,1,2,3,4
0.5647456,-0.092255555,-0.1346632,0.25858098,0.16862966
-0.7430444,1.2118057,1.3962775,-1.4088583,-0.43052047
-0.5784461,-0.7956661,-0.53211576,0.21089059,0.07730476
0.8691439,0.18724501,-0.73425376,-0.85416377,-1.0389527
-0.43292147,0.06123754,0.8544919,-0.028939305,0.7772512
-0.39987317,0.41403535,0.44569847,0.7160144,-0.8771882
-0.63474244,-0.29875982,0.34326828,-0.035167016,-0.097766586
0.026883481,-0.8762447,0.72337997,-0.09419046,0.8297492
0.15203623,-0.39535254,0.28588772,-0.6208217,0.7714143
-0.074994855,-0.017758086,0.5423422,-0.17724447,0.7096806
0.12195993,0.36360648,-1.122949,-0.016392455,0.22129288
0.62738425,0.59026235,0.5048464,-0.42679077,0.32432684
0.33036312,0.4308756,-0.7816512,-0.59218496,0.16470267
-0.32574952,0.51550245,-1.0740432,-0.1929711,0.7726051
-0.4725736,0.6794769,-1.1491284,-0.25736037,0.30669272
-0.8328866,-0.54914325,0.28668162,-1.1084732,0.4137502
-0.5771091,0.6587645,-0.060864832,-0.85509586,-0.0642345
-1.653736,-0.66966116,1.3203253,0.18885086,0.55729735
-0.23759268,0.22597773,-0.09008928,-0.71353465,0.036497913
0.2973714,0.14201139,0.12416715,0.20115355,0.84804684
0.21000583,0.4487054,0.47261629,-0.47891182,0.97452396
-0.115321554,-0.13145344,-0.9432756,-0.5273341,-0.18503296
1.7785047,-0.7873182,0.3770014,-0.5960526,-0.4628382
-0.859568,-0.16432635,-0.41009855,-0.7073365,-0.44217855
0.67273074,0.00658598,-0.14098066,-0.6008116,-0.3905981
0.73758763,-0.32295656,0.3027709,0.35294825,0.07338097
0.7156854,-0.03260712,-0.9876858,-0.76281494,0.47678337
1.2667192,-0.07458157,-1.4136605,-0.21024995,0.34773564
-0.08649928,-0.15016656,-0.48384526,-0.5103904,0.7551477
0.79182047,0.064121805,0.6045845,-0.89983225,0.64573693
-1.2330114,-0.62532645,0.9934239,0.43400052,0.80370426
-0.145187,-0.07731315,-1.4486246,-0.105982244,0.5858645
-0.6124892,-0.012031492,-0.14421342,-0.852353,0.21303238
0.6303225,1.009768,-0.7727583,-0.8781696,0.81226647
-0.83572143,1.2714386,1.9597563,0.61665076,0.2775032
0.5402373,1.0266557,-0.5832316,-0.49160492,0.48880786
-0.154751,-0.60055673,0.19494013,-0.41267666,0.56985605
0.012580563,-0.024819182,-0.3776435,0.3518912,-0.08642399
0.3844051,-0.42636994,0.17197599,0.027643485,0.014596972
0.11778696,0.23354727,-0.6630061,-0.019956725,-1.1304737
0.82849705,0.0007581227,-0.7179335,0.14693238,0.21235734
-0.24687628,-0.3869639,0.43025464,-1.8005211,-0.26800746
-1.3215855,-1.3708628,0.38776016,0.014824089,-1.0776387
-0.1912342,-0.11380017,-0.6867471,0.8674986,0.07176086
1.1232445,-0.043225404,-0.069074355,-0.08910669,0.14058094
-0.48226213,-1.1715856,0.24511875,-0.08426004,-0.5727473
0.4070085,-0.66977197,0.13395785,-0.689738,-0.34153125
-0.9846787,-0.57713443,0.11037918,-0.083538756,0.21017578
0.23041944,-0.14261088,0.05780208,0.9694418,0.46296856
-1.4560646,-0.55651104,-0.15455027,-1.164344,1.0192261
0.32048985,1.0502241,-0.40730068,-0.14925131,-1.4501009
-0.08930336,0.3948324,0.36244178,-0.14454268,-0.8756593
-0.7076183,-0.16037172,0.38702208,-0.34562403,-0.7251509
0.30588618,-0.7903327,-0.3446192,-1.3016008,0.96389234
-0.02018225,0.9115301,0.09070363,-0.72415495,0.68768203
-0.6343002,-0.015535896,-0.5606293,-1.0617385,1.2447878
-0.09091759,-0.0155807845,-0.10947304,-0.1698538,-0.43907222
-0.42781585,0.31406158,1.358688,-0.7561641,0.0059362454
