Feature,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14,Factor_15,Factor_16,Factor_17,Factor_18,Factor_19,Factor_20,Factor_21,Factor_22,Factor_23,Factor_24,Factor_25,Factor_26,Factor_27,Factor_28,Factor_29,Factor_30,Factor_31,Factor_32,Factor_33,Factor_34,Factor_35,Factor_36,Factor_37,Factor_38,Factor_39,Factor_40,Factor_41,Factor_42,Factor_43,Factor_44,Factor_45,Factor_46,Factor_47,Factor_48,Factor_49
volume_sn_voxels_feature_0,0.4290009,-0.34526643,-0.041655626,1.2903948,0.31399557,1.4715624,-1.1196637,0.7799223,-0.4745205,0.61668086,0.45068833,-0.40966952,0.34375075,1.0586082,0.5605497,0.67827916,0.1252492,-0.10281626,0.10833457,0.18535519,-0.16635197,0.42419237,1.1442696,0.20484097,0.3620852,-0.74146044,0.37807435,-0.31559014,0.81645656,-0.0041162325,-1.0168401,-1.3301404,0.20282711,0.13593654,0.08984483,-0.012104661,0.7708226,-0.2493396,-0.65724397,-1.2647368,-0.609674,1.1122274,0.23633072,0.39684442,-0.14947201,-0.1856483,-0.26086354,-0.09044598,0.804834,0.34955654
volume_sn_voxels_feature_1,-0.74059254,0.24454528,0.5294626,0.27975148,-0.824843,1.5247886,-1.2124017,0.39760283,0.06183387,-0.030799652,-0.13550703,-0.5208838,0.10190489,0.41397876,-0.22573052,-0.5894685,0.099796124,-0.08407176,-0.15579566,-1.159473,-0.82504314,-0.47116983,1.0718732,-0.20595862,1.4016628,-0.52097464,0.34591854,1.0189627,-0.026185775,-0.19430692,-0.8398593,-1.7819182,0.5540846,-0.4164829,0.929642,0.06880919,-0.13529047,0.19872513,-0.22693846,-0.051587325,-0.5361102,1.1795316,-0.30462164,-0.6225762,-0.38004893,-0.34676915,-0.023074523,-0.21364048,-0.04965564,0.38498136
volume_sn_voxels_feature_2,0.18596952,0.1941705,0.06774954,1.1931579,0.13514988,1.1899738,0.31816745,-0.037413143,-0.4664247,-0.037453372,0.29595155,-0.05675202,1.0787151,-1.0993546,0.9394897,1.028441,-0.050454415,-0.45183623,0.38964084,-0.17140424,0.6368773,0.9899004,0.09680663,0.35745355,-0.18974125,-0.26119372,-0.4415076,-0.88999534,0.42623043,0.22117057,-0.40403038,-1.1906449,0.123937644,0.85213673,0.14957176,0.7459209,0.6361819,0.052998524,-0.375924,-0.95042175,-1.0126772,0.21426308,0.6255975,-0.016133666,-0.25853565,-0.95467776,-0.4715231,0.3406092,0.7142797,-0.446582
volume_sn_voxels_feature_3,-0.46621978,0.725857,0.15372072,-0.122215405,-0.38551196,1.00922,0.8198305,-0.13139799,0.13549031,-0.47610888,-0.32427916,-0.14908038,0.31463996,-1.3057541,0.20126148,0.38953242,-0.0680687,-0.63085675,-0.025270324,-0.29522428,-0.31391838,-0.057658672,0.24719524,0.3850883,0.33159375,0.28073558,-0.14424196,0.15526673,0.170389,-0.14899747,0.38737518,-1.0243987,-0.59233814,0.29250255,0.49841464,0.62352717,0.104519166,0.27157825,-0.775663,0.13392405,0.028873648,0.1877323,0.42714503,-0.19438651,-0.013039223,-0.60332304,0.6212769,-0.4747519,-0.09215783,-0.12646534
volume_sn_voxels_feature_4,-0.10175485,1.1642901,-0.43904012,0.09471437,-0.05606476,1.3465275,1.4070631,0.0003612047,0.09514283,-0.16946022,-0.60664445,-0.9496489,1.140427,-1.524598,0.729815,0.27356625,-0.5906689,0.08361601,0.6049537,-0.0255613,-0.2424767,0.17704874,-1.1087191,0.9899907,0.46388847,0.4322746,-0.83744806,0.17893407,0.15988001,0.94681495,0.92620057,-1.6807822,-0.23490661,0.5088727,0.65810686,1.0095221,-0.14537412,0.34825152,0.039761905,0.5268667,-0.48066065,-0.5123209,-0.19798209,0.02585405,-0.11646708,0.105286084,-0.42838863,0.84040403,-0.514861,-0.52459854
volume_sn_voxels_feature_5,-0.33710396,0.5643835,1.0240378,0.69122845,1.0564799,1.531356,0.27892295,0.32503366,-1.3441967,-1.470254,-0.0135407,0.47412416,-0.73567444,0.8426913,1.456149,0.804792,-0.35910526,-0.61640054,1.062042,-0.03646817,-1.3345497,-1.0383688,-0.13438159,0.71473813,0.27971128,-0.45080894,0.53386056,-0.4880684,-0.09882995,0.14731507,0.54758435,0.12422434,-1.2926217,1.3491645,-0.25177634,0.4798271,-0.32699254,-0.17180772,1.2616841,-0.29666996,0.34496304,0.056248963,0.5804879,-0.21447815,0.043413658,-0.016411692,0.671264,-0.17979002,0.24531206,0.52897894
volume_sn_voxels_feature_6,0.29905084,0.099422194,1.4451721,0.8275096,-0.19800252,1.566916,-0.8503591,-0.09401305,-0.057919152,-1.7071373,0.75895536,-0.2532646,1.0454202,1.479052,0.70609766,1.1170084,0.4769986,0.23132664,1.1337528,-0.52294123,-0.666254,0.35343176,-0.15104057,0.33374155,0.90466,-0.02426829,0.71969914,-0.08378516,0.09382384,-0.3063113,-0.10969241,0.12726584,0.83120227,1.4747517,0.13744995,0.6641105,0.71065605,-0.48070174,1.6663684,-0.45027074,-0.76206106,-0.5048772,0.17386508,-0.0085477345,-0.11788814,-0.88541436,0.007531956,-0.8880571,0.25840157,-0.15340352
volume_sn_voxels_feature_7,0.5567196,0.08899849,-0.03814166,-0.2029982,0.34995094,1.6633857,0.026841715,-0.39374498,-0.8886056,-1.117992,-0.48122677,0.27665097,0.11137937,1.2736769,0.8454316,0.24041963,-0.1137505,-0.29644692,1.3740468,0.7596292,-0.66720885,-0.26707998,0.23913126,0.19877689,-1.0843285,0.17209978,-0.47002286,0.46612686,-0.06417271,0.08470449,0.50115114,-0.13301685,-1.6004562,0.7876731,0.046224203,0.2203189,-0.14521833,0.004094216,1.7119554,-0.31843624,0.7046926,0.01097408,-0.13641272,0.27656087,-0.33445734,0.48182455,0.33704922,0.47403392,0.36963585,-0.08984411
volume_sn_voxels_feature_8,-0.079504706,-0.8235922,0.2225688,0.052835852,-0.6191864,1.4996865,0.1562949,-0.1713525,0.22768623,0.9889237,0.05899499,0.06895549,0.40877986,0.6097833,0.4365438,-0.22832678,0.37457424,0.16504854,0.074771196,0.78900033,0.31229928,0.49224886,-0.068841666,0.05309054,-0.21426074,0.019101914,-0.114382505,0.3601385,0.004012339,0.25010943,-0.1651175,-0.10618054,-0.59915215,-0.60207844,0.08992003,-0.45567328,0.4099164,0.012111731,1.7159687,0.31092322,-0.08119314,-0.17537689,-0.10392843,0.01036769,-0.04900068,-0.260519,-0.16971491,-0.015549568,-0.30008465,-0.17800617
volume_sn_voxels_feature_9,-0.621717,-0.13374475,-0.018902553,0.28511608,-0.048320714,1.5561466,0.19657911,0.19156502,0.062439404,1.2656031,0.04104166,0.39914307,-1.1274419,0.22463298,-0.16227028,-0.019129002,-0.18797326,0.27636075,-0.15616228,0.83113545,0.26366183,-0.24558318,-0.1416093,0.33453113,-0.12841055,0.061401665,-0.34216762,-0.3993233,-0.14438166,0.84038836,-0.099217504,-0.12658481,-1.5806853,-0.07588818,0.15976362,-0.73201704,-0.018636715,0.22873054,1.5567611,0.65980834,-0.2472302,-0.077204674,0.24935737,-1.0158182,0.02057197,-0.25718614,-0.8439545,0.44150484,-0.1978375,-0.053203613
