Feature,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9
rigidity_left,0.0001588108,-0.00044613075,-0.0007663695,-0.00021553788,0.0013117933,-0.0012641341,0.0022015304,-0.00078704726,0.0007908463,3.387262e-05
rigidity_right,-3.2881453e-05,-0.00027585722,-0.0004499194,0.00070536474,-0.0017468225,-0.001150737,-0.00011670338,-0.0009772275,-0.0009982433,0.00049962517
tremor_rest_left,0.0001888425,-0.0008112246,-2.1898495e-05,-0.0006113583,0.00052098796,0.0013310112,0.0020155443,0.0014120522,0.0014916629,-0.0013625103
tremor_rest_right,0.00014893821,-0.0004818352,-2.1107957e-05,-0.0004608145,-0.0010075636,0.00058514904,0.0003860538,0.0010690102,-0.0015426072,-0.0019437788
tremor_postural_left,-0.00034367474,-0.0010142239,-0.00029999018,-0.0009438911,0.0013628047,0.0010073218,0.0004968091,0.00040375176,0.0015855866,0.00024712435
tremor_postural_right,4.0882398e-05,-5.562802e-05,0.00083660544,7.3415606e-05,-0.0022018861,0.00048250132,-0.0018189041,0.0008298767,-0.0016160574,-0.0010159422
bradykinesia_speed_left,0.0003766364,0.000102350474,0.00014819979,0.00048320013,0.0014912535,-0.0009093996,0.001717903,-0.0005537147,0.0011731636,0.000887648
bradykinesia_speed_right,-5.3138465e-05,0.00019984828,-0.0003260988,0.0010458808,-0.0014803315,-0.00012009051,-0.0012217583,0.0013822751,-0.0017827326,-0.0009875881
bradykinesia_amplitude_left,0.00040330796,-9.969167e-05,9.531761e-05,-0.00024872884,0.0018208954,-0.001141893,0.001334299,-0.00086279714,0.0013013247,0.0012005949
bradykinesia_amplitude_right,-6.6386824e-06,-3.210836e-05,-0.0002427166,0.0007222311,-0.0013506294,-0.00042518726,-0.0020469178,0.00066954235,-0.00200269,-0.0004746982
bradykinesia_rhythm_left,0.00028424425,0.00025958818,-7.614361e-05,0.0002285158,0.0004939496,-0.0012056897,-0.00028990064,-0.0013745473,0.0021377457,6.5779124e-05
bradykinesia_rhythm_right,0.00032573467,0.0002856523,0.00021705499,0.0006009954,-0.0012536036,-0.002086486,-0.0027673189,-0.0004292128,-0.0018188574,0.0011527397
mirrormovement_left,-0.0005059924,-0.00046299747,-0.00068277185,0.0025597434,-0.0038958236,-0.0016489847,0.00032679623,0.001129944,-0.0016540638,-0.0038158917
mirrormovement_right,0.0005089833,2.735154e-05,0.00063898996,0.0010923529,0.0037109638,-0.0013811747,0.0029641255,-0.00010243727,0.0022832337,-4.6289802e-05
