Feature,Factor_0,Factor_2,Factor_3,Factor_7,Factor_13,Factor_18
volume_sn_voxels_feature_0,-0.3191305696964264,1.4726002216339111,-0.8442925214767456,-0.4325386583805084,-0.10309851169586182,0.26159489154815674
volume_sn_voxels_feature_1,0.7725701332092285,1.2989786863327026,-0.800418496131897,-0.7126668095588684,1.1831051111221313,0.3220043182373047
volume_sn_voxels_feature_2,-0.6066172122955322,1.3696870803833008,-0.5235511660575867,0.004771631211042404,-0.7946455478668213,-0.0931304469704628
volume_sn_voxels_feature_3,0.3104603588581085,1.3821170330047607,-0.45578593015670776,-0.330329030752182,0.25737544894218445,-0.3327674865722656
volume_sn_voxels_feature_4,-0.2734434902667999,1.3079910278320312,0.16885609924793243,-0.035261671990156174,-0.31555381417274475,-0.25695693492889404
volume_sn_voxels_feature_5,1.0304203033447266,1.3605777025222778,-1.0548110008239746,1.2150894403457642,-0.6609531044960022,-0.578899621963501
volume_sn_voxels_feature_6,0.5430604219436646,1.3465427160263062,-0.35799190402030945,1.154331922531128,-0.6698594689369202,0.042958814650774
volume_sn_voxels_feature_7,1.1187299489974976,1.0847234725952148,-0.8804948329925537,0.908660352230072,-0.20446527004241943,0.19580543041229248
volume_sn_voxels_feature_8,-0.22311310470104218,1.304663896560669,0.5338612198829651,0.21591751277446747,-0.15079449117183685,0.9990008473396301
volume_sn_voxels_feature_9,-0.46806058287620544,1.0616774559020996,0.9001199007034302,-0.386899471282959,-0.2961718738079071,1.0739213228225708
volume_sn_voxels_feature_10,0.010267575271427631,1.2268041372299194,0.9775254726409912,-0.9890809655189514,-0.7110564112663269,1.2162065505981445
volume_sn_voxels_feature_11,0.8909506797790527,1.1465071439743042,-0.649317741394043,-0.6955904960632324,1.0944565534591675,0.6438881754875183
volume_sn_voxels_feature_12,0.30290600657463074,1.3053061962127686,-0.3462505638599396,-0.1723209172487259,0.2183082550764084,-0.11304653435945511
volume_sn_voxels_feature_13,-0.23543794453144073,1.5364513397216797,0.35534167289733887,0.1254003494977951,-0.3943617641925812,-0.27654096484184265
volume_sn_voxels_feature_14,0.6860187649726868,1.499001145362854,0.17735464870929718,-0.08334269374608994,0.6335718631744385,-0.8545421957969666
volume_sn_voxels_feature_15,-0.8844864368438721,1.336294174194336,0.8356091380119324,0.9745925068855286,-0.7185491919517517,0.07573386281728745
volume_sn_voxels_feature_16,-0.6875733733177185,1.3174471855163574,0.8965545892715454,0.21004654467105865,-0.393886923789978,-0.33975911140441895
volume_sn_voxels_feature_17,-0.39753326773643494,1.1434223651885986,0.730975329875946,0.7866179347038269,-0.22731845080852509,-0.21760974824428558
volume_sn_voxels_feature_18,-0.6315085887908936,1.3957087993621826,0.9529470205307007,0.1996435672044754,-0.009965057484805584,-0.01958058588206768
volume_sn_voxels_feature_19,0.5791072249412537,1.4276251792907715,0.07973666489124298,0.4309530258178711,0.2268080860376358,-0.1497708559036255
volume_sn_voxels_feature_20,-0.4425702393054962,1.2444955110549927,1.0781071186065674,0.0638263151049614,0.34669575095176697,0.07601777464151382
volume_sn_voxels_feature_21,0.9436734318733215,0.8917981386184692,-0.5832313299179077,0.05491282045841217,0.25728049874305725,0.3073368966579437
volume_sn_voxels_feature_22,-0.32769158482551575,0.7833139300346375,-0.05491219833493233,-0.5981390476226807,0.08134055137634277,0.5199458003044128
volume_sn_voxels_feature_23,-0.60113525390625,0.6358534097671509,0.2005419135093689,-0.9084504246711731,-0.2519305944442749,0.42573365569114685
volume_sn_voxels_feature_24,0.15216127038002014,1.0174360275268555,0.5616690516471863,-1.201879620552063,-0.7695011496543884,1.0061371326446533
volume_sn_voxels_feature_25,1.0625196695327759,1.1551457643508911,-0.29133957624435425,-0.238816037774086,0.9007682204246521,0.2907998263835907
volume_sn_voxels_feature_26,0.009426841512322426,1.3839653730392456,0.8207882642745972,0.6827106475830078,0.7839118838310242,-1.0189869403839111
volume_sn_voxels_feature_27,1.0173412561416626,0.3100438714027405,-0.6637899279594421,-0.2924045920372009,0.43812403082847595,-0.09321218729019165
volume_sn_voxels_feature_28,0.5501295328140259,0.7214031219482422,-0.5200669765472412,-1.0209840536117554,0.34856900572776794,-0.08944594860076904
volume_sn_voxels_feature_29,-0.046337056905031204,-0.4088245630264282,0.29828712344169617,-0.09335996955633163,0.4525969326496124,-0.08164308220148087
volume_sn_voxels_feature_30,-0.7384956479072571,0.1517449915409088,-0.008006268180906773,-0.9532850384712219,0.09057116508483887,0.1536410003900528
volume_sn_voxels_feature_31,-0.8439339995384216,-0.27509376406669617,0.1076163500547409,-0.8163233399391174,-0.3436790704727173,0.202961266040802
volume_sn_voxels_feature_32,0.7431116104125977,-0.8429857492446899,0.07969964295625687,-0.8572023510932922,-0.7511081695556641,0.11046730726957321
volume_sn_voxels_feature_33,0.11718058586120605,0.061762794852256775,-0.43685078620910645,-0.9754393100738525,0.3014023005962372,-0.21762235462665558
