Factor_Index,Matches,Match_Rate_%,Status,Mean_Similarity
0,3,75.0,Robust,0.7587639503180981
1,1,25.0,Unstable,0.45001101680099964
2,4,100.0,Robust,0.9193989485502243
3,4,100.0,Robust,0.9401938021183014
4,2,50.0,Unstable,0.6061682291328907
5,2,50.0,Unstable,0.6009300202131271
6,1,25.0,Unstable,0.6985292807221413
7,3,75.0,Robust,0.7096362449228764
8,2,50.0,Unstable,0.5938148163259029
9,1,25.0,Unstable,0.41292136535048485
10,2,50.0,Unstable,0.579118937253952
11,1,25.0,Unstable,0.48692356050014496
12,1,25.0,Unstable,0.3766948524862528
13,3,75.0,Robust,0.7478943504393101
14,1,25.0,Unstable,0.42075346037745476
15,2,50.0,Unstable,0.6960262879729271
16,2,50.0,Unstable,0.6481276452541351
17,1,25.0,Unstable,0.6261655166745186
18,3,75.0,Robust,0.7537448406219482
19,1,25.0,Unstable,0.39529959112405777
