factor_index,max_loading,mean_loading,median_loading,std_loading,nonzero_count,nonzero_pct,is_effective
0,1.712,0.6795,0.7174,0.3937,532,0.9925,True
1,1.8098,0.618,0.5835,0.4166,531,0.9907,True
2,1.7424,0.3632,0.2534,0.3691,520,0.9701,True
3,1.8146,0.5273,0.3926,0.4291,532,0.9925,True
4,1.8048,0.4889,0.3713,0.401,527,0.9832,True
5,1.7702,0.5151,0.3634,0.4515,526,0.9813,True
6,1.7614,0.4799,0.299,0.4552,528,0.9851,True
7,1.7094,0.5343,0.427,0.4129,529,0.9869,True
8,1.769,0.5884,0.4659,0.4561,532,0.9925,True
9,1.6125,0.6182,0.5,0.4592,534,0.9963,True
10,1.6982,0.3788,0.2513,0.3812,514,0.959,True
11,1.6349,0.5867,0.5104,0.4154,530,0.9888,True
12,1.6615,0.6206,0.5424,0.4243,529,0.9869,True
13,1.6398,0.556,0.4554,0.4179,530,0.9888,True
14,1.6437,0.5224,0.3911,0.4159,529,0.9869,True
15,2.0949,0.3885,0.2609,0.3824,528,0.9851,True
16,1.4923,0.4616,0.3369,0.3928,526,0.9813,True
17,1.6137,0.4891,0.3352,0.4419,523,0.9757,True
18,1.6863,0.4852,0.2954,0.4503,525,0.9795,True
19,1.8229,0.4639,0.3024,0.4317,521,0.972,True
