Subject,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14,Factor_15,Factor_16,Factor_17,Factor_18,Factor_19
Subject_0,-0.71886474,1.4567862,0.5564052,0.78082734,-1.6486933,-1.0726659,1.2984629,0.08478808,0.011583033,-1.2423846,-1.2788726,1.3748262,-0.29237902,-0.62196904,-0.7473322,0.40186876,1.0061848,1.2516279,-0.6005923,-0.43118358
Subject_1,0.63880026,-0.6826536,-0.64028037,-0.15704419,0.66676617,0.39547104,-0.9378862,-0.5612448,1.2596087,-1.4034388,0.822357,-1.419329,-0.7331789,1.2573946,-0.21734884,-0.8501396,0.69912875,1.5051197,-0.15818664,0.5328309
Subject_2,-0.8570366,0.1823916,1.0743318,0.12742199,-0.90402174,-0.25527656,0.31783026,-1.0375773,0.86664647,-0.6993922,0.029782372,1.2549272,-0.34972543,0.6435379,1.45173,0.37774107,-0.3450951,-0.3544486,-0.34771025,-0.38660908
Subject_3,-0.31508917,0.359835,-0.5996785,-0.3513829,0.14799814,-1.1720377,0.339685,-0.56429255,-0.5724266,0.9017954,0.9926776,0.5036626,-0.39527553,0.29371586,0.070659965,-0.41413933,-1.2717453,-1.5764676,-0.22831967,-1.2371246
Subject_4,0.30655292,-1.6500709,0.77842087,-1.783407,0.005735311,0.970139,-0.76433927,-1.0881871,1.635839,0.29160863,-1.0902812,-0.68845046,0.6742087,-0.15630656,-0.9896361,0.92655283,0.8070169,-0.9909142,0.636456,-0.14193138
Subject_5,0.38999456,0.80940515,-0.62699735,1.2843907,0.7065158,0.9926668,1.1721554,0.85945547,-0.027706426,-1.5167925,0.21541522,-0.9146908,-0.51909685,0.29067728,-1.2206001,0.77096826,1.0839238,0.68598765,0.68551964,-0.18407105
Subject_6,1.4189535,-0.81322265,-1.241885,1.3431315,1.3658527,-0.9859277,-1.196986,-1.5999361,0.10482727,-0.69870466,0.2224771,-1.5382475,-0.065047964,1.2746972,0.7399498,0.7554819,0.61738074,0.5450036,1.6707267,0.65029985
Subject_7,-0.84695596,-0.2643934,-0.36800352,-0.0008460693,0.20530158,0.34822327,-0.6515688,-0.32057646,-0.7100333,-0.20884132,0.72125614,0.9231732,0.8115103,0.76543826,-2.0189147,-0.60446924,0.84462124,0.8578421,-0.011170206,0.689703
Subject_8,0.7974903,0.15223244,1.2263266,-0.32765806,1.1200038,-1.1150713,0.6223426,0.39055327,0.4218185,0.6275828,-0.5430697,-1.1215752,1.1633556,-1.5628461,-0.72694033,-1.0229847,-0.7238465,0.4405761,0.68856925,-0.7549085
Subject_9,1.2570679,-1.4693192,0.74928534,0.7198427,0.5561157,-0.03163153,-1.0683837,-0.43505195,0.5241246,-0.38796723,-0.9887228,0.74864334,0.84750175,0.22178383,0.07547454,-0.89871675,1.8030117,-1.27433,0.9865113,-0.6599588
Subject_10,-0.017333047,-0.61410856,0.33782163,-1.201272,-0.43921015,0.67791885,0.34525952,-0.06541632,0.80305547,0.59609854,0.39556274,-1.1233895,0.5089914,1.0743314,0.024231216,-0.44798514,0.98814917,1.6687509,-0.028178442,0.7016847
Subject_11,-0.13301772,-0.7754667,0.9244786,-0.8152643,-0.27178282,0.28944564,-0.5360331,0.813573,0.75472784,0.77594376,1.4252305,-0.523935,1.1870795,-0.77375466,-0.99266225,0.757816,-0.64905417,-0.35324475,-0.7317519,0.7004702
Subject_12,0.8993818,-0.48722875,0.8172708,-0.37987998,0.6660607,1.0546324,0.61294913,-0.69382656,-1.0533048,-0.9424104,-0.9524284,-0.5937084,-0.70431286,-1.3071048,-0.9207983,-0.72485894,-0.06415548,1.093132,2.184048,0.45941648
