Feature,Factor_0,Factor_1
rigidity_left,0.014908833,-0.008450122
rigidity_right,-0.08046061,-0.16498183
tremor_rest_left,0.3046475,0.074233145
tremor_rest_right,0.3434454,0.5210095
tremor_postural_left,-0.011851478,0.14668418
tremor_postural_right,0.1539109,0.0044328016
bradykinesia_speed_left,0.23265354,0.43107975
bradykinesia_speed_right,0.04275959,-0.072702184
bradykinesia_amplitude_left,0.1479055,0.1456987
bradykinesia_amplitude_right,0.0850388,0.008772486
bradykinesia_rhythm_left,0.21466386,-0.21072234
bradykinesia_rhythm_right,-0.08497939,-0.23312798
mirrormovement_left,0.051475238,-0.6846013
mirrormovement_right,-0.0914638,-0.12938109
