factor_index,max_loading,mean_loading,median_loading,std_loading,nonzero_count,nonzero_pct,is_effective
0,1.8595,0.4371,0.3294,0.3864,523,0.9757,True
1,2.1985,0.4896,0.3241,0.4681,530,0.9888,True
2,2.5733,0.4524,0.3257,0.4253,531,0.9907,True
3,1.9197,0.368,0.2378,0.3693,521,0.972,True
4,2.0236,0.4175,0.2883,0.3951,525,0.9795,True
5,1.7199,0.4647,0.336,0.3843,527,0.9832,True
6,2.2566,0.2982,0.1973,0.3473,516,0.9627,True
7,2.5791,0.4574,0.3027,0.4474,531,0.9907,True
8,2.1257,0.5619,0.4239,0.4801,528,0.9851,True
9,1.9282,0.445,0.3254,0.396,525,0.9795,True
10,1.7968,0.387,0.2597,0.3855,523,0.9757,True
11,2.2599,0.4178,0.2668,0.4184,523,0.9757,True
12,2.3528,0.5479,0.3746,0.4945,527,0.9832,True
13,2.0692,0.4546,0.3506,0.3801,523,0.9757,True
14,1.7709,0.4727,0.3335,0.4089,530,0.9888,True
15,2.786,0.4305,0.286,0.4435,521,0.972,True
16,1.7194,0.4348,0.2714,0.4079,529,0.9869,True
17,1.9658,0.4659,0.3167,0.4446,523,0.9757,True
18,1.8305,0.3969,0.275,0.3722,522,0.9739,True
19,2.5027,0.5651,0.3723,0.5219,532,0.9925,True
20,2.0048,0.4354,0.2921,0.41,522,0.9739,True
21,1.8136,0.4265,0.334,0.377,532,0.9925,True
22,1.6729,0.3721,0.258,0.3462,524,0.9776,True
23,1.9964,0.5717,0.4397,0.4739,532,0.9925,True
24,1.5649,0.4895,0.401,0.3632,529,0.9869,True
25,2.1802,0.5202,0.3511,0.4803,533,0.9944,True
26,1.9119,0.4725,0.347,0.3904,526,0.9813,True
27,2.0352,0.4432,0.2728,0.4412,524,0.9776,True
28,1.869,0.3866,0.265,0.3831,522,0.9739,True
29,1.922,0.3826,0.2381,0.392,527,0.9832,True
30,1.9886,0.4485,0.3336,0.3941,526,0.9813,True
31,2.4094,0.4696,0.3051,0.4812,521,0.972,True
32,1.9902,0.5019,0.3994,0.4044,528,0.9851,True
33,1.7244,0.6122,0.5396,0.4367,531,0.9907,True
34,2.5793,0.386,0.2563,0.4029,521,0.972,True
35,2.2959,0.4561,0.2838,0.4716,528,0.9851,True
36,2.1843,0.4854,0.3331,0.424,525,0.9795,True
37,2.1798,0.5287,0.4067,0.4573,526,0.9813,True
38,1.8914,0.4667,0.3656,0.3743,524,0.9776,True
39,1.8735,0.4026,0.274,0.3669,527,0.9832,True
40,1.9608,0.488,0.3325,0.4448,523,0.9757,True
41,1.9939,0.4249,0.3001,0.388,527,0.9832,True
42,2.1893,0.4692,0.3096,0.4413,530,0.9888,True
43,2.5847,0.4598,0.3187,0.4434,532,0.9925,True
44,2.2807,0.486,0.3168,0.4767,524,0.9776,True
45,2.3111,0.5554,0.36,0.5104,527,0.9832,True
46,1.7015,0.5071,0.3966,0.4298,530,0.9888,True
47,2.2558,0.4513,0.3084,0.4425,526,0.9813,True
48,2.525,0.4919,0.3813,0.4237,532,0.9925,True
49,2.2485,0.5587,0.4186,0.4593,525,0.9795,True
