Factor_Index,Matches,Match_Rate_%,Status,Mean_Similarity
0,1,25.0,Unstable,0.6304909288883209
1,1,25.0,Unstable,0.45849239081144333
2,1,25.0,Unstable,0.5812294036149979
3,1,25.0,Unstable,0.4783391021192074
4,1,25.0,Unstable,0.34872302785515785
5,1,25.0,Unstable,0.5096064060926437
6,1,25.0,Unstable,0.39571183919906616
7,2,50.0,Unstable,0.7807040214538574
8,1,25.0,Unstable,0.5821644514799118
9,1,25.0,Unstable,0.5324877314269543
10,2,50.0,Unstable,0.5288792364299297
11,1,25.0,Unstable,0.4657642990350723
12,3,75.0,Robust,0.8295644670724869
13,1,25.0,Unstable,0.5160091817378998
14,2,50.0,Unstable,0.5303207375109196
15,2,50.0,Unstable,0.6622125841677189
16,1,25.0,Unstable,0.4950188025832176
17,2,50.0,Unstable,0.6213724836707115
18,1,25.0,Unstable,0.49877891689538956
19,1,25.0,Unstable,0.4475813992321491
20,1,25.0,Unstable,0.47703440487384796
21,1,25.0,Unstable,0.45437561720609665
22,1,25.0,Unstable,0.4541182480752468
23,1,25.0,Unstable,0.4514409005641937
24,1,25.0,Unstable,0.4641380738466978
25,1,25.0,Unstable,0.7558993995189667
26,1,25.0,Unstable,0.5768827944993973
27,2,50.0,Unstable,0.8070663958787918
28,1,25.0,Unstable,0.595103956758976
29,1,25.0,Unstable,0.45075683668255806
30,1,25.0,Unstable,0.6954931020736694
31,2,50.0,Unstable,0.8408093750476837
32,2,50.0,Unstable,0.7034686878323555
33,1,25.0,Unstable,0.3861849457025528
34,3,75.0,Robust,0.7965300679206848
35,2,50.0,Unstable,0.6800099164247513
36,1,25.0,Unstable,0.6026891954243183
37,2,50.0,Unstable,0.5488177686929703
38,1,25.0,Unstable,0.5679323561489582
39,1,25.0,Unstable,0.5047448799014091
40,1,25.0,Unstable,0.5030256696045399
41,1,25.0,Unstable,0.6285363212227821
42,1,25.0,Unstable,0.6812676563858986
43,2,50.0,Unstable,0.6507118418812752
44,1,25.0,Unstable,0.6345679983496666
45,1,25.0,Unstable,0.5591219030320644
46,1,25.0,Unstable,0.5502626188099384
47,1,25.0,Unstable,0.5023980643600225
48,2,50.0,Unstable,0.6373051404953003
49,1,25.0,Unstable,0.5866709314286709
