Subject_ID,Factor_1,Factor_2
Subject_1,0.40269762,-0.15628627
Subject_2,-0.100207865,-0.25928456
Subject_3,1.0024621,-0.9033868
Subject_4,2.4381645,0.26002446
Subject_5,-1.1153029,0.8799342
Subject_6,-1.1868861,-0.32880637
Subject_7,-0.704836,-0.31393972
Subject_8,-0.951838,-0.17566568
Subject_9,-0.55059946,0.11019737
Subject_10,-1.203012,0.3408098
Subject_11,0.006292514,-0.29661766
Subject_12,-0.46814603,-2.0354617
Subject_13,-1.8640695,-0.10464519
Subject_14,0.29918146,-0.8773621
Subject_15,-0.5394935,-0.43787035
Subject_16,-0.88414687,0.3833101
Subject_17,-0.38574982,-1.883821
Subject_18,-0.83723164,0.095367506
Subject_19,-1.5667335,1.627175
Subject_20,0.14113241,2.2897515
Subject_21,-0.16084598,0.2146019
Subject_22,-0.8715102,-0.092208154
Subject_23,-2.2066941,0.59782106
Subject_24,0.4778189,-0.81855434
Subject_25,0.884539,-0.43313372
Subject_26,-0.5642179,-0.11847049
Subject_27,0.9780011,0.058388755
Subject_28,1.6141771,-0.18030022
Subject_29,1.0957855,-1.1828569
Subject_30,0.66228414,0.114574865
Subject_31,0.06403191,-0.04262396
Subject_32,0.054696172,0.09580031
Subject_33,0.33141944,-0.14165217
Subject_34,-0.69137096,0.18210536
Subject_35,1.3100028,0.51301825
Subject_36,0.46549866,0.3398646
Subject_37,0.7578428,-0.3302712
Subject_38,0.26022187,2.3693671
Subject_39,-0.49386543,-1.5157613
Subject_40,0.8357219,0.65551424
Subject_41,1.092656,0.011232173
Subject_42,0.49655846,0.045641873
Subject_43,0.14413683,1.1374831
Subject_44,-0.24615057,0.29155722
Subject_45,-0.03661801,-0.0002703526
Subject_46,-1.1055995,0.08997198
Subject_47,-0.11626778,0.8567991
Subject_48,-0.9598059,2.4898014
Subject_49,-0.07131816,1.4824889
Subject_50,-1.0776445,-1.1822028
Subject_51,1.0512764,-0.472222
Subject_52,-0.4492638,0.9279747
Subject_53,0.3184377,-0.34257382
Subject_54,1.416118,0.90592194
Subject_55,-1.1280692,0.030119777
Subject_56,-0.4826996,0.8483907
Subject_57,1.8920236,-0.18300368
Subject_58,0.35100532,0.23828174
Subject_59,0.31705338,-1.1392586
Subject_60,-0.006114193,-0.7673399
Subject_61,1.7090064,0.3323074
Subject_62,1.1703727,0.004256436
Subject_63,0.24293251,0.01030189
Subject_64,0.50728387,0.3144238
Subject_65,-0.95352787,0.13919623
Subject_66,0.63027513,-0.6895386
Subject_67,-0.020028658,0.7710997
Subject_68,0.25922596,0.099210985
Subject_69,-0.5745662,-0.5464187
Subject_70,-0.075958684,0.33104432
Subject_71,-0.071670786,-0.20423673
Subject_72,0.016594153,0.03901396
Subject_73,1.4153612,-0.9025507
Subject_74,0.24789648,0.0085685095
Subject_75,-0.30592138,2.1528773
Subject_76,-0.34020886,0.77496994
Subject_77,-0.8496085,0.039878845
Subject_78,0.13340636,1.4035063
Subject_79,0.6170871,-0.26253188
Subject_80,-0.34847012,1.0528249
Subject_81,0.26796257,-0.029151713
Subject_82,0.5539385,-0.897851
Subject_83,0.8847997,1.0903575
Subject_84,2.747116,0.5428544
Subject_85,0.65219706,-0.15445986
Subject_86,-0.5649381,-0.13727842
