Subject_ID,Factor_1,Factor_2
Subject_1,-0.13777494,0.28608197
Subject_2,-0.5139225,1.1863664
Subject_3,-0.9517846,0.60810184
Subject_4,1.3385296,0.467364
Subject_5,1.1578443,-0.18038228
Subject_6,-0.12509888,1.0808433
Subject_7,-0.7136456,0.041564915
Subject_8,-0.68345976,1.2128042
Subject_9,-0.0033594656,-1.0630276
Subject_10,0.27484995,1.6604905
Subject_11,-1.4949034,-0.36144903
Subject_12,0.13229156,1.7351961
Subject_13,-0.04179835,0.45711184
Subject_14,-0.8153764,0.8995257
Subject_15,-0.00031194952,1.1396642
Subject_16,1.5472527,-0.39824948
Subject_17,-1.1486833,-1.03265
Subject_18,0.1562066,0.5747225
Subject_19,1.0665962,1.2302381
Subject_20,1.3158256,-2.0472372
Subject_21,1.1345992,-0.9638155
Subject_22,-0.23888637,-0.9897518
Subject_23,0.3866248,3.323321
Subject_24,-0.9149292,1.5328996
Subject_25,-0.17567666,0.4137365
Subject_26,-0.4315259,1.2086493
Subject_27,1.0488473,-1.0584702
Subject_28,-0.050485834,1.4402288
Subject_29,-0.4058573,-0.056859642
Subject_30,0.73169875,-1.6349409
Subject_31,-0.545652,0.5257141
Subject_32,0.25495327,0.5262403
Subject_33,-0.77976996,1.4779707
Subject_34,0.4683306,-0.9857605
Subject_35,1.8869933,-0.6195224
Subject_36,1.9831868,-0.2736625
Subject_37,-0.1405771,-0.87207603
Subject_38,-0.10951055,-0.87541395
Subject_39,0.18606755,-0.17064446
Subject_40,1.0699883,-0.8371649
Subject_41,-0.84705764,-1.3957914
Subject_42,0.6147442,-0.8082955
Subject_43,0.076317176,-1.222216
Subject_44,0.25236732,-0.9124295
Subject_45,-0.1849678,-0.7007692
Subject_46,0.009177423,-2.3552938
Subject_47,1.4218036,0.050267074
Subject_48,-0.68128544,0.8609855
Subject_49,3.85271,0.073055044
Subject_50,-0.35862997,0.19315667
Subject_51,0.42382222,-1.7339901
Subject_52,0.7092259,-0.7910289
Subject_53,-0.18802594,-0.3580433
Subject_54,-0.52704895,1.4857599
Subject_55,-0.5543444,-2.9721067
Subject_56,-0.20089287,-0.63108355
Subject_57,-1.0657715,1.6391609
Subject_58,0.25673476,-1.873561
Subject_59,-0.19459094,0.6346309
Subject_60,-0.25888515,-0.4816829
Subject_61,0.76806366,-1.3059192
Subject_62,0.4013531,-0.84829825
Subject_63,-0.1407579,1.6450875
Subject_64,0.015196726,-1.9611874
Subject_65,0.4899628,0.2412305
Subject_66,-0.605638,-0.6123778
Subject_67,2.2121425,0.41231152
Subject_68,1.0301211,-1.0398276
Subject_69,-1.0971227,1.7121775
Subject_70,-0.5238495,0.46352276
Subject_71,-0.04102187,2.1705902
Subject_72,-0.1767133,-2.781725
Subject_73,-0.15797903,1.0697243
Subject_74,1.414381,0.8487888
Subject_75,0.76575524,-1.5091561
Subject_76,0.61035585,-0.62685186
Subject_77,0.2246039,0.9970449
Subject_78,1.4247034,0.64548635
Subject_79,-0.26170838,1.9250696
Subject_80,-0.28440958,-1.5076333
Subject_81,0.014523179,0.6243382
Subject_82,-1.2240094,1.4379389
Subject_83,2.3691216,1.2901292
Subject_84,0.32318223,0.45102066
Subject_85,-0.57249063,-2.3466983
Subject_86,-0.3124466,1.1151115
