0,1,2,3
1.0174221,0.32967842,1.3151199,1.2607479
0.49736217,0.48852745,-1.5447698,-0.5198092
0.4980156,-1.0415684,0.2520195,1.2249765
-0.12236579,-0.45968476,-0.26946703,0.59148604
-1.8483806,-0.78539515,0.68793863,-0.7843721
-0.74446046,-0.5579811,0.4538255,1.7031368
-2.12455,0.9165056,-1.1683387,0.6594222
0.3907072,0.31158465,-1.3338819,-1.0133964
1.075955,0.3442466,-0.47142264,0.39359248
0.06275559,-0.85794425,1.4897252,1.7911028
-0.1479388,-0.7015392,2.132098,-0.40873805
1.8742197,0.8130769,1.0999035,0.04541436
0.7441402,0.45850012,-2.1519072,-0.05992728
-1.6779609,1.9212244,0.7251734,0.933877
-0.14589266,-0.9919794,-0.7140242,-1.1878443
-0.040606756,1.9071798,0.81402737,0.21330301
-2.3559961,-0.15726541,0.6005789,-1.24347
0.307854,-1.0743178,-0.396208,1.14825
0.055742584,0.23971963,2.0815582,0.6712223
1.2766147,1.5715622,-0.44964743,-1.3485045
0.94462436,0.96268576,0.9971574,0.93591136
-1.1555966,0.6551234,0.3776821,-0.86761254
0.67982614,-1.5733212,-1.4186497,-0.9526554
1.0234098,0.63892245,-0.10598256,1.256412
1.3832461,1.1946796,0.6294808,-0.6627058
0.019897774,-1.6082469,-1.1516875,-0.0782628
-1.2475646,0.28408122,-1.4198967,0.29978943
-1.095838,0.15156397,1.2750205,-0.39704216
-0.5990691,-1.8158712,-1.0426008,-1.3530182
0.91756135,-0.007754407,1.6501076,0.30317003
1.0401844,-2.7856112,0.102905795,0.26019078
0.05605542,-0.15173563,0.34578875,-0.72591275
-0.26403952,0.8072171,-1.2468354,0.030677497
-1.4047304,0.19576629,0.4152102,-0.51367545
-0.09606955,-0.20085452,0.67788017,1.5762079
1.2930758,-1.3014498,-1.1259612,1.4185727
0.37474388,-0.7444098,-1.4264073,0.2660737
0.041152913,1.4224384,-1.2655982,-0.8155219
1.6022241,0.82816243,1.8392768,-1.4897584
1.1703532,-1.6580831,-0.9342316,1.3427002
1.1797364,-0.52387655,-0.3262501,-0.8386387
0.932673,-0.7099593,1.330716,0.75547487
0.8609695,0.7051431,-1.6275469,0.39424226
-0.29959148,-0.82910204,-1.236684,0.17436624
0.8220288,-2.0408814,1.2654792,-1.089269
0.51366377,-1.2002431,1.1664566,0.49498725
0.100115195,0.12746619,-0.21438368,0.5252247
0.16388214,0.46749306,-1.9927843,-0.050121088
0.5386082,-0.56667155,-1.8804501,-0.42355776
