0,1,2
0.15730263,-1.0526581,-1.2801372
-0.24983358,0.3264687,0.1537885
-0.9450395,0.45521942,0.23894003
0.4619532,0.71338654,-1.0683773
-0.34238714,0.7963867,-0.27162388
-0.11546842,-0.091752395,1.2739885
-0.0243421,0.22493017,-0.79053694
0.32870346,0.5933435,1.0080066
-0.48002788,-0.6622426,-0.11504059
0.7657016,0.22529572,-0.24071361
-0.37919933,0.8269643,0.6658504
0.24588987,-0.30055025,0.28325883
-0.26369497,0.7009422,0.91549796
0.36087745,-0.6683191,0.16760843
0.532504,0.24783659,-1.0248619
1.195933,-1.3629392,0.830634
0.44204307,-0.47515157,0.23798575
-0.011747356,0.5680875,0.473705
0.7183986,-1.424382,-0.7802722
1.6315702,-0.9288593,0.13776332
0.15764755,0.07481407,-0.36825523
-0.0809675,0.57649606,-1.1507558
-0.20259258,-0.6940591,0.06563186
0.39847088,-0.7297271,-0.16982254
0.119255476,-1.1977698,-0.29300007
-0.75267243,0.025790604,0.94287723
-1.0670373,-0.24377038,0.039317276
0.91876894,0.29696754,0.78496933
-1.1325953,-0.53290254,-0.33770418
-1.3707981,-0.9408959,0.32070383
-1.3660673,-0.25789657,-1.028213
-1.0677284,0.267911,0.51480937
-0.13121994,0.31764922,-0.7273996
-0.42745078,0.42806876,0.070083484
0.16344272,0.3618376,-0.4221895
-0.08315372,0.25859627,0.8761475
0.65670186,-0.22607753,-2.0412538
-0.077847466,0.7134327,-0.44143084
0.3660997,-1.3270173,-0.35636204
-0.8401992,-0.83378434,1.3840624
-0.63638127,0.4159367,-0.75270313
-0.20245498,0.061197434,0.47824097
0.062038608,-0.25651544,1.3789313
-0.477758,0.15966569,0.72544456
-0.5741212,-1.2341714,0.8827525
-0.8714737,0.32640767,1.0124552
0.39875472,0.2832687,0.8202882
-0.240122,0.75381017,-1.1050665
0.69361526,-0.53445077,0.8005392
0.2516167,0.2867137,-0.31029058
0.5642278,-0.0779155,0.8082282
-0.032627024,1.1023896,-0.6523309
-0.058789775,-0.18553294,-0.51895106
0.81444144,-0.13819905,0.77457124
-0.3186051,-0.9205142,0.45881328
-0.50529605,0.30647984,-0.875063
-0.6954193,-0.25076514,-0.019376297
0.9617437,0.85045433,0.73099184
-0.58495533,-1.0506804,-0.5127358
0.28861272,1.9400607,-0.6417257
-1.0472466,0.004992766,-0.004936731
0.70910496,0.8170726,-0.6978334
1.2191293,0.26487434,0.54258853
-0.27037817,-0.3129458,-0.17806244
-0.037075885,0.6565497,-0.444629
-0.70694333,0.022895757,-0.577943
-0.41513944,-0.6810725,-0.19324718
-0.71115947,-0.65581006,0.28518516
-0.6001711,-0.9883991,-0.50689363
-0.1975329,0.9393369,0.0050204745
-0.031190295,1.0171925,-0.8698627
-0.0551079,-0.18853627,-1.4454578
-0.45765397,0.8380201,0.09692724
-0.7291666,0.22749169,-1.6007664
-0.6189029,0.2301264,-0.49034628
0.18889087,-0.29401252,-0.65556926
-1.2949252,0.16840887,0.54925233
0.54210645,0.8579264,0.06379761
-0.06905595,0.26350495,1.9488473
0.3545966,0.92886436,1.509999
-0.09480402,0.39587787,0.8374911
0.64324236,-0.32137734,-0.20620713
-0.12579931,-0.67986673,-1.6188852
0.3082602,0.014286747,-0.8191913
0.22520716,0.17441979,0.5992996
-1.1137877,0.6865637,-0.12659803
-0.43337083,0.8794118,-0.1372467
-0.8025908,0.63437593,0.47096813
0.43428564,0.51567465,0.21362002
-0.36439592,-1.0712303,-0.15653285
0.41290385,-0.8675519,0.36383545
0.47996694,1.303898,0.017154615
-0.51030725,1.2290165,-0.48877412
0.38502118,-0.3934581,1.2516986
-0.4057839,-0.87187505,-0.117908545
0.19119398,0.006123703,1.0647807
0.21084842,-0.114788085,-0.7522466
-0.43983868,0.046833143,0.4646514
0.13322306,0.20578161,0.33260268
-0.9906413,-0.88136214,0.7284452
0.08184973,0.14545196,0.3760371
0.6622814,-1.0907154,-0.50874555
1.0009487,0.19658305,-0.38865831
-0.17575826,-0.22183914,0.6415367
-1.1772999,-0.5876874,-0.09566731
-1.430387,0.71223444,0.66340834
0.8399951,-0.13755395,0.77696633
-0.49021354,-0.046164326,-0.7609078
-0.40688732,-0.39694524,-0.2697079
0.63138735,-0.20374255,1.0496802
0.95188105,0.88924015,-0.064695895
0.1725473,0.5152757,1.1566588
0.7748334,-0.043463003,0.16502069
0.3048508,-0.13066134,0.19044186
-0.43123612,0.9965955,-0.54109
-0.30605516,-1.0281835,0.63450277
-0.39669722,0.5254958,0.08968005
-0.36069068,-0.37253672,-0.120696746
0.50404143,-0.37045226,0.6964875
1.0179725,-0.3646747,0.33774725
-0.65315163,0.4267516,-0.6513288
1.0465606,0.28446287,-0.7475042
0.119813666,1.2108862,-0.24364924
0.25576645,-0.1965617,-0.13319959
1.2522686,0.24811354,1.0700572
0.21097672,0.7353692,0.7224897
-0.95675397,-1.2487966,-0.25489506
-0.60373783,0.16383153,0.26320368
0.63864535,0.30625153,-0.0030098218
0.7839368,-0.7631166,-0.07278788
0.7123378,0.16818902,-0.6188239
1.5448407,0.7946452,0.8009712
-1.2157849,-0.34126705,0.1405807
1.4769126,0.47913504,0.36274767
-0.22483583,0.055994105,-0.52115077
0.4636368,0.6034996,-0.03997527
0.110839695,-1.2695076,-0.36340544
1.11233,0.49141654,-0.39083534
-0.52511364,0.13244855,1.1273636
1.0341526,-0.6372992,-0.40723345
0.2605329,-0.5884553,1.1681218
0.23518641,-0.6418462,0.95116955
0.18910345,-0.96165466,-0.095188975
0.7426716,-0.97776544,0.23369716
-0.14792822,0.70895267,0.8364494
-0.95610493,-0.082041994,-0.4701527
