factor_index,median_abs_loading,mean_abs_loading,std_abs_loading,ci_lower,ci_upper,consistently_nonzero_count,nonzero_pct,is_effective
0,0.5983079075813293,0.594912588596344,0.050460223108530045,0.5694805026054383,0.6426096454262733,1808,1.0,True
1,1.4517704248428345,1.4251492023468018,0.12995672225952148,1.3185378104448318,1.5067147582769393,1808,1.0,True
2,1.0317258834838867,1.0223444700241089,0.0799923837184906,1.0039753437042236,1.0503522008657455,1808,1.0,True
3,2.271756649017334,2.2468466758728027,0.18801221251487732,2.1657906770706177,2.3569625914096832,1808,1.0,True
4,1.0866568088531494,1.1279304027557373,0.19212713837623596,0.9037754356861114,1.3820745348930359,1807,0.9994,True
