Feature,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14,Factor_15,Factor_16,Factor_17,Factor_18,Factor_19
volume_sn_voxels_feature_0,-0.39029476,0.33827525,-0.3778317,-1.3311063,-0.4536816,0.14845875,-0.2382323,-0.15146798,-0.8460908,0.9196364,-0.30454513,0.06674702,0.14477552,0.0013039587,-1.1921731,0.36974147,-0.20708291,0.4386003,0.3343049,1.6150982
volume_sn_voxels_feature_1,-0.8510565,0.7527768,-0.38137227,-1.3070761,-0.13420746,0.10096092,-0.39118645,0.1857256,-0.9345422,1.1593732,-0.2667659,-0.013657262,-0.07627906,-0.06276161,-0.51556885,-0.4261665,-0.16468382,0.26617375,0.38557684,1.5765833
volume_sn_voxels_feature_2,-0.15731615,-0.30273312,-0.09405164,-1.3311177,-0.7049646,-0.04979739,-0.14780086,0.3772549,-0.5127057,-0.0062869885,-0.057287898,-0.018962204,0.7986763,-0.054618042,-0.95273787,0.45568717,-0.44966972,0.33032843,-0.03615598,1.2479196
volume_sn_voxels_feature_3,-0.06803106,0.04780527,0.0570172,-0.67702883,-0.2554455,-0.13204648,-0.22114441,0.6490917,-0.7841762,0.9704667,-0.0978915,0.14305635,0.35334894,-0.1469176,-0.23604627,-0.2272043,-0.51881033,-0.050743718,-0.21986872,1.2916802
volume_sn_voxels_feature_4,-0.050880935,-0.02943209,0.18068296,-1.299705,-0.19951491,-0.69877136,0.16695866,0.79073864,-0.18895306,0.077742115,0.21427685,0.13860922,0.5810756,-0.26312196,0.25569704,0.10442377,-0.5379324,-0.44896767,-0.2624372,1.2228013
volume_sn_voxels_feature_5,0.97057813,-1.172714,-0.29722908,1.3355513,-1.2001934,-0.39672694,-0.25104824,-1.0427918,-0.6415493,-0.23176172,0.7918855,0.0053064274,-0.10654082,-0.027121447,-0.70085543,-1.1465368,0.6403306,0.016347991,-0.76845163,1.6937476
volume_sn_voxels_feature_6,0.5504053,-1.1822523,-0.52192533,1.1560167,-1.0579406,-0.08123205,-0.153565,-0.8422171,-0.3029757,-0.7409578,0.016294943,-0.0029781514,0.40325245,0.282252,0.05068596,-0.68973505,0.19021246,0.09740326,0.04780068,1.4585382
volume_sn_voxels_feature_7,0.7316516,-1.0253828,-0.13245541,1.4787967,-1.1479688,0.311801,-0.75172853,-0.46186632,-0.49084917,-0.18298319,0.5908049,0.05959585,-0.8055164,-1.0131034,-0.24365231,-0.9770495,0.14301267,-0.42439502,0.25251642,1.7474039
volume_sn_voxels_feature_8,-0.5466383,-0.03677656,0.20325501,1.23725,-0.10520968,0.5114426,-0.46498203,0.530832,0.11178432,-0.82954717,0.26148412,-0.24664128,-1.3090879,-1.2311709,0.4111853,-0.010551037,-0.26671275,0.0009916365,1.106562,1.2857815
volume_sn_voxels_feature_9,-0.94923264,0.787709,0.36223498,1.5686158,0.3254731,0.42139125,-0.47521675,0.87699735,0.4643164,-1.082452,0.39637938,-0.10314614,-1.2432818,-1.2468584,0.2962276,0.36819553,-0.16362128,0.3874137,1.1161385,1.2565238
volume_sn_voxels_feature_10,-1.2061039,1.0637631,0.29338712,1.4774882,0.6973919,0.23993064,-0.26438406,0.88186944,0.59426254,-1.0961503,0.21543247,-0.021381948,-1.2274096,-1.3908559,0.014850851,-0.16746898,-0.1312749,0.88902444,1.1938586,1.3298999
volume_sn_voxels_feature_11,-0.91510254,0.48614585,-0.37730187,-1.3906811,-0.04834307,0.6236679,-0.18885908,-0.53702766,-0.30096132,1.0991191,-0.9266286,-0.44685635,-0.99793845,-0.002319712,-0.9093509,-0.54965574,0.06759201,0.26109996,0.76294196,1.6637201
volume_sn_voxels_feature_12,-0.040894978,0.18659326,-0.08097555,-1.320782,-0.124483444,0.6089328,-0.07605139,-0.050943572,-0.25907987,1.0609713,-0.18848303,-0.32904226,-0.00630452,0.10097846,-0.6744261,-0.21995285,0.022161314,0.02946842,-0.0009617487,1.5395533
volume_sn_voxels_feature_13,0.29689616,-0.050153725,0.22747576,-1.1663474,0.050571073,-0.021372726,-0.095857844,0.067488305,0.07064848,0.18350399,0.06972461,-0.21192764,0.32788512,0.043771975,-0.15848707,0.28800592,0.0385707,-0.23236041,-0.27359578,1.4460984
volume_sn_voxels_feature_14,0.60900813,0.10804974,0.47678968,-1.4341153,0.16255058,0.049649045,0.26457787,0.70116687,-0.2963612,1.084386,0.3031497,-0.18366756,-0.057667464,-0.00846673,0.7887383,-0.584543,-0.1205302,-0.5035833,-0.85055596,1.2863005
volume_sn_voxels_feature_15,-0.32411265,-0.7709656,-0.022562271,-0.9790016,0.3491286,-0.43110326,0.1085609,-0.7609195,0.6102507,-0.7789339,0.16716067,-0.2941099,0.5011979,0.1581988,-0.35181057,0.7637848,0.53090096,-0.18289171,-0.03297738,1.5524693
volume_sn_voxels_feature_16,0.12542666,-0.08325576,0.33666652,-1.2352953,0.43214017,-0.6952216,0.12643337,0.14983106,0.60232866,-0.38174075,0.23634827,-0.19244266,0.25507385,0.12247417,0.20467164,0.5789915,0.031386364,-0.5472552,-0.32002255,1.3653579
volume_sn_voxels_feature_17,0.054367382,-0.6080573,-0.032449618,0.9876726,0.19370785,-0.3940977,0.15543948,-1.0511613,0.36085424,-0.54548764,0.042812873,-0.17912121,0.05910928,0.39347348,0.37191725,0.14646703,0.2499427,-0.12210942,-0.26903448,1.3856833
volume_sn_voxels_feature_18,0.003893379,0.15423432,0.18853596,-9.1861686e-05,0.7323472,-0.9018197,0.2916677,-0.34158188,0.64710647,-0.49919876,0.3682335,-0.0687416,-0.30358467,0.15250339,0.5117266,0.6406159,0.22010398,-0.51296633,-0.17150316,1.3059793
volume_sn_voxels_feature_19,0.23882434,-0.41242623,-0.06801336,1.3489912,-0.51591355,0.14725077,-0.24418259,-0.986813,-0.29723412,-0.05462989,0.2894113,-0.05744756,-1.0940639,-0.6532217,0.25948375,-0.68577313,-0.015467329,-0.15875801,-0.13901038,1.4734018
volume_sn_voxels_feature_20,-0.057752717,0.20404074,0.27517292,1.2687992,0.6180537,-0.47851446,0.14552732,-0.5975829,0.2991459,-0.43165714,0.28984427,-0.08284239,-1.1052768,-0.21505545,0.8166302,0.36931488,0.108509,-0.64384216,-0.06943976,1.3124509
volume_sn_voxels_feature_21,-0.023289707,0.007436483,-0.5356395,1.4994438,-1.0071335,0.6879419,-0.73990667,-0.26604426,-0.43540937,-0.08236686,0.6771559,0.09642283,-1.1960003,-1.3033639,-0.15465724,-0.93323606,-0.07156336,-0.60013396,0.25914645,1.5030748
volume_sn_voxels_feature_22,-0.7465353,0.50852907,-0.03066114,1.4260116,-0.31312075,0.6704584,-0.6192081,0.58733684,-0.014977572,-0.2867327,0.4100182,0.20057467,-1.2993193,-1.0763788,-0.11246189,0.35038698,-0.08867546,-0.3181948,0.49716693,1.2839228
volume_sn_voxels_feature_23,-1.0386859,0.77036744,0.17386149,1.4070412,0.033970427,0.6807919,-0.6863708,0.85016024,0.11686166,-0.60640174,0.46175015,0.2662247,-1.0815109,-0.5784371,-0.16368823,0.8241279,0.017649163,0.31680483,0.53544426,1.4008456
volume_sn_voxels_feature_24,-1.0594358,1.2245665,0.046660535,1.2376493,0.532592,0.31324673,-0.18452436,0.97774714,0.36622906,-1.070273,0.3056792,0.14611864,-1.263044,-1.4723378,-0.31803215,-0.34774432,-0.38404843,0.6115741,1.1006757,1.471116
volume_sn_voxels_feature_25,-0.7519465,0.45535332,0.06442826,-1.179953,0.44682577,1.0964061,0.24434909,-0.37859964,0.4332043,1.2979783,-0.9080716,-0.90586096,-1.1292653,0.061246492,-0.7149298,-0.8531548,0.75665325,-0.28675285,0.31660277,0.66135746
volume_sn_voxels_feature_26,0.0060759396,-0.36681852,0.30585042,0.6405195,0.53041285,-0.4814562,0.018825429,-0.9828069,0.33765033,0.52782845,0.098574966,0.0015154848,-0.72855014,0.6125304,0.3296322,-0.102548756,0.46935263,-0.14293963,-1.0714056,0.6711394
volume_sn_voxels_feature_27,0.06502504,0.12975192,-0.8575089,1.5634195,-0.821589,0.16210833,-0.21572803,-0.17062663,-1.056824,0.36105415,0.41362324,0.33594283,-0.44684595,-1.4032928,-0.31922528,-0.8909788,0.5137793,0.28439558,-0.14941257,1.0606264
volume_sn_voxels_feature_28,-0.12572852,0.68258256,-0.28478163,1.1593245,-0.58970064,0.3939532,-0.2372651,-0.16153097,-0.30100614,0.20066473,0.3867897,0.2249093,-1.2386247,-1.1178592,-0.067353375,-0.39256373,-0.42785558,-0.59247243,0.18670365,1.1989821
volume_sn_voxels_feature_29,-0.57087207,-0.28334045,-0.42036444,1.3883175,0.26317164,0.01124718,-0.3014927,0.5173283,-0.83378273,0.42494273,0.7031489,0.4238501,-1.1385949,-1.2909523,-0.37793702,0.5201701,0.8844298,0.69508666,-0.30038944,0.028581606
volume_sn_voxels_feature_30,-0.7321164,0.872208,-0.015516334,1.3470377,0.0077459044,0.34774083,-0.43651527,0.6982111,-0.12156,-0.030814514,0.44329643,-0.05885942,-1.3284769,-1.1551127,-0.36316967,0.7445993,-0.1835863,-0.27222902,0.057580836,0.8979394
volume_sn_voxels_feature_31,-0.7850172,0.77892053,0.1420734,1.2573202,0.13712794,0.2776016,-0.63860226,0.9045291,-0.31790084,-0.24478059,0.5249808,0.15779091,-1.2626961,-1.7749561,-0.43174198,0.9423268,0.01979379,0.2489018,0.07834097,-0.056431636
volume_sn_voxels_feature_32,-0.4495556,0.68023586,-0.08982359,1.1143056,0.19748285,0.045883287,-0.5910519,0.73526424,-0.6076214,-0.45238706,0.48646137,-0.15317106,-1.3988696,-1.4793051,-0.26352957,-0.71965945,0.13810377,0.93877226,0.16414778,-0.5447162
volume_sn_voxels_feature_33,-0.073333666,0.71997064,0.021598453,1.2913986,-0.26038972,0.03318788,-0.13039944,-0.43885767,-0.16867305,0.46583134,0.1458811,0.2372928,-0.8937006,-1.0217838,-0.203923,0.1168123,-0.73984843,-0.45433637,-0.04576561,0.3141522
volume_sn_voxels_feature_34,0.22330044,1.072287,-0.1813267,-0.24260595,1.4892958,-1.0001957,0.7557293,0.14155722,0.6204548,0.10174763,0.58435714,0.56108814,-1.2106504,0.6592528,1.0513628,-0.27955619,1.2853104,0.30585712,-0.90030783,1.5453477
volume_sn_voxels_feature_35,-0.16389564,1.2366508,-0.085320026,0.026223602,1.2585843,-0.6938354,0.8375599,0.45961684,0.520891,0.049601074,0.101960294,-0.0018440117,-0.28607193,0.6521759,1.1967436,-1.0918338,1.2005993,0.105668716,-1.5623654,1.2980621
volume_sn_voxels_feature_36,-0.35539514,1.2816514,0.55923295,-0.189955,0.21463472,0.17515287,0.49680123,0.36069697,0.45855796,0.14510386,0.12220481,0.6234131,-1.5257581,0.033268478,-0.15945151,-0.3521527,-0.56688654,-0.52625936,0.28719172,1.3182477
volume_sn_voxels_feature_37,0.04580848,1.2850523,-0.06760373,0.27431896,1.3949609,-0.25949916,0.51806855,-0.1734251,0.632799,0.1596497,0.35632396,0.6511623,-1.569083,1.249488,0.07753567,-1.0663347,0.71270037,0.073142685,-0.3869468,1.3394895
volume_sn_voxels_feature_38,0.22957878,0.8226306,-0.12835117,0.3695957,-0.62959695,0.1185497,-0.31834528,0.18654864,-0.507602,-0.12254787,-0.08347799,-0.1041339,-1.0776068,-1.3420894,0.11763708,-1.1442657,-0.7895892,0.66714984,0.1365307,-0.67111975
volume_sn_voxels_feature_39,0.23909298,1.0421836,-0.16496928,0.101835184,-0.54516315,0.13136698,0.085042246,0.18513831,-0.29053974,-0.06696093,-0.4204942,-0.045586977,-1.5442075,-1.238289,-0.1667168,-1.2858034,-1.0162169,0.33750933,1.0040244,0.096497476
volume_sn_voxels_feature_40,0.008614747,1.2530487,-0.26226613,-0.17788152,0.32751143,-0.030792179,0.42496517,-0.08599032,-0.06954173,0.03587299,-0.29007125,0.27455184,-1.5105051,1.0565996,-0.16688116,-1.2813251,-0.7689855,0.29287997,0.12651552,0.7488947
volume_sn_voxels_feature_41,0.22186528,1.3805815,-0.39519984,-0.019218795,1.0761737,0.10213759,0.6337283,-0.20744759,0.04334085,0.25906473,-0.25327927,0.48320514,-1.5742563,1.22755,-0.16881602,-1.2350872,-0.13104832,0.23101987,0.23763262,1.2476683
volume_sn_voxels_feature_42,0.40576097,1.3470578,-0.7154729,0.21093842,1.2559348,-0.2342261,0.53969896,-0.43530428,0.085061125,0.19457217,-0.6068021,0.5627834,-0.8042462,1.2558837,0.18090437,-1.4751645,0.59388703,0.5385339,-0.045978624,1.2906547
volume_sn_voxels_feature_43,0.76984495,0.9539868,0.44421783,-0.86468333,1.0351921,-1.1702178,-0.55577826,-1.1360437,0.8763991,0.88582873,-0.053608686,0.80763704,-1.2417748,0.66160387,0.23926115,0.83567667,0.47592777,0.086714454,-1.0581443,1.0410883
volume_sn_voxels_feature_44,0.2026568,0.041135408,0.8488903,0.75690323,0.21397021,-0.43202826,-0.012623831,-1.2776453,-0.13144384,1.20879,-0.38038418,0.47284785,-1.3986623,0.55376554,1.0142123,-0.17969711,-0.9405202,0.2697385,-0.81954426,1.1536446
volume_sn_voxels_feature_45,0.6815781,-0.056187324,0.114394516,1.1674906,-0.6654664,-0.09288584,0.2628309,-1.1465421,-0.50655276,1.0725033,-0.21461733,0.19558536,-1.5489397,-1.5163157,0.21360537,-1.010953,-1.1390125,-0.20712551,-0.26475802,0.25260168
volume_sn_voxels_feature_46,-0.34314296,0.9172533,-0.10788379,0.6562406,1.2147808,-0.3277613,0.37247032,0.4066071,0.30953193,-0.3583213,-0.37854153,-0.40581378,0.2748579,0.54590243,1.06327,-1.0866985,1.0732735,0.113784194,-1.3452095,1.2223504
volume_sn_voxels_feature_47,0.44546962,-0.46007666,0.042040292,0.70164376,-0.11746612,0.0056980825,0.19170466,-0.83102274,-0.21908769,0.74706477,-0.070645094,-0.007022259,-1.6483264,-1.1640757,-0.026831033,-0.27151698,-0.8346057,-0.11322283,0.1554695,-0.47543448
volume_sn_voxels_feature_48,-0.09296676,1.1802197,0.7621732,0.0029377074,0.89864784,-0.09413872,0.33490568,-0.7896001,0.6842885,-0.009647461,0.40777496,0.84129024,-1.2910159,0.10603262,-0.08323704,0.8278622,-0.66348135,-0.64465463,-0.21554382,1.1830031
volume_sn_voxels_feature_49,-0.24791802,0.6778139,-0.070308894,0.64004046,1.3176833,-0.513158,0.59920233,0.23091137,0.49069923,-0.95078284,-1.012639,-0.8045907,0.6697174,0.56381565,0.8648313,-1.1292356,1.284778,0.40118644,-1.4805174,1.2646185
volume_sn_voxels_feature_50,0.009083438,-0.8881097,0.11429065,0.29177004,-0.04121629,0.2891016,-0.18414447,-0.020086868,-0.27300116,0.3453344,0.42366806,-0.459263,-1.444774,-1.4039325,-0.027980303,0.43810797,0.1533787,0.24660105,0.0017460188,-0.99899304
volume_sn_voxels_feature_51,0.0075517683,0.21007563,0.4874737,-0.20109174,-0.48735777,0.2903967,-0.13148843,-0.13525905,0.06368882,-0.0988563,-0.12643504,0.13040547,-1.3103147,-1.3976489,0.025049763,0.67742497,-0.6540662,-0.66115075,0.17036112,-0.3577999
