Feature,Factor_2
Feature_0,0.09430301934480667
Feature_1,0.04205077514052391
Feature_2,0.08144499361515045
Feature_3,-0.6079158186912537
Feature_4,1.0967755317687988
Feature_5,0.05741477012634277
Feature_6,-0.06359367072582245
Feature_7,-0.08321242779493332
Feature_8,-0.055345576256513596
Feature_9,0.23165063560009003
Feature_10,0.09494611620903015
Feature_11,-0.5299080014228821
Feature_12,0.677101194858551
Feature_13,-0.13407328724861145
Feature_14,0.6214281916618347
Feature_15,0.6217488646507263
Feature_16,0.8047758936882019
Feature_17,-0.6152677536010742
Feature_18,0.917595386505127
Feature_19,-0.3342306911945343
Feature_20,0.9841764569282532
Feature_21,0.22439216077327728
Feature_22,0.5000255107879639
Feature_23,1.464698314666748
Feature_24,0.4042903184890747
