Factor_Index,Matches,Match_Rate_%,Status,Mean_Similarity
0,2,50.0,Unstable,0.6050269789993763
1,2,50.0,Unstable,0.7250289171934128
2,3,75.0,Robust,0.7134950095787644
3,2,50.0,Unstable,0.5295423753559589
4,2,50.0,Unstable,0.8719879239797592
