Patient ID,Factor_0
Subject_0,0.24164098501205444
Subject_1,-0.4952124059200287
Subject_2,0.061867088079452515
Subject_3,0.22555941343307495
Subject_4,-0.31768330931663513
Subject_5,-0.3996272683143616
Subject_6,-0.4967408776283264
Subject_7,-0.13582953810691833
Subject_8,0.1014530211687088
Subject_9,-0.2552872598171234
Subject_10,-0.4344140589237213
Subject_11,0.21316112577915192
Subject_12,-0.3118962347507477
Subject_13,0.7120335698127747
Subject_14,0.1390044093132019
Subject_15,-0.6896046996116638
Subject_16,-0.08011335134506226
Subject_17,0.5341228246688843
Subject_18,0.16212308406829834
Subject_19,-0.3985958397388458
Subject_20,-0.09018217027187347
Subject_21,0.4083704650402069
Subject_22,0.07670794427394867
Subject_23,0.14691010117530823
Subject_24,0.19881656765937805
Subject_25,0.40527471899986267
Subject_26,0.2102798968553543
Subject_27,-0.1772693395614624
Subject_28,0.4210178852081299
Subject_29,-0.20661477744579315
Subject_30,0.24945887923240662
Subject_31,-0.44130778312683105
Subject_32,0.4454650580883026
Subject_33,0.532254695892334
Subject_34,-0.42195069789886475
Subject_35,-0.15155091881752014
Subject_36,-0.040618881583213806
Subject_37,-0.03752906247973442
Subject_38,-0.3193571865558624
Subject_39,0.2838246822357178
Subject_40,0.20666585862636566
Subject_41,-0.19299131631851196
Subject_42,-0.3445337116718292
Subject_43,0.11146816611289978
Subject_44,-0.3787870407104492
Subject_45,0.41575250029563904
Subject_46,-0.061524078249931335
Subject_47,0.21431991457939148
Subject_48,0.15365159511566162
Subject_49,-0.4996607303619385
Subject_50,0.5617521405220032
Subject_51,0.2413899004459381
Subject_52,0.45457717776298523
Subject_53,-0.22366651892662048
Subject_54,-0.1790829747915268
Subject_55,0.16850878298282623
Subject_56,-0.017255261540412903
Subject_57,-0.4865054488182068
Subject_58,-0.2692383825778961
Subject_59,-0.05067463591694832
Subject_60,0.4815678596496582
Subject_61,0.24996617436408997
Subject_62,0.12956196069717407
Subject_63,-1.1039042472839355
Subject_64,-0.07360132038593292
Subject_65,-0.04098863899707794
Subject_66,-0.5238599181175232
Subject_67,0.7730116844177246
Subject_68,0.6524136066436768
Subject_69,-0.32182255387306213
Subject_70,-0.3614661693572998
Subject_71,-0.3427538573741913
Subject_72,0.16662456095218658
Subject_73,-0.08980372548103333
Subject_74,0.25237008929252625
Subject_75,-0.2285984754562378
Subject_76,-0.36588698625564575
Subject_77,-0.03591495007276535
Subject_78,0.958196759223938
Subject_79,-0.4108462929725647
Subject_80,-0.11467864364385605
Subject_81,0.6334929466247559
Subject_82,0.597341775894165
Subject_83,-0.036930449306964874
Subject_84,-0.248799666762352
Subject_85,0.26326441764831543
