Feature,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9
volume_sn_voxels::v0,0.00017333195,-0.00038506123,0.00020575698,0.0003394387,0.000107698725,-0.00017344256,0.00086012576,0.00028157342,-6.111421e-05,-0.0002847395
volume_sn_voxels::v1,0.00021539738,-0.0002720178,0.00044770018,0.00039057923,0.00023977444,-0.00023367444,0.0010229428,0.00028014308,-0.00011038459,-0.00016939819
volume_sn_voxels::v2,0.00018418644,-0.00042205714,5.4187094e-05,0.00037474555,0.0001369305,-0.0001833699,0.0007195405,0.0004535221,-0.0002951823,-0.0004059786
volume_sn_voxels::v3,0.00023403154,-0.00042772226,0.00016025444,0.00038839903,0.00030185765,-0.00023422732,0.0008274418,0.0005301981,-0.0003266154,-0.00029945848
volume_sn_voxels::v4,0.00030660623,-0.00041706028,0.00037170755,0.00042937227,0.0004332663,-0.00029443172,0.00091044465,0.00053532096,-0.0003133008,-0.00020018051
volume_sn_voxels::v5,0.00022101436,-0.00048681398,-8.0958045e-05,0.0003275916,0.00020217204,-0.00019574155,0.0005269142,0.00033427714,-0.00052977464,-0.000395119
volume_sn_voxels::v6,0.00027584902,-0.0004977819,-1.5423928e-05,0.00037878437,0.00036047646,-0.00024056587,0.0005698287,0.0005272455,-0.00058360834,-0.00030533984
volume_sn_voxels::v7,0.00034350803,-0.0004935718,8.2317674e-05,0.00043412863,0.00049686676,-0.00027791428,0.0006729239,0.000689479,-0.0005569357,-0.0003028663
volume_sn_voxels::v8,0.00040726582,-0.00053933874,0.00025294416,0.0004325432,0.00061129604,-0.00031129926,0.0007389946,0.0007939268,-0.00057426974,-0.00025154938
volume_sn_voxels::v9,0.00026910673,-0.00036978797,-0.00029222446,0.00023875099,7.266287e-05,-8.9991374e-07,0.000422477,-0.00022911899,-0.00045348282,-0.00034044508
volume_sn_voxels::v10,0.0002597081,-0.0004214683,-0.00029236736,0.0003210791,0.00019707708,-0.00011467669,0.00039429875,-0.000125694,-0.00060859165,-0.00033687195
volume_sn_voxels::v11,0.00030185742,-0.0005313734,-0.00024914255,0.00036173433,0.00029617632,-0.00015723649,0.0003056377,5.700289e-05,-0.0006402719,-0.0002961322
volume_sn_voxels::v12,0.00030734093,-0.0005208865,-0.00019047294,0.00040291544,0.00041431747,-0.00018789951,0.0003129686,0.00026145534,-0.0007057444,-0.00025303866
volume_sn_voxels::v13,0.00033767027,-0.0005922719,-0.00015731849,0.0004116871,0.0005563082,-0.0002552762,0.00027942783,0.00047890624,-0.00065245235,-0.00014340633
volume_sn_voxels::v14,0.00034064348,-0.0005626678,-7.5893695e-06,0.00045300784,0.0005214775,-0.00022397484,0.00024357058,0.00069273304,-0.0005993469,-0.00015536758
volume_sn_voxels::v15,0.0004200822,-0.0006038018,0.00020584348,0.00051087706,0.00075686054,-0.00023867698,0.00041454486,0.00077999046,-0.0006751948,-0.00019478801
volume_sn_voxels::v16,0.00031829323,-0.00013983199,-0.00014483916,0.00025119938,0.00033193358,0.00037116627,0.000121125864,-0.00071490405,-0.00065121363,0.00015398698
volume_sn_voxels::v17,0.00028657782,-0.00027129945,-0.00018905953,0.00021948006,0.0002174429,0.00018382035,0.00017502677,-0.00062700285,-0.00050767954,-5.022409e-05
volume_sn_voxels::v18,0.00034792116,-0.0004050583,-0.00027941048,0.0002997677,0.00031357774,5.90619e-05,0.00017737501,-0.0006559915,-0.0006169112,-0.0001364946
volume_sn_voxels::v19,0.0002999294,-0.0004715817,-0.00031621486,0.00032036475,0.00036239938,-0.00012207034,0.00019240378,-0.00034403717,-0.00064850715,-0.00018498854
volume_sn_voxels::v20,0.00033092586,-0.0006121127,-0.00029538045,0.000407651,0.0004572379,-0.00019884709,0.00014698697,-0.00010494678,-0.00058701896,-0.00011603172
volume_sn_voxels::v21,0.00038503128,-0.0007042968,-0.00021709637,0.00043900075,0.0006834124,-0.0002631289,0.0001369628,0.00019063923,-0.00065278145,-1.9491676e-05
volume_sn_voxels::v22,0.00039243678,-0.0006519757,-0.00012107722,0.00047973843,0.0007637683,-0.00027458873,9.073083e-05,0.00047545385,-0.00062513363,2.781812e-05
volume_sn_voxels::v23,0.0004230102,-0.0006698205,-1.1133234e-05,0.00047893415,0.0008281568,-0.00022943821,0.000100862846,0.00063847564,-0.00060888927,-2.7524018e-05
volume_sn_voxels::v24,0.0004992031,-0.0006222802,0.00015020357,0.00045469293,0.00089868106,-0.00024676172,0.00022794817,0.00083741685,-0.00061639585,-6.763337e-05
volume_sn_voxels::v25,0.00035161336,-0.0002502443,-5.630119e-05,0.00018599212,0.00039725393,0.00041168777,4.4963485e-06,-0.0009956299,-0.00052830117,0.0002752
volume_sn_voxels::v26,0.00037236084,-0.00032883728,-0.00019631338,0.00015211108,0.0003955931,0.00020136898,4.4373683e-05,-0.0009898221,-0.00046702518,0.00012258595
volume_sn_voxels::v27,0.0004009615,-0.00050863303,-0.0002488132,0.0001884443,0.0003802925,-1.8984385e-05,4.8162456e-05,-0.00084554264,-0.00058428856,-1.0386661e-05
volume_sn_voxels::v28,0.00034958974,-0.0005058772,-0.00024779394,0.00022660255,0.0003972646,-0.00014785166,2.202418e-05,-0.00053440046,-0.00048573985,-6.4374384e-05
volume_sn_voxels::v29,0.00042654833,-0.00061070896,-0.00024096572,0.00035881894,0.00052434753,-0.0002006284,-2.668355e-05,-0.00024905737,-0.00046114097,1.22938145e-05
volume_sn_voxels::v30,0.00047726402,-0.00069294963,-0.00020423577,0.0005047906,0.0007156248,-0.0002777589,-9.7287026e-05,0.00010395408,-0.00051436765,8.726201e-05
volume_sn_voxels::v31,0.00052053225,-0.0008368716,-0.00015052919,0.00056185195,0.00097313937,-0.00028936187,-8.026999e-05,0.00038695408,-0.00057141535,0.00011932924
volume_sn_voxels::v32,0.00053900067,-0.0008521427,-4.175975e-05,0.0005593626,0.0010392081,-0.00024722074,-3.6843765e-05,0.00067388575,-0.00057359546,6.182958e-05
volume_sn_voxels::v33,0.00056422764,-0.0006362138,0.00011265589,0.00053643074,0.0010122253,-0.0002485281,0.00015795998,0.00085294683,-0.00062128954,-9.715174e-05
volume_sn_voxels::v34,0.00042130833,-0.00041125188,-8.5280306e-05,6.129325e-05,0.00047334505,0.00018606166,-0.00011301024,-0.001066493,-0.00048367013,0.00017282068
volume_sn_voxels::v35,0.000399366,-0.00044540878,-0.00017848921,0.00011753956,0.00040079345,4.0681887e-05,-6.310213e-05,-0.0008786663,-0.0003758111,6.808903e-05
volume_sn_voxels::v36,0.00039773012,-0.0005708139,-0.00019478788,0.00019550335,0.0004682414,-0.00011457008,-0.00013971076,-0.0006376786,-0.00036217427,-7.879932e-06
volume_sn_voxels::v37,0.00040703954,-0.0006400346,-0.00023362617,0.0003159659,0.00063510955,-0.0001887099,-0.00014290003,-0.00034815617,-0.00038605832,-3.7273664e-06
volume_sn_voxels::v38,0.00051055243,-0.00077578914,-0.00019573595,0.00045012412,0.00081288384,-0.00020691886,-0.00012635006,-5.5968845e-05,-0.0003310916,8.8619236e-05
volume_sn_voxels::v39,0.0005464887,-0.00078108395,-0.00015041178,0.0005440361,0.0010855452,-0.0002430947,-0.00015629231,0.0002598991,-0.00038789184,9.98983e-05
volume_sn_voxels::v40,0.0005174122,-0.0007499631,-6.3216954e-05,0.0006020964,0.0010356902,-0.00016093253,-8.517482e-05,0.00049018854,-0.00048128038,-4.0232593e-05
volume_sn_voxels::v41,0.00039075298,-0.00040488254,9.250545e-05,3.5026205e-05,0.000475597,0.0001747335,-7.448961e-05,-0.0010029032,-0.00031988777,0.00020813396
volume_sn_voxels::v42,0.0004253254,-0.00046438808,-1.394114e-05,0.0001355411,0.00053782866,9.053863e-05,-0.00012123817,-0.0010122207,-0.00024845137,0.00011353662
volume_sn_voxels::v43,0.00048985775,-0.00059079303,-7.5381286e-05,0.00020599921,0.0006183397,-5.2122956e-05,-0.00012910311,-0.0007328723,-0.00019609966,6.144634e-05
volume_sn_voxels::v44,0.0004613821,-0.0005993848,-0.00013950955,0.0003228329,0.0007091661,-0.00015009257,-0.00012600185,-0.0004908136,-0.00019252884,-1.8377941e-05
volume_sn_voxels::v45,0.00054055743,-0.00079727767,-0.00021945212,0.00046731238,0.00086557824,-0.00014368864,-0.00019648572,-0.00021720616,-0.00027847264,-3.2048938e-05
