Feature,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9
rigidity_left,0.00021804504,-0.0004782186,-0.0007939564,-0.00016152642,0.0014428587,-0.0016136282,0.0022964377,-0.00061324914,0.0010680482,-0.00015140549
rigidity_right,4.309619e-05,-0.0002702123,-0.000323593,0.0007428156,-0.0019054796,-0.0010585955,-0.0004189558,-0.0010626845,-0.0012597432,0.00049690326
tremor_rest_left,9.066199e-05,-0.0007672291,-0.00011356704,-0.0007575998,0.00073660986,0.001231426,0.0024655906,0.0012111813,0.0013265647,-0.0014870316
tremor_rest_right,0.00024936782,-0.00047668463,6.550553e-05,-0.000295639,-0.00097370765,0.00069676223,0.00055898924,0.0011396569,-0.001505104,-0.002115827
tremor_postural_left,-0.0002929363,-0.00095146144,-0.0004479497,-0.00086983363,0.0013363664,0.0010579807,0.0007370625,0.00048049368,0.0017549677,0.00012615959
tremor_postural_right,0.000105735824,-0.00015612823,0.0009079832,0.00018665731,-0.0023593905,0.0006727092,-0.0019060541,0.0008044552,-0.0014533835,-0.0010315231
bradykinesia_speed_left,0.00034767875,0.00014749219,0.00014650772,0.000379312,0.001478134,-0.0010241534,0.0017079565,-0.0005499558,0.0013808684,0.00096216286
bradykinesia_speed_right,4.0212017e-05,4.4672117e-05,-0.0003733673,0.0008686939,-0.001548814,-0.0002063422,-0.0015448909,0.0011568225,-0.0019887886,-0.0010287307
bradykinesia_amplitude_left,0.0004346155,0.00013387146,2.9862085e-05,-0.00010038623,0.0020351314,-0.0011437106,0.0011590269,-0.00093079224,0.0012922137,0.0012433457
bradykinesia_amplitude_right,-6.0761566e-05,0.00019099817,-0.00026561628,0.0009259968,-0.0013963969,-0.0005716006,-0.0018451934,0.0007286395,-0.0021031247,-0.00050209765
bradykinesia_rhythm_left,0.00024890748,2.1980073e-05,1.3946058e-05,0.00020289433,0.00066998956,-0.0014135644,-0.00049301336,-0.0015793422,0.0021000358,0.00023929139
bradykinesia_rhythm_right,0.0002939549,0.00016594144,0.00012291674,0.00051418116,-0.0012619423,-0.0023187092,-0.0031070407,-0.00044471736,-0.002214467,0.0012175915
mirrormovement_left,-0.00046538343,-0.0004837933,-0.0006986705,0.0027065293,-0.003929065,-0.0016420527,0.00023189897,0.0011561046,-0.001558303,-0.0039924607
mirrormovement_right,0.00045684935,8.54728e-05,0.0007018771,0.0011510839,0.0034442353,-0.0015275365,0.0032062584,-0.00010699424,0.0023932138,-6.256673e-05
