factor_index,max_loading,mean_loading,median_loading,std_loading,nonzero_count,nonzero_pct,is_effective
0,1.8029,0.5067,0.4301,0.3801,528,0.9851,True
1,2.2628,0.5076,0.3749,0.4279,531,0.9907,True
2,2.7001,0.5615,0.3808,0.5206,523,0.9757,True
3,1.8041,0.3932,0.2828,0.357,528,0.9851,True
4,3.2806,0.433,0.2748,0.4977,519,0.9683,True
5,2.4829,0.4251,0.3342,0.3501,530,0.9888,True
6,1.8126,0.4785,0.3721,0.396,530,0.9888,True
7,2.5229,0.4625,0.3178,0.4624,528,0.9851,True
8,2.5202,0.5109,0.3655,0.4656,527,0.9832,True
9,1.6831,0.392,0.298,0.3501,523,0.9757,True
10,2.2682,0.5658,0.4204,0.4879,531,0.9907,True
11,2.2594,0.4751,0.3015,0.4898,527,0.9832,True
12,1.7454,0.5741,0.4669,0.4112,529,0.9869,True
13,2.3144,0.4947,0.3361,0.4368,531,0.9907,True
14,2.5245,0.4468,0.2912,0.4227,521,0.972,True
15,2.2935,0.4562,0.3308,0.4174,528,0.9851,True
16,2.1727,0.4675,0.2968,0.4618,522,0.9739,True
17,2.2745,0.4412,0.3047,0.4072,529,0.9869,True
18,2.5124,0.4745,0.3364,0.4477,524,0.9776,True
19,2.5281,0.5712,0.4195,0.4857,530,0.9888,True
20,1.9952,0.555,0.4489,0.4325,525,0.9795,True
21,2.4429,0.5035,0.3688,0.4719,521,0.972,True
22,2.1537,0.4081,0.2713,0.4147,523,0.9757,True
23,2.5057,0.493,0.3398,0.4584,531,0.9907,True
24,2.654,0.5459,0.3882,0.5084,527,0.9832,True
25,1.8504,0.4753,0.374,0.3849,529,0.9869,True
26,2.1601,0.4968,0.3603,0.4504,526,0.9813,True
27,2.3703,0.545,0.3929,0.4717,529,0.9869,True
28,1.9001,0.4813,0.3751,0.4082,528,0.9851,True
29,1.8787,0.3908,0.2781,0.3732,521,0.972,True
30,2.2819,0.4644,0.316,0.4407,526,0.9813,True
31,2.359,0.3366,0.2269,0.3625,522,0.9739,True
32,1.772,0.5189,0.429,0.4026,529,0.9869,True
33,2.4554,0.51,0.3417,0.4813,526,0.9813,True
34,2.1977,0.4731,0.3688,0.3861,533,0.9944,True
35,1.7337,0.4095,0.3071,0.3616,523,0.9757,True
36,1.7724,0.4448,0.3348,0.3862,525,0.9795,True
37,2.2879,0.4251,0.3163,0.4062,526,0.9813,True
38,1.9298,0.458,0.3718,0.3797,528,0.9851,True
39,2.1476,0.4886,0.3398,0.4309,530,0.9888,True
40,2.1433,0.4654,0.3202,0.4243,527,0.9832,True
41,2.3988,0.577,0.4638,0.4747,529,0.9869,True
42,2.0102,0.4646,0.3313,0.4102,531,0.9907,True
43,2.057,0.3536,0.2437,0.372,524,0.9776,True
44,2.0926,0.4672,0.31,0.4343,528,0.9851,True
45,2.2029,0.505,0.3558,0.4631,528,0.9851,True
46,2.5254,0.3797,0.2653,0.3957,517,0.9646,True
47,2.1746,0.4259,0.3189,0.4115,528,0.9851,True
48,2.0855,0.5021,0.3672,0.4294,528,0.9851,True
49,2.034,0.3826,0.2517,0.388,526,0.9813,True
