factor_index,max_loading,mean_loading,median_loading,std_loading,nonzero_count,nonzero_pct,is_effective
0,1.6982,0.6253,0.579,0.4317,531,0.9907,True
1,1.863,0.6046,0.4874,0.4479,528,0.9851,True
2,1.7368,0.5658,0.4722,0.426,529,0.9869,True
3,2.1145,0.5376,0.3717,0.4711,526,0.9813,True
4,2.0496,0.5046,0.3299,0.4699,530,0.9888,True
5,1.9594,0.5211,0.3414,0.481,524,0.9776,True
6,2.1966,0.3927,0.2641,0.385,527,0.9832,True
7,2.0902,0.5431,0.3993,0.4534,520,0.9701,True
8,2.0074,0.6445,0.5768,0.4644,532,0.9925,True
9,1.8255,0.4963,0.3216,0.4496,516,0.9627,True
10,2.0902,0.5271,0.3643,0.4783,527,0.9832,True
11,1.6148,0.685,0.71,0.3972,532,0.9925,True
12,2.1163,0.499,0.3906,0.4162,524,0.9776,True
13,1.716,0.4512,0.3252,0.4013,527,0.9832,True
14,1.6708,0.5539,0.4295,0.4285,526,0.9813,True
15,1.6393,0.4954,0.3563,0.4234,526,0.9813,True
16,1.7671,0.5925,0.4976,0.417,527,0.9832,True
17,2.6121,0.394,0.2657,0.393,521,0.972,True
18,2.329,0.4276,0.2915,0.4223,528,0.9851,True
19,1.7499,0.5096,0.3606,0.4391,529,0.9869,True
