Feature,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14,Factor_15,Factor_16,Factor_17,Factor_18,Factor_19,Factor_20,Factor_21
rigidity_left,6.572530401172116e-05,-0.00032777179148979485,-9.679100185167044e-05,-0.00014431707677431405,-0.0006659915670752525,0.0003877668350469321,-0.0005896515212953091,-0.00100321089848876,6.757599476259202e-05,9.033198693941813e-06,0.0001402594498358667,-0.00020104137365706265,-0.0014920830726623535,0.0020972713828086853,0.0006341306143440306,-0.0016671317862346768,0.000907747307792306,-0.0017810144927352667,-0.0020617360714823008,0.000202356866793707,7.873293361626565e-05,0.0006366939633153379
rigidity_right,-1.5686147889937274e-05,0.00023232147214002907,-0.0006584227085113525,0.0004166733124293387,0.0004617965314537287,-0.0008691614493727684,0.00018261995865032077,-0.00015983825142029673,-0.00048435930511914194,0.00013304459571372718,-0.0008796159527264535,-0.0009682326344773173,8.83379252627492e-05,-0.0005220635794103146,0.00023539329413324594,0.0023709842935204506,0.0007318470743484795,0.00024764277623035014,0.0022075334563851357,0.00026387133402749896,-0.0008175424300134182,-0.0005840916419401765
tremor_rest_left,0.00011216306302230805,-4.413661008584313e-05,8.537084795534611e-05,-0.0006432960508391261,0.0002581434091553092,0.0012171082198619843,-0.0005632403190247715,-0.0006931258831173182,0.00034062378108501434,0.00021720011136494577,-0.00037075657746754587,-0.0005610301159322262,-0.0011630377266556025,0.000911945418920368,-0.00026613258523866534,0.0005301724886521697,0.001192626659758389,-0.0003678661596495658,0.00040042054024524987,-0.00267791748046875,-0.002105988562107086,0.0022240281105041504
tremor_rest_right,0.00016650529869366437,4.991438618162647e-05,-0.0001682569709373638,-0.0001871353597380221,0.0005613538669422269,0.00014268819359131157,6.451408262364566e-05,-0.000297986320219934,0.000646169064566493,0.00025914484285749495,-0.0007489863783121109,-0.0007207232993096113,0.00013757038686890155,0.00041414148290641606,-6.817999746999703e-06,0.0015435190871357918,0.00152546854224056,0.0006751243490725756,0.0022682908456772566,-0.0016731515061110258,-0.0017315088771283627,0.0009147220989689231
tremor_postural_left,-0.00013165466953068972,-0.00016866954683791846,6.882492743898183e-05,-0.001087906421162188,-0.00010282151924911886,0.0008217284921556711,-0.00045036576921120286,-0.0002084985899273306,0.00014178971468936652,-0.00027195760048925877,0.00016766165208537132,-0.00015082817117217928,-0.0009561327169649303,0.0005264673382043839,-0.00014163843297865242,-0.0003398428380023688,0.00011171665391884744,-0.0012302544200792909,-0.002142174169421196,-0.0033284404780715704,-0.0019898307509720325,0.00247359462082386
tremor_postural_right,5.651205719914287e-05,0.0004673890070989728,-0.0001277139235753566,7.53439380787313e-05,0.000946916057728231,-0.0006810471531935036,0.0004058058257214725,0.0006922406610101461,0.0008170666988007724,0.0003518134471960366,-3.167276372550987e-05,0.00035145453875884414,0.00019550169236026704,-0.0008078461978584528,-0.0010442142374813557,0.0021295154001563787,0.00033538867137394845,0.002272192621603608,0.003467631759122014,-7.202558481367305e-05,-0.0002136655239155516,-2.8353879315545782e-06
bradykinesia_speed_left,7.259949779836461e-05,-8.94771728781052e-05,0.0001547852880321443,0.00016256648814305663,-0.0007876737508922815,0.0005502249114215374,-0.00040202384116128087,-0.0006998780299909413,-0.0002568896161392331,-0.00033139678998850286,0.0011980647686868906,0.00042890332406386733,-0.0007700129644945264,0.0018988444935530424,0.00040089586400426924,-0.0007380556198768318,0.0008777501061558723,-0.00013292289804667234,-0.0018063924508169293,-0.0009987076045945287,-0.0007816764991730452,0.0017480315873399377
bradykinesia_speed_right,-2.3982418497325853e-05,5.908710591029376e-05,-0.0004386919317767024,0.0005470436299219728,0.000422942015575245,-0.0005237908335402608,0.0006115362048149109,0.0007758269202895463,0.00022472554701380432,-0.00017129373736679554,-0.000776225293520838,-0.0003321686526760459,0.000911858631297946,-0.0004170138272456825,-0.0005281823687255383,0.0008051437907852232,-8.425106352660805e-05,-0.0009642856894060969,0.002124104415997863,-0.0001985902345040813,-6.45188702037558e-05,-0.0006507315556518734
bradykinesia_amplitude_left,9.869018686003983e-05,-0.00017501054389867932,0.00030092569068074226,-8.862385584507138e-05,-0.0009999566245824099,0.0003533914568834007,-0.0006244033575057983,-0.0007774359546601772,-0.00012503867037594318,-0.0005307177780196071,0.0012248040875419974,0.0001901452342281118,-0.0010659133549779654,0.0019071619026362896,0.00040049554081633687,-0.0008087441674433649,0.00033079402055591345,-0.00016836615395732224,-0.0025561144575476646,-0.0008351702708750963,-0.0005333807785063982,0.002161892596632242
bradykinesia_amplitude_right,-4.575499769998714e-05,0.0001158279919764027,-0.0005422136164270341,0.0006263989489525557,0.000244311144342646,-0.0006500863819383085,0.0005137578118592501,0.0006906702183187008,0.000124779820907861,-0.00033767599961720407,-0.0010081848595291376,-0.0006052942480891943,0.0009509702795185149,-0.0008894831407815218,-0.00018398625252302736,0.0006634782766923308,-0.0005005443817935884,-0.0010817686561495066,0.0020390679128468037,-0.0005228010122664273,0.00010319428838556632,0.0007959527429193258
