Factor_Index,Matches,Match_Rate_%,Status,Mean_Similarity
0,4,100.0,Robust,0.9991156458854675
1,4,100.0,Robust,0.9966029226779938
2,4,100.0,Robust,0.9952765554189682
3,4,100.0,Robust,0.9929240196943283
4,4,100.0,Robust,0.9919484406709671
5,4,100.0,Robust,0.9912048280239105
6,4,100.0,Robust,0.9925616681575775
7,4,100.0,Robust,0.9906546473503113
8,4,100.0,Robust,0.9901648759841919
9,4,100.0,Robust,0.9894524067640305
10,4,100.0,Robust,0.9878209233283997
11,4,100.0,Robust,0.9876963645219803
12,4,100.0,Robust,0.9879657030105591
13,4,100.0,Robust,0.9844210594892502
14,4,100.0,Robust,0.9875032901763916
15,4,100.0,Robust,0.9825627356767654
16,4,100.0,Robust,0.9869896620512009
17,4,100.0,Robust,0.9843502938747406
18,4,100.0,Robust,0.9739037305116653
19,4,100.0,Robust,0.9767808616161346
20,4,100.0,Robust,0.9761100709438324
21,4,100.0,Robust,0.9803531020879745
