Feature,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14,Factor_15,Factor_16,Factor_17,Factor_18,Factor_19,Factor_20,Factor_21,Factor_22,Factor_23,Factor_24,Factor_25,Factor_26,Factor_27,Factor_28,Factor_29
volume_sn_voxels_feature_0,0.33736536,0.5025291,-0.35027036,-0.66122586,-0.57607496,0.21155925,0.18394035,-0.033227824,-0.06623117,-1.1876272,-1.2755903,-0.6190729,0.50599635,-0.021901995,-0.07248377,0.3179168,-1.2672951,1.3681078,-0.29780406,-0.089565806,0.32646415,-0.6443949,-0.79183686,-0.012282133,-0.45984727,0.0109537495,-0.041126877,0.094060875,-0.0202232,-0.44142184
volume_sn_voxels_feature_1,-0.5727086,0.16831693,0.16281882,-0.038128324,-0.63647664,-0.13412812,-0.30917513,0.27276808,1.0344146,-1.2010498,-1.1698735,-0.72508305,0.2901485,-0.08084559,0.2783613,-0.08021631,0.5664086,1.082375,-0.345588,0.09933189,0.23406431,-0.93853486,-1.2644051,-0.69659036,0.3622314,-0.02491994,-0.076081485,0.80074465,-0.9854043,-0.6036675
volume_sn_voxels_feature_2,1.0625536,0.1414327,-0.08163146,-0.43995938,0.16974309,0.099746995,0.12871343,-0.7480573,-0.6788153,-0.15782723,-0.178228,0.27036935,0.4005391,0.006897705,0.046584155,0.3186787,-1.0201807,0.5456064,0.22105332,-0.31532484,0.009690165,-0.28749335,-1.4205427,1.0748136,-0.3240004,-0.025230028,0.19831635,-0.25297755,0.70225036,-0.11962656
volume_sn_voxels_feature_3,1.4015518,-0.47491908,-0.05102598,-0.07147182,0.63914937,0.34981295,-0.3412657,-0.38345054,-0.047774706,-0.1260294,-0.2299877,-0.19731988,0.5853967,0.088845134,0.110767186,-0.11063373,0.56158656,1.0023212,0.34079856,-0.065700114,0.09323322,-0.16408183,-1.4033185,0.47714227,-0.06557924,0.34790248,0.12500897,0.48076406,0.026113879,0.07985466
volume_sn_voxels_feature_4,1.5354437,-0.96000546,-0.36406162,-0.16039017,1.1490046,0.1082339,-0.33530465,-1.0275924,-0.24417597,1.2209501,0.41126007,0.9607032,0.64721316,-0.452198,1.01735,-0.2720243,0.46509287,-0.8928285,1.2151622,-0.4614634,-0.20204991,0.18848915,-1.4066992,0.5747448,-0.16604671,0.8775038,-0.028395202,0.4623943,0.39331782,0.10513432
volume_sn_voxels_feature_5,1.1568564,0.19694,0.029603437,-0.40449524,0.5914357,1.3628367,-0.09689187,-1.1734099,0.41416308,-0.6580228,-0.09863692,-1.2649952,0.15137787,0.3218465,-0.6135949,0.69649214,-0.53705007,0.5912881,0.7570777,0.008061135,0.216576,-0.25667787,-0.9988113,0.61729807,-0.823588,0.5366175,0.2866934,1.373058,1.3717984,0.53335446
volume_sn_voxels_feature_6,1.3232907,0.69270104,0.16921903,-0.5101217,-0.78187865,0.95062315,0.10797341,-0.30950654,-0.25393122,0.037498638,0.29838315,-1.1387324,0.25491276,0.50305325,-0.10496283,0.41296065,-0.7541251,-0.18296278,0.11312146,-0.7800611,0.42850962,-0.64564973,-1.479239,0.34719327,0.044519536,-0.40467426,0.010324177,1.1844434,0.45379242,-0.023280414
volume_sn_voxels_feature_7,1.3382796,0.36881748,0.5422452,0.06314514,0.25251955,0.94934875,-0.14945717,-0.7888282,0.17830507,-0.8704335,-0.16534562,-0.8976916,0.5314018,-0.30193383,0.050795063,0.75264007,0.74107504,0.95632726,0.12711716,0.13237084,-0.05805522,-0.5516482,0.21349417,-0.26910558,-0.65334344,0.48093477,-0.93221486,1.2417085,0.65639174,0.67497224
volume_sn_voxels_feature_8,1.3296912,0.425972,0.39417133,0.14285949,-0.81466293,0.05654472,0.01860287,0.87781477,-0.66062874,-0.054848548,0.048018083,0.26668262,0.21284497,0.15543234,0.85665184,-0.02398159,-0.115377575,0.43418902,-0.9695206,0.6366069,-0.8388387,-0.2619193,-0.24948996,-1.374492,0.1315069,0.07242018,-1.1159558,1.1733829,0.341976,-1.109955
volume_sn_voxels_feature_9,1.2595723,0.12431749,0.17238031,0.32250538,-0.45722148,-0.07145065,0.012117457,1.2012174,-1.0812054,-0.18210134,0.3994344,1.018418,-0.20849158,-0.20656042,0.44254518,-0.62067086,-0.9966264,0.126232,-0.4951397,1.2468866,-1.0632255,0.3363219,-0.06347992,-1.1997149,0.07163168,0.08067114,-1.277576,1.5852304,0.46780244,-1.2321442
