Feature,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4
volume_sn_voxels::v0,-2.0310614,-3.6547668,-0.51499605,0.18118767,5.5228715
volume_sn_voxels::v1,-8.806998,-0.19398552,-0.31824535,-0.52960217,-4.486365
volume_sn_voxels::v2,1.2963678,9.747023,-0.329074,-0.45621088,6.4524283
volume_sn_voxels::v3,3.1049676,-1.2738739,-0.69194824,-0.090002224,-3.0606966
volume_sn_voxels::v4,-34.804226,2.942053,-0.3145531,-0.47749555,3.4534879
volume_sn_voxels::v5,-0.16098298,17.294735,-0.44496608,-0.4022532,-0.73097146
volume_sn_voxels::v6,15.844225,-1.2042869,-0.42342213,-0.25160435,16.088854
volume_sn_voxels::v7,-9.587188,-5.5822268,-0.70060056,-0.5412784,4.9477096
volume_sn_voxels::v8,-8.525221,2.5124538,-0.12748867,-0.8362408,4.555432
volume_sn_voxels::v9,35.388386,2.2762465,-0.31936783,-0.5443543,6.179132
volume_sn_voxels::v10,-6.104198,0.97824675,-0.29208857,-0.16718459,1.4997047
volume_sn_voxels::v11,-6.7597117,7.980202,-0.51981246,-0.5690681,16.26605
volume_sn_voxels::v12,-9.571101,0.5462975,-1.1443583,0.12312504,6.6681867
volume_sn_voxels::v13,-3.9211419,2.6573176,-0.83959824,0.12341108,6.7482424
volume_sn_voxels::v14,-12.2536955,-0.77114016,-0.49631014,-0.88931835,10.343105
volume_sn_voxels::v15,-4.8282743,-4.0863857,-0.6238409,-0.38398293,9.827198
volume_sn_voxels::v16,-22.996231,8.711134,-0.57691413,-0.9335866,0.2511438
volume_sn_voxels::v17,2.4091232,1.8951408,-0.45769423,-0.5438836,-0.092040196
volume_sn_voxels::v18,1.0038952,-1.1221738,-0.52890086,-0.30713356,2.3932323
volume_sn_voxels::v19,-7.6864734,-6.342918,-0.17032832,-0.46937212,-6.405646
volume_sn_voxels::v20,-17.944916,-1.8135115,-0.72428656,-0.57397914,-1.9840318
volume_sn_voxels::v21,27.332169,2.8960993,-0.84751934,-0.16090977,-0.33668092
volume_sn_voxels::v22,-29.594938,4.032324,0.000103059436,-1.082996,2.2275732
volume_sn_voxels::v23,-4.373022,0.39858556,-0.50771683,-0.5635195,-8.456238
volume_sn_voxels::v24,-48.84114,-0.08005829,-0.87257403,-0.47293395,0.51948243
