factor_index,max_loading,mean_loading,median_loading,std_loading,nonzero_count,nonzero_pct,is_effective
0,622.4722,70.5768,14.6815,126.8045,1808,1.0,True
1,735.9421,62.0314,17.7026,107.4408,1808,1.0,True
2,7.3176,1.6976,1.3436,1.4084,1807,0.9994,True
3,1.7607,0.7312,0.77,0.3864,1807,0.9994,True
4,424.4443,50.9024,15.1402,76.1161,1808,1.0,True
5,3.1203,0.9702,0.8857,0.658,1808,1.0,True
6,4.9945,1.2606,1.0753,0.9183,1808,1.0,True
7,5.6204,1.5368,1.3213,1.1395,1806,0.9989,True
8,7.5305,1.8044,1.5161,1.4105,1808,1.0,True
9,5.2474,1.1693,0.9757,0.9223,1807,0.9994,True
10,71.6598,9.8049,5.4698,12.1868,1808,1.0,True
11,10.5464,2.6136,2.0769,2.1644,1806,0.9989,True
