Factor_1,Factor_2,Factor_3,Factor_4,Factor_5
3.2500033101339976,10.918662735644249,8.468284967626458,1.1917557665358174,0.7209901300203663
3.70974831991182,11.25341612492402,7.279963559560015,0.7656557808837815,0.8742185334022894
2.9187033404639218,10.142478973194933,9.249897353009198,2.019783289457056,0.4448055134312577
3.2649593714458023,10.271223704460919,8.601949724625976,1.85440063543858,0.43738872276675694
3.630483264018985,9.956060587051319,7.520990695374415,1.4724128473701374,0.6712787883967881
2.6794133565101412,9.625867125717289,9.646326069168566,2.821902961633282,0.18232653755467887
2.987568947766148,9.54101495747681,9.203532633236591,2.7879165180959733,0.10505469756914894
3.286268515651615,9.44962403040781,8.553602686649631,2.606058658098821,0.15998470081859023
3.5501754665941743,9.029563733097735,7.589911033644727,2.2002516189746935,0.45665660957499304
2.1100442441620144,9.267302654800805,9.171760759467087,3.3816721407346018,0.4675948035803227
2.2512249182258888,9.42359278972771,9.60980328751319,3.4247634148905517,0.21912905274999783
2.47246630343647,9.168996570301182,9.774866591490527,3.4922931541606212,0.018855837436494688
2.736079118853791,8.52354204519077,9.470297653174757,3.463041066281277,0.0
3.0301532281818244,8.230393226941109,8.979737222482749,3.356139910635975,0.0
3.3065487365193333,8.360030200764967,8.472618550700687,3.183797337419469,0.0
3.49985580425259,8.259561557819625,7.607370344068234,2.761229418911544,0.29322217086303154
2.368240070950851,9.399202786260016,6.779314496601302,3.4375282498121917,0.8272388940476487
2.206963725026768,8.629143611615078,7.786531815633893,3.751309716366515,0.6181175271347348
2.2117290328434107,8.415855466089992,8.659706115591838,3.863201305792393,0.36205285009400534
2.331765872824927,8.235505857179465,9.309172303908504,3.9383257219280834,0.10385604620125571
2.535232217016218,7.58363053427222,9.477968459518094,3.9446491066195146,0.0
2.812894049569993,7.02949143361073,9.17720952640001,3.8312568766198756,0.0
3.080335594051967,7.012176436315693,8.738928249085722,3.6677051621172714,0.0
3.3037840864116728,7.368861011756776,8.303584322915231,3.4827304453267987,0.0
3.4590500177549113,7.7256104745372145,7.560263285857507,3.1238640192558127,0.20685570816771473
2.609226010500195,8.034116134652573,6.163348583894452,3.5035705185555153,0.8939434239448696
2.382010899273671,7.126971804157274,7.163119492467188,3.8996438528636044,0.7123268922339068
