Feature,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11
volume_sn_voxels::v0,4.8877454,-3.5354884,-0.3250516,-2.4157238,-0.074399754,0.08360191,0.50968736,-13.993577,1.7501417,-0.20248562,-17.878206,-0.5674141
volume_sn_voxels::v1,3.7000473,-4.112243,-0.34734806,-2.4436686,-0.22931269,0.21121667,0.58063215,4.264225,2.1874878,-0.6410553,-15.017044,-0.6778833
volume_sn_voxels::v2,8.723669,-3.915164,-0.57065934,-3.2469413,-0.21145427,0.13122462,0.2754104,-26.741234,1.661012,0.066358946,-19.931566,0.44147387
volume_sn_voxels::v3,5.9325323,-4.6252975,-0.3660626,-3.7404344,-0.1569721,0.27942494,0.36996534,-16.9985,2.5576231,-0.36961758,-17.911871,0.55355877
volume_sn_voxels::v4,5.956624,-5.1436925,-0.22666617,-3.7336125,-0.09447645,0.38444984,0.427258,3.9071043,3.3230677,-0.7061056,-14.114598,0.5294372
volume_sn_voxels::v5,5.696187,-3.4859114,-0.8836115,-3.8560066,-0.39018553,0.20323882,0.08733352,-32.170906,0.62236905,0.15563656,-19.128006,1.2660551
volume_sn_voxels::v6,5.54946,-4.0386686,-0.6951085,-4.441118,-0.5808633,0.3567,0.10995363,-25.970068,1.5846994,-0.14600891,-17.23406,1.3037004
volume_sn_voxels::v7,3.7193048,-5.0945826,-0.46010712,-5.1203494,-0.5388163,0.50390744,0.17202684,-16.64372,2.8866448,-0.42611244,-15.600554,1.4670848
volume_sn_voxels::v8,1.2251306,-5.865763,-0.23609126,-5.151015,-0.21952721,0.6321162,0.1836552,3.958252,4.162185,-0.68162376,-11.76694,1.6381344
volume_sn_voxels::v9,-6.3749576,-2.2382832,-0.77725095,-3.2749393,-0.62238836,-0.08262464,0.14519465,-33.549877,-2.6295607,0.25267568,-17.707994,0.96571296
volume_sn_voxels::v10,0.9447202,-2.375487,-1.0950247,-3.9231179,-0.9556527,0.058604486,0.070661575,-36.14306,-2.4229035,0.13227573,-19.04703,1.3668122
volume_sn_voxels::v11,1.1940178,-2.4898536,-1.0975046,-4.330013,-0.8495005,0.21172678,0.06463237,-32.052135,-1.5049331,-0.010981604,-17.332338,1.691315
volume_sn_voxels::v12,4.5102606,-2.8676653,-1.1579584,-5.359461,-0.8811904,0.42336485,0.04414303,-29.387146,-0.33608517,-0.2318853,-16.65844,1.862194
volume_sn_voxels::v13,2.7945573,-3.1656787,-0.84409386,-5.4787908,-0.7374672,0.56781435,0.076765455,-19.333633,1.0678535,-0.37412387,-12.661931,1.7269856
volume_sn_voxels::v14,0.68069184,-3.821955,-0.518769,-5.419521,-0.5247339,0.64656353,0.056256287,-8.769884,2.192055,-0.45454443,-9.641518,1.6656313
volume_sn_voxels::v15,0.9443501,-4.9749813,-0.37868923,-5.7331305,-0.2707767,0.78643566,-0.016411914,5.786979,4.024468,-0.6170641,-7.4375725,2.0280032
volume_sn_voxels::v16,-46.933525,-2.2196696,-0.37793916,-2.9482253,-1.5791754,-0.018609101,0.7342139,-17.935577,-5.4321947,0.61205816,-7.9526243,0.9413088
volume_sn_voxels::v17,-25.6194,-1.3730032,-0.46838686,-3.2088773,-1.4674978,-0.092230245,0.36794978,-24.889227,-4.916055,0.29341337,-11.3049965,0.6865859
volume_sn_voxels::v18,-11.217382,-1.4354513,-0.9710008,-4.467831,-1.9508362,-0.011318639,0.19695318,-34.900852,-5.47631,0.10014933,-16.324707,1.0161628
volume_sn_voxels::v19,-2.050226,-1.2524962,-1.0786968,-4.7292514,-1.596133,0.1370499,0.060509916,-31.308687,-4.210414,-0.082258604,-15.70709,1.3458022
volume_sn_voxels::v20,2.289718,-1.1258786,-1.2305049,-5.4036527,-1.1710393,0.32972443,-0.0096119465,-25.658978,-2.5885177,-0.32346702,-14.124575,1.5233632
volume_sn_voxels::v21,4.2573943,-1.4176112,-1.1879591,-6.1981983,-0.93141437,0.5902695,0.13116431,-18.111979,-0.95531505,-0.4984,-11.306585,1.6714602
volume_sn_voxels::v22,2.2449903,-1.911442,-0.93257314,-6.5281005,-0.7662899,0.75356823,0.14617564,-9.3562355,0.61516726,-0.6387903,-8.164333,1.5995413
volume_sn_voxels::v23,0.093984365,-2.9373794,-0.7340547,-6.673083,-0.6868526,0.8620035,0.07742031,-1.5666838,2.0865457,-0.6283838,-6.0486617,1.7696092
volume_sn_voxels::v24,-3.3506122,-3.885773,-0.40729362,-6.3504715,-0.016194468,0.9607377,-0.13622709,11.982288,3.838007,-0.5699711,-3.5275738,2.1312582
volume_sn_voxels::v25,-41.00599,-1.3555475,-0.864108,-3.3562875,-2.3448277,0.040359017,0.7870509,-11.998265,-7.3103,0.47709638,-5.1271653,0.532692
volume_sn_voxels::v26,-22.177088,-0.69177693,-0.91071326,-3.8119774,-2.2911246,-0.047694284,0.4213383,-21.200775,-7.1447687,0.22530827,-8.906079,0.40659547
volume_sn_voxels::v27,-6.852091,-0.37726542,-1.1546319,-4.7916684,-2.3270304,0.010171812,0.18749726,-27.998281,-7.0981016,-0.034133393,-12.646685,0.71963567
