Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14,Factor_15,Factor_16,Factor_17,Factor_18,Factor_19,Factor_20
2.3553061,1.1895714,2.368977,-0.74789196,-2.2051654,1.4134839,0.0064445618,-1.9663587,-1.0660726,-0.95917064,-0.5047643,2.0103934,0.64456534,-0.042806298,-0.30235276,-0.7007766,-0.1486057,0.80606455,1.166111,0.17453647
0.78606343,0.023927143,0.12986302,-0.28643668,0.57878584,-0.18673559,-1.7084912,0.6872836,-0.8334899,-0.8950497,1.623288,0.3150366,-1.4207042,-1.4626056,-0.025927542,-0.6351099,0.13388143,-0.2541032,0.037700944,1.6505486
-0.11472799,0.30171376,0.38395363,-1.1675957,0.089127794,-0.57414824,0.16182967,0.41834322,1.3520957,-0.7781346,-1.4857601,1.4691823,2.1160927,0.20196177,-0.18609418,0.2692456,-1.2297959,-0.46613663,-0.33732897,0.95398504
-0.8461467,1.2919477,1.57221,0.11963702,1.8735975,-1.3504272,0.94611555,-0.93800944,0.01489128,-1.239954,-0.9894252,-0.68697834,-0.5569263,0.3798795,1.6421968,-1.3649426,0.050445337,0.2767855,0.04387892,0.91737753
-2.0984135,0.042170208,-0.07914061,-0.75836134,0.3084556,0.2843012,0.5994689,-0.12564637,-1.8283533,-1.0913662,0.1880631,-1.4157417,0.07313037,1.3192991,-0.7669971,-1.7522266,1.1862389,-1.0091566,0.97159225,0.43234843
-1.232188,-1.8639437,1.6191319,0.8326981,-0.2556379,-0.43088207,-1.3501666,0.08054037,0.00075106655,-1.288584,-0.34744102,0.9517579,-0.29176572,0.5561804,-0.5157066,0.70632845,1.0619421,-0.16538264,0.2177444,0.98458743
-0.7456087,-1.1587912,-0.7164526,0.29520804,-0.14709254,-0.76256025,-1.8272022,-1.088015,-0.19577406,-1.530587,-1.5077637,-1.2334487,0.053164702,0.11163188,-0.8903111,1.2296286,0.1607562,1.1918433,-0.5979433,-0.7361394
0.0003277366,0.56083566,-0.75037026,-1.2779559,-0.69427717,0.511278,0.46055803,1.1185524,0.00033571463,-0.4721103,-1.2012438,-0.01598262,-1.8076718,2.2719715,-1.2016429,-0.24578069,-1.0068288,0.4205361,-1.9103309,-0.5940373
-1.0784206,0.28098413,0.23823924,1.2835197,0.21355744,1.2793853,-1.072958,-1.0385057,0.53655756,0.8268048,1.571866,-0.466998,1.3367565,0.10227047,2.5633004,-0.50065035,1.0987318,0.6081296,-0.533116,-0.6241199
1.5590489,0.8560077,1.7371037,-0.96881145,-1.0051403,2.6422327,-0.40383008,-0.32909876,-0.47466657,0.053329807,0.41885695,1.2571324,-0.24833028,-0.37744987,0.6028859,0.3999767,0.6475896,-2.4088604,0.6422813,0.014600803
-0.1470902,0.76509374,-0.98447675,0.62513447,-1.4801719,2.196641,0.52616817,-0.3548716,0.6313701,-0.22880295,0.44063285,0.28327644,-0.585608,0.45596284,0.6805374,2.412201,-1.5369672,-0.19712645,-0.35131827,0.40483695
0.5262451,0.76582164,0.72435933,0.84894854,-0.46885356,-0.4881364,-1.5706245,-0.91538453,0.59993017,-2.147153,-0.7435272,1.102555,-0.46134308,0.4393291,-0.28690466,-0.73349947,0.68856436,1.6405976,-1.2834312,2.0144463
0.59200865,0.23274837,-1.0621184,-1.209353,1.26354,0.18225378,-0.15431823,0.5407724,0.5761792,1.7683336,-1.8825012,1.3712964,-1.5944127,-0.5606634,0.9097222,0.27558047,0.8539492,0.9713777,1.1816783,-0.097628534
-0.58104455,-0.04976862,-1.1978709,0.3986521,1.9722359,-0.06462354,1.1785575,-0.47256833,0.62840617,-0.20330587,0.22883159,0.46561065,-0.030139832,-0.4151218,0.42088336,-0.9148736,1.0195078,-1.7045722,1.037308,-0.42947805
0.26781246,0.13858457,-0.057700243,0.2763854,0.7052471,0.7358777,0.7843787,-1.1390858,-0.7303426,-0.23768723,0.45239493,1.1738188,0.78495365,-0.41730958,0.67488027,0.07415001,-0.1247978,-0.8420322,1.587073,0.28683814
1.1014558,1.3558476,1.4628537,1.3670412,-0.6455079,-0.88046837,-0.037908707,-1.6630467,-0.26602933,0.2785169,-1.6631457,0.65228444,-1.0821217,2.367043,-1.1598907,-0.96103406,0.08124128,0.14710441,0.075232185,0.5833832
0.5261007,0.14839922,-1.397857,-0.8709178,2.22182,0.2158618,-0.939231,1.0145832,1.2996762,-1.3072884,3.0679388,-0.54434156,-2.6462421,0.3822639,-1.3256304,-0.37445652,-0.12162529,0.9285079,-0.6862269,0.56247854
0.049168706,-0.38206595,-0.85743326,-0.3012603,-0.1554049,-0.69174874,-0.0743836,0.015713349,-0.4099984,-0.37204757,0.4571454,-0.09446239,0.9487255,-1.529922,0.0017660285,0.7205176,1.1450818,0.04367506,-0.32757267,-0.56014806
0.40395096,-0.35388717,-0.3327901,1.098818,0.12984204,0.15747243,-1.10262,0.00785498,-0.69182664,0.9536356,0.2625675,-0.26302746,1.7316598,0.7910346,1.0499251,-0.14025931,-0.3747397,-1.7793391,-1.423104,1.0973811
0.10354319,-0.7373948,-1.4442924,0.34067807,-0.5777068,0.2083791,1.2151533,-0.99796206,-0.098307125,-0.63968074,0.57221466,2.0577667,0.37363,0.99544173,1.279076,1.0306766,-1.0026451,0.8437949,0.9379879,0.66351706
0.09079896,-0.5202913,1.0065155,0.345268,-0.46230683,0.1411996,-0.7993235,-1.4623245,1.4106531,-2.4560277,0.53623533,-0.28883502,1.0230148,-1.013169,-2.4677281,-0.74886936,0.11057902,-1.028523,0.2464172,0.31804812
-0.6075699,0.41492772,1.4300612,-0.25783107,0.31710115,1.7696104,0.65664256,-0.9805813,0.30164763,-0.19584699,-0.67291576,2.9761853,-0.57660145,-2.5217865,0.6222342,0.5589209,-0.62153256,-0.44541547,-0.64387506,0.7452806
0.28820094,0.9049488,0.43239176,1.0546027,-1.2300184,-1.7377117,-0.2631872,-0.17421703,1.154692,-1.0066859,-0.08026394,-0.9477703,-0.44029573,1.0530115,-0.9784361,0.5083252,1.5648341,-1.5270376,1.1287482,1.22992
-0.54813313,-0.99733126,-2.214137,0.55852294,1.2988405,-0.8276638,-1.6729866,0.24416606,-0.9035041,-1.3296971,-0.010644348,0.5287286,1.8596455,-0.42491683,-0.86726236,-0.721058,0.8354659,-0.4715619,0.3589096,0.4644504
-0.3743186,0.20391957,-0.8105418,-0.27013102,0.74760044,-1.1768429,-0.10822431,-0.0018274294,0.4279185,1.256883,0.08438348,-1.2782757,-0.6563815,0.86501944,0.7399343,-0.6683689,-1.0874981,1.4958781,-0.4082507,0.6464072
