Subject_ID,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14,Factor_15,Factor_16,Factor_17,Factor_18,Factor_19,Factor_20
Subject_23,1.0964816,-0.53065056,-0.1191685,1.3629106,0.015747864,-0.7702541,0.09283156,0.35597226,1.0859138,0.940754,-0.15661149,-0.062470604,0.0025549913,-0.5734785,0.20307979,-0.33931214,0.6161867,-2.2458465,0.9553278,0.17185834
Subject_24,-0.11908041,-0.13150612,-1.4580483,-0.2437738,0.6084063,-0.14809215,0.93082035,0.4201938,-0.28443822,0.42290285,0.029281305,1.2722389,0.1321613,-0.54241127,0.60358554,-2.3513656,-0.122853816,0.033819064,0.42711183,-1.246211
Subject_25,0.6325537,0.4612523,0.90602803,-1.4220382,-0.6557394,-0.6003101,2.1556551,1.2258828,-1.0022843,0.71827817,-0.44137484,-0.16880924,-1.380567,-0.1689538,2.6547208,0.12329632,0.31344408,-1.1561766,-0.43754578,-0.097442694
Subject_26,0.4975279,0.21669996,0.726278,0.6791055,0.88574344,1.1419325,-0.4114404,-1.5687371,-0.10885895,-0.29643485,-1.9405597,0.59278566,-0.46355593,0.008160175,0.9423055,-1.0031204,1.1338986,-0.12847555,-0.94684225,0.47283328
Subject_27,-0.61266744,1.1790025,0.7879785,-0.9006989,0.54893,0.6548581,-0.28805664,-0.7957815,-0.51961094,-0.18603227,1.2114162,-1.2971042,-0.03438468,1.6769582,-3.1872723,-0.48737484,2.0434356,-1.2917693,0.23025005,-0.5046358
Subject_28,0.5852872,-0.7424086,1.7015359,1.2484753,0.2874506,-0.6857945,0.2824417,0.06097521,0.2063273,0.81568056,0.51440734,-0.51110876,2.0020595,2.375746,0.16468221,-0.8203676,-0.717234,0.53920585,0.04876258,0.44907758
Subject_29,-1.5268145,0.5268117,-2.8215775,-0.13595203,-0.43615475,0.10127055,-0.20876002,-1.6501575,2.04771,-1.6512825,-0.7463613,-1.5995197,-0.1963231,0.29151583,-1.0504622,0.079217896,-1.7681173,0.11659696,-0.75978476,-1.0729889
Subject_30,0.4665978,-0.85858667,1.1199268,-1.5104272,0.10953313,1.6483722,0.51012444,-0.4882898,0.2759734,0.9525399,-0.48790833,0.9105176,-0.006882047,1.2979901,0.3271697,-0.86953384,0.5154659,0.43023542,-1.5161197,2.2751145
Subject_31,1.1408149,-0.052954257,0.41543046,-0.7973621,1.6689531,0.8273533,-0.7373039,0.18325503,0.42573366,0.0027674108,0.36817405,1.0643734,0.043820668,0.26211655,0.6768309,-1.2581927,-0.51706105,-1.5036066,0.31905258,-0.98297143
Subject_32,-1.1690757,-0.62822336,-0.40500152,1.9672652,-0.4270992,-1.5654448,-0.32253206,0.46411318,0.40929723,0.76384777,-0.49006674,0.23917344,0.8825038,-1.6192335,-0.99520326,-1.6861938,-0.31059408,-1.5174862,1.216769,-0.5379645
Subject_33,0.084306285,-1.670449,-0.7293984,0.8284088,-1.5529863,0.83079386,-2.2478335,0.123515196,-0.5432769,0.20899643,1.5904895,-0.12444298,0.46321148,-1.6366671,0.043126203,0.0032728403,0.29321748,-2.415561,1.3524672,0.6561474
Subject_34,-1.1127933,-0.43671346,-0.8283877,1.3715837,0.89832115,0.09098121,1.0659456,-1.2315959,0.59030867,-0.7643221,0.43677995,-0.12722464,0.36907393,1.7553569,-0.4648602,-0.70965415,-0.6355133,0.115721196,0.106542066,-1.1014042
Subject_35,1.3792163,-0.029739825,0.41499263,0.76260716,-1.1768107,0.70747584,0.5287128,-1.6361464,1.0369686,0.35913545,1.5416616,-0.45182496,-1.9001637,0.9409887,-0.23583001,1.1789085,0.5911736,0.5999599,0.7247566,0.18039142
Subject_36,-1.021382,-0.050346974,-0.70332646,-1.1683466,0.19318612,-0.667658,1.6427861,0.038321845,0.6846682,0.20731248,-0.20303577,-0.052478813,1.1076409,1.6259736,-0.9170736,-0.25115266,-0.33601695,-0.9267383,-1.8796941,1.1066815
Subject_37,0.34910083,-0.82492536,1.0962092,0.6692538,-0.068024576,1.0669849,0.008135772,0.738644,0.017164264,0.19434747,-0.47337842,-0.51099485,0.82784146,-0.007854166,-0.10033407,0.13746476,2.2985764,-1.6711564,-1.34023,-1.2070785
Subject_38,0.58477366,1.1921543,0.40218478,-1.7538745,0.8902946,1.1964179,1.7419205,-0.01288497,0.8520565,-0.51193714,1.0248203,-0.8426568,-0.32313022,-0.84158146,-0.58525044,0.06733133,-0.85199,-1.764833,0.33690172,-0.6014995
Subject_39,0.31704274,0.72911245,-1.0096594,1.8439462,-0.82051444,-0.71370447,1.1273916,0.40968558,0.8337576,0.8470667,0.9022366,0.17707752,0.85407984,-0.10535024,-0.3758937,-0.13938421,0.15560597,0.5731715,-1.6057773,-1.3452641
Subject_40,0.62874895,0.117069006,-0.116871364,0.8206352,0.7514982,-0.35192204,-0.7805916,-0.74682283,-0.76167095,1.1184351,1.1597188,0.40304995,0.28048885,0.86899465,1.4562346,0.1371488,1.2397623,-1.5209107,-0.2017634,0.89254355
Subject_41,-1.8230302,0.92934847,0.13374768,-1.6721187,-1.4563292,-0.16468723,-0.55633515,1.8499203,0.20417553,2.3212855,0.5357046,0.58212876,1.4243962,1.0805764,0.6731499,0.43606803,0.83987194,0.71706903,-0.7576552,0.1443463
Subject_42,-0.32039008,-0.0681314,-1.5980394,0.36381066,-0.48381025,0.09960776,-0.28922933,-1.4524896,-0.8630538,-0.63256055,-0.8744102,-1.0981417,0.42407334,0.8751445,-1.2256244,1.0707549,-0.16352199,-0.80481374,0.5712927,-1.321589
Subject_43,2.0962756,0.12594694,-0.8849025,-0.75592166,-1.2918496,0.97674614,-3.602455,2.3346891,0.066844106,0.59397817,-0.10445069,0.9795958,0.7907749,-0.05881419,0.18173163,0.9712364,-2.9893935,-0.63853425,0.6167617,-2.1595647
Subject_44,0.61273533,-1.4970785,0.45473135,-0.2756893,-0.6636155,-0.059697777,-1.7399979,1.2109059,1.5044005,-0.9232049,0.05483172,-0.30397624,0.6224626,0.18573283,1.5111616,0.6750527,2.1357794,-0.6394267,0.14656138,-1.0961475
Subject_45,-0.09209603,-0.014115045,2.2551138,-4.146372,0.16880889,0.83223647,-0.054269247,-0.818813,-0.60909593,-0.8173209,0.97403854,0.028581407,-2.1413624,0.32492518,-0.7974381,0.059459206,-0.22882955,-0.59810364,-1.3086458,1.1839451
Subject_46,0.4266238,0.14673339,-0.86508363,-2.4197872,-1.200665,0.4271398,-1.6144018,0.3847187,0.47043025,-0.8233006,-0.630805,-0.3953444,0.6544408,-0.863647,-1.5355219,-0.40911865,-0.26006782,0.708258,-0.0670178,-2.07616
Subject_47,1.6681749,-0.22105058,-0.43225613,0.8425275,-0.6002626,1.5379728,1.1356317,0.9919697,-0.3080471,1.9161377,-0.04733981,-1.4834793,0.42369264,0.6079801,1.0472986,-0.25336626,0.8976866,-0.09790965,-0.65875554,0.6328379
Subject_48,-0.40054476,-0.705961,1.2801048,-1.1818846,0.5720162,-1.3521278,-0.73586476,0.5950105,1.348855,1.6956545,-1.0074238,1.0766478,1.0669665,-0.30789822,-0.40830097,-1.8218702,0.23508495,-0.67338043,-0.9401819,1.0369785
Subject_49,-1.2113975,-0.23361094,-0.042953346,-0.5966215,0.3002255,0.3105999,-1.1387331,-0.61340773,-0.9016925,-0.25369886,-0.6946476,-1.3148241,1.3399811,-0.04712638,0.082506016,0.39910272,-0.07115401,-0.24564087,-0.16661207,-0.33607587
Subject_50,0.15520625,-1.021845,1.3483515,1.9992696,1.287481,1.0454459,0.841638,1.1008033,1.1225966,0.93085164,-0.39407873,0.045130357,-0.4151914,-0.16793175,-0.004223863,1.5486599,-0.9316249,-0.47355196,0.55044526,-0.32886684
Subject_51,-2.7616138,-0.881683,1.013837,1.2136,0.81590027,-0.31003442,-0.6332553,-1.1443723,-0.83352906,0.6228082,0.1537844,1.0908493,0.16603526,0.27705073,-1.6301752,1.0528804,0.3070547,-0.24017757,-0.66305184,-0.435934
Subject_52,-1.1605986,-0.25110656,0.32820663,-0.4272802,-0.1262205,0.796104,-0.61633164,-0.6931997,0.10247967,0.6702367,-0.13651283,-0.8857639,0.366369,-0.9020715,2.331394,2.4244132,0.6840155,-0.5879607,0.19553107,0.73597383
Subject_53,0.06730576,0.7824365,-0.5540966,0.8922588,0.5097815,0.931768,0.7335985,0.94436157,1.3328011,2.0068152,0.42885524,-0.7823416,0.68903804,-1.2325416,-0.93499047,0.8972923,-1.3411961,-0.35011443,-1.2759992,0.70276284
Subject_54,-2.1225138,-0.6149188,-0.95811963,1.2739291,0.27907172,0.03782483,1.1702054,0.3100377,0.22088481,-0.83503747,-0.47450283,-0.2545567,-0.5456125,2.068858,-1.9341134,0.20694461,-0.06410327,-0.65541035,-0.93817425,-0.95619386
Subject_55,1.6137843,1.4918004,-1.3447708,-2.169317,-0.3912368,1.4805903,0.37598822,0.9142562,-0.6845331,-0.15086971,0.6183908,0.42868003,-0.23455054,0.17031825,0.12947579,-1.2643619,1.647853,1.4470332,0.85353345,1.1185256
Subject_56,1.0508568,-0.0052232305,0.64514345,0.60538995,-0.5000634,-0.9226465,-0.27006018,-0.52670383,0.6848719,0.7018552,2.043186,0.15903825,-1.348846,-0.13713819,-0.74022776,0.04812078,0.57551014,0.12972698,0.24296077,-0.80542743
Subject_57,0.6093063,1.733689,-0.33016658,-0.6846548,0.38061488,0.78650993,-0.021875726,1.4861963,0.44810033,-0.98247457,-0.36151993,-1.1045307,0.9755991,-0.3754826,-1.6664139,0.26854765,-0.0654429,1.458729,-0.9871631,0.2792339
Subject_58,-0.014719535,0.8188676,1.6080165,-2.3124473,1.08974,-0.390037,-0.30823854,-1.0618953,-1.5427874,-0.7924992,0.18420947,0.34507534,-1.8073206,-1.4814879,-0.35064512,1.6418175,-0.2854215,-1.0325916,-0.49417472,0.6458487
Subject_59,0.2795881,-1.0717916,0.123927616,0.70987904,-2.535118,0.17144127,2.2534022,0.29824784,0.1427849,-1.118834,1.0247557,0.12933573,1.3288951,1.2271631,-0.25388002,1.1152314,1.4769113,0.77498764,0.033593286,-0.24566564
Subject_60,0.8063479,0.37265897,0.5126782,0.08082771,0.67791027,-0.7771245,-1.7466,0.16642754,0.44965303,0.7492254,1.5156989,-0.29516608,-0.8493472,-0.39041921,0.857021,0.037271984,1.9029016,0.3664755,0.103865035,1.2287414
Subject_61,0.20358516,1.4549154,1.2203333,-0.6464483,-0.7650817,1.0151732,0.308035,-0.5471329,-0.18208715,0.5152395,-0.1546016,-0.06848112,0.13535358,-1.7147429,-0.6486603,1.6182607,0.46927807,-1.1515973,1.5859838,-1.4688687
Subject_62,1.1162109,-0.3406817,-0.082142346,1.7157489,-0.011423812,-1.1012884,0.34828055,-0.590236,0.8279599,-1.3485215,0.48268119,-0.2950666,-0.22776312,-1.4023371,1.7867115,1.7657429,0.522642,-1.3251133,1.5402391,-0.87438756
Subject_63,0.1612224,-1.9551756,1.2684245,0.10841937,-1.0150137,-0.16841462,0.4191478,0.28276405,0.27655765,-0.11485247,-0.9329448,0.124175,0.4735945,0.5184075,-0.7006136,-0.14419296,0.61584413,-1.1924002,-0.33588475,1.3051573
Subject_64,-1.3372396,-0.5727657,0.31178245,-1.3576534,-0.039996326,1.0120862,0.35244492,0.17385118,0.6395159,0.40232712,-1.1343926,-0.5824109,0.37849134,-0.8287826,-0.28468406,0.7187424,0.88758326,0.18064718,-0.5246936,-0.46536478
Subject_65,1.5920472,0.1035469,-1.3200824,0.6160416,0.47875097,-0.20654231,-1.127023,0.7349122,1.1537989,-0.101407126,-0.34838638,-0.65286064,0.6389746,0.47947684,0.6604044,-2.1450484,-0.43675712,-1.6474459,-1.30251,-1.4741335
Subject_66,0.97216964,-0.45641765,2.3730037,1.0494877,0.24813947,-0.39123535,-1.9069556,1.7704891,-0.55125666,-0.3115919,0.39807382,-1.2166444,0.9847851,0.23403718,-0.2170678,-0.29480082,-0.38866347,-0.44239044,-1.9537666,-0.85711944
Subject_67,-1.8182179,0.54679406,0.16842367,0.37035087,0.59182054,0.812338,1.7885987,-0.12210869,0.8427571,-0.24584554,-0.010572344,0.33284226,0.4732359,-0.3680712,-1.2306625,0.89587677,0.10379797,-1.3106681,-1.7532644,-1.2955668
Subject_68,-1.9439112,-0.49597636,0.5388866,1.6149844,1.0397372,-0.06601088,0.15688227,-0.33456665,0.20604429,0.051975053,-0.907831,0.08343309,-0.67246604,-0.79685885,-1.4809581,-1.3617195,0.58741426,0.54784,0.7567784,-0.9577161
Subject_69,0.57093453,-1.3065813,1.8568593,2.0228524,0.5127119,-0.81167805,1.364208,-0.93396854,0.91750133,0.8991427,0.45228893,0.71109307,-0.56109965,-0.07433467,1.8911992,-1.4155564,0.8919489,0.12827988,3.18352,0.8341233
Subject_70,-0.86887115,0.84323066,0.42748764,-0.43501598,0.5998046,-0.64281076,-0.44896805,0.25051534,-0.67696947,0.01571498,-0.78431183,1.9213852,0.20467797,-0.007201458,0.6404237,-1.6118457,-1.7500985,0.5599624,0.26805243,-0.8805389
Subject_71,1.238166,-0.21993116,0.010672144,0.17014632,0.37648058,-0.16600509,0.6541313,1.5635089,-1.049494,0.66332936,-1.076755,-0.015826818,-1.0537598,0.48869172,1.571525,-0.028830765,-1.2659013,-0.8466739,0.3772188,-0.15233488
Subject_72,-1.8626175,-0.2765376,0.031008814,-0.72341025,-0.15629904,-0.18074018,-0.54199237,1.956198,0.8281455,0.9425797,-0.7402583,0.5467613,0.45137542,0.84918904,1.3488345,-0.067849286,1.0520462,-0.51294005,1.5239233,-0.58985984
Subject_73,-1.845182,0.104746506,-0.8685351,0.46705517,0.7851588,0.61299396,0.8400794,1.028656,-0.8655418,-0.12191625,1.4166619,0.9110002,-1.2476451,0.7974395,-0.07100626,-1.5160865,0.9802708,0.017194377,1.6239003,-0.32428685
Subject_74,0.4868505,0.602736,0.76380813,-1.1868854,-0.21197276,-0.27536714,-0.17903022,0.7883062,0.54328436,-0.25873563,0.6245332,-1.1670734,-0.9036174,0.71539706,-0.8794354,0.04964067,2.211709,-0.076554514,0.8048128,-0.7540554
Subject_75,1.0620567,1.0747991,0.6564852,-0.19475108,-0.97665185,0.33007783,-0.2522215,-0.32305476,2.7260904,-0.89711446,-1.1936588,-0.23036185,-0.20332076,1.1088507,-0.49184784,-1.0290664,0.5482247,-0.6040867,0.5127631,0.85850626
Subject_76,0.11624957,0.8110578,-0.8855821,-1.3069261,0.37045088,0.57882994,-1.4837244,-1.3588681,-0.24056692,2.3438766,0.6006438,-3.2171597,-0.27355972,-0.28946573,-1.9264401,-0.3210118,-1.518692,-1.159393,2.6453187,2.3033204
Subject_77,0.0735844,-1.0395594,-0.32161286,0.53496784,-0.33203685,-0.6211866,0.20934394,1.1851418,-0.7452834,0.57553864,0.15793565,-0.51109684,-0.7943999,0.3823109,-1.8012778,0.09485495,1.2685753,0.19931948,2.330086,0.91807294
Subject_78,-0.49583274,1.2316376,-0.13459198,0.2820278,-1.9630673,0.013895143,0.3254323,-0.9709174,0.052419048,-1.4815278,0.7188222,-1.0363326,-0.8374436,2.5038054,0.5190015,-1.2049414,1.7582515,-0.20512977,-0.59410733,-1.6023239
Subject_79,0.41703463,0.6008838,0.7278288,2.2941732,1.1317536,1.8382711,0.5426739,0.85796195,0.3106184,0.25852698,-2.2187984,-0.5163088,1.7773106,1.2348876,-1.3735858,-0.05847093,-0.11556758,1.2131666,1.3969039,-1.0136867
Subject_80,-0.32607707,-0.32185638,0.5234169,-2.5871003,0.6573722,-1.100906,1.1260687,-0.84726626,2.2560275,0.8624629,-0.6872088,0.7334362,0.11975099,-1.1110075,0.13025045,1.2963431,1.6296965,-2.2091393,0.42149854,-0.3529416
Subject_81,1.0408248,0.90035605,-0.83298594,0.5593577,-0.8107268,-0.33011517,1.06607,1.0100082,-0.19868004,-0.515138,1.2686611,2.0780382,-0.3853009,2.2712169,1.6640648,1.2093952,-0.03482968,0.5550233,0.68702793,-1.6901982
Subject_82,-0.08384889,-0.33555704,0.16795567,-1.3416852,0.07549515,0.02800075,-0.52029,-0.027376812,-0.25759733,0.39443526,-0.39636448,-0.8904054,-0.84257495,-1.414968,0.6210392,-0.028899385,-0.07503305,0.38676953,0.86116976,-1.2037262
Subject_83,0.56499696,0.2057116,0.8524238,1.1054466,-1.4229481,1.0747286,1.9882032,1.6513441,-0.021708416,-0.55109936,-1.4357889,-1.0091714,0.54068094,-1.0292717,0.65393466,-1.5473711,0.06091861,0.28137723,-0.72021943,-0.5562568
Subject_84,1.105935,1.5933851,1.4415948,-0.5052096,-0.9190394,0.2590773,0.5805953,0.34923273,0.83545357,0.7856391,0.784586,-0.1849903,-0.6691145,-0.55747205,0.59425366,-0.5207879,-0.162529,0.560246,0.48842812,-0.2716227
Subject_85,1.4999207,0.017532846,0.1744564,-2.0094569,-1.2995368,0.36878756,0.48283967,0.7524893,1.5274913,-0.7122668,0.39057073,-1.3390131,-0.68420595,-0.013631847,-0.4823779,-0.021743212,-0.06059767,-1.0128461,1.1750948,0.38877937
Subject_86,0.5112955,0.39686057,-1.7929554,0.41373068,2.3836775,1.9559665,-0.23351312,-1.754384,-0.35500443,1.6464362,-0.14460087,-0.11927123,0.115734495,0.93446565,0.36712277,-0.091704376,0.6764551,-0.61272657,-0.6100394,1.1392843
