Subject_ID,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14,Factor_15,Factor_16,Factor_17,Factor_18,Factor_19,Factor_20
Subject_1,0.86382735,-0.6047231,-0.70295197,-0.5004642,-0.18644598,-0.10730693,1.0446965,-1.0077987,-1.0973215,1.6545798,-1.0068846,-0.27290115,0.24474233,0.78935707,0.4975105,0.052020222,-0.16255397,0.3242311,0.33455515,0.103305064
Subject_2,-0.8416267,1.7928659,0.85067874,-2.147931,0.28858653,-0.51689035,0.17720394,0.5806805,-0.46574852,0.40759203,-0.24859531,-0.84061486,-0.6249673,0.7383585,-0.18838911,1.6037405,-0.18054532,1.3910409,0.5156084,-0.016872091
Subject_3,0.5951816,-0.21972187,0.71171737,-0.081897855,-0.2494075,-1.7097083,2.1778016,-0.7183494,0.082736626,-0.02636372,-1.4003975,0.14402467,-0.18275665,1.1525426,1.6779914,0.19315733,-0.84966564,1.5339626,0.4992856,-0.22159252
Subject_4,0.44909406,1.7812235,1.5463116,0.9994916,-2.344432,0.90791667,-0.9822288,0.454537,-0.4248051,-0.4854706,0.7953592,0.23962748,-1.3565578,-1.0653884,0.98073745,0.14265801,-1.2346127,-0.5074023,-1.04395,-0.4876934
Subject_5,0.09480137,-0.90247196,0.54767805,-1.7268515,-0.13580574,-1.5568256,-0.74837613,-0.67501605,0.8051553,-0.15750802,-0.22387885,0.64890844,-1.6746802,-0.46163645,1.5552051,0.9089616,-1.7814246,-1.1940132,-0.9100932,-0.8074188
Subject_6,-1.7150236,0.18319657,-1.5258573,-0.6378096,0.0721509,2.3571978,-0.79968077,1.3993793,-0.11140797,-0.65279275,1.3822081,1.5153469,-0.013723292,0.504181,0.08434561,0.18554172,-1.0348629,-1.4776644,1.4878851,0.7950172
Subject_7,1.4896225,-0.113841414,-1.5949732,-0.28762993,-0.39104426,-0.5560427,-0.64852107,0.62348866,-0.9943575,0.24928676,-1.1357533,-0.92687076,-0.743849,-0.056033224,0.573142,-0.018280163,0.23025231,-0.6824405,-1.0556487,0.3416557
Subject_8,-0.46964917,-0.33077326,-0.619437,0.95508194,-1.8419251,-0.63330525,0.39336583,0.4943537,-1.0409799,-0.036949806,-0.24651292,1.8034708,-0.91841394,-0.020719199,0.08755852,0.3262326,-0.95727074,0.846195,0.979627,0.7252959
Subject_9,-1.1123171,-0.6529613,-0.16870584,0.95620173,0.11643323,1.2259967,-0.17802991,0.96054566,-1.0859625,0.61792326,1.9151604,0.99312055,-1.0983584,-1.6648499,-1.5259045,-0.91238314,-1.0571067,-0.5522092,-0.10424644,-1.464419
Subject_10,-0.85151297,-0.18324788,0.9048755,-0.086241536,0.25111648,-0.95872736,-0.12067968,-0.947453,0.54938644,0.035131454,1.1193631,0.034905363,0.9805475,0.61582917,1.2532518,0.2356243,-0.054182507,-0.24601874,0.7750797,0.43088126
Subject_11,0.2879064,0.16309018,0.056827668,0.16837825,-0.37589687,-1.7890587,0.36843526,-0.7097651,-0.96695966,0.7366867,-0.013364661,-0.71266764,-1.3675516,-0.7841234,0.07286448,0.34139526,-0.09408554,-0.019855905,1.4631239,-0.7688863
Subject_12,0.8553127,-0.4492571,1.6609784,-1.0609871,-0.39286038,-0.35437325,0.18432634,-0.22127828,-0.7027582,1.0658276,1.2576731,-1.8319322,-1.6133109,1.7396888,-0.40864336,1.6224335,1.0945424,0.8516797,0.32072535,-0.251252
Subject_13,0.3245866,-0.5181427,0.66795176,-0.37051854,-0.06347604,2.3511045,-0.14189163,0.41344047,0.5501552,-1.8803054,1.2252362,0.051724173,-1.8036115,-1.2802521,-0.39487067,-0.6536862,0.7440326,-0.16576129,-0.17599043,1.8012419
Subject_14,0.41249844,-1.9183989,0.006660537,0.39071116,0.11515117,-0.12671092,-1.8541996,0.36256027,0.80371207,1.0300871,-0.5141013,-0.5391562,0.049325213,1.2087463,0.0808134,0.41920254,-0.3435903,-0.8446215,1.8250059,0.5124307
Subject_15,-0.8642136,-0.58833706,-1.4088701,0.3530007,0.30748957,1.3291022,0.08508014,0.60527414,-1.3358494,2.1798787,1.2642599,-0.89292485,-0.052876785,-0.55190665,-0.1572549,0.035443127,-0.24430972,-1.565974,0.8221638,-0.06613027
Subject_16,0.25946647,-0.9209436,-0.06412323,0.2757329,0.4553233,-0.7833687,-0.19928677,0.9793625,-0.42623836,0.14691515,-0.7640252,-1.4442246,-0.49324596,-0.63510823,0.37173337,0.12887286,-0.08482594,0.3627137,0.4819807,-0.5525613
Subject_17,0.4752344,-0.34637603,-0.20281328,0.54452085,-0.22234142,-0.9006877,0.25004497,0.019595109,-0.5449659,-0.5927078,0.35964945,-0.6966701,-0.62227756,-0.20506164,-0.03166724,0.15890042,-0.57089937,1.1061996,-0.2204433,0.35516372
Subject_18,1.1139888,0.31485066,-0.4632833,-0.17455007,-0.70992196,-0.10057034,0.0073604314,-0.43729624,-1.8370789,-0.29653665,1.7459071,-0.59297824,-0.65037185,-0.37642616,-0.9850111,-0.0196195,1.5387076,0.2143212,-0.08403537,-0.3046025
Subject_19,-0.50309986,-0.17331715,-0.14297198,1.0157601,-0.2714422,-0.85550547,-0.21234263,0.104768775,-0.65253925,-1.6459162,-1.2593063,1.0218018,1.0647477,-0.101300605,-0.85026765,1.9749862,-0.2352301,-0.92604303,0.38078,1.1692877
Subject_20,1.4801018,-0.8054347,0.43525377,-0.3786388,-1.6876662,0.008004325,-2.5925453,0.6440353,-0.34848064,-2.5712495,0.38140872,-1.224282,0.52764225,-1.6397109,-0.6891205,1.0811574,-1.1564413,-0.43331197,-0.7267513,1.1010368
Subject_21,-0.7001357,0.6253983,-0.10895923,2.063009,0.58975893,0.47878978,-0.629169,-0.2105671,0.12052366,0.030606827,0.101860315,-0.12630135,-0.9415873,-0.19947687,-2.0860882,-0.44229686,-2.8897593,0.21972933,0.36218598,0.32689628
Subject_22,-0.67663735,0.8547111,0.14308028,-1.3308995,-0.18327278,-0.67977476,0.31254354,-1.7519004,-1.5327545,0.008666249,2.2551405,0.01602701,-0.7792594,-0.81617206,0.19872743,1.8608301,1.4435567,1.864533,-0.5168681,1.1047791
Subject_23,1.0352198,0.34536088,0.5976827,2.1495774,-0.09821444,-2.0333762,-0.22026086,-2.0283713,0.93448603,-0.76973087,-1.4222835,1.9124582,-5.5694885,2.421334,0.03187493,-0.7128745,-1.548428,0.009035249,1.472875,1.0426599
Subject_24,-0.5877124,1.0895574,-1.5037253,0.7272379,-1.7780738,-0.38387433,0.22216304,-1.0533181,0.01832052,0.2994731,-0.61077803,-2.1674402,-0.6509195,1.0492104,-0.23004611,-0.36138913,-0.17934363,0.80366755,0.8777468,-0.4805417
Subject_25,0.57323897,-1.7683384,0.63112533,-0.7578159,-0.39027035,-0.018391758,0.2069317,0.0800063,-0.4588368,-1.3091931,-1.1420761,0.6927328,0.7239828,1.292814,-0.68116885,0.49624997,-1.4303769,0.6324461,0.4448542,0.78682494
Subject_26,1.8729789,-0.0040522004,-0.13273273,0.701058,0.17572872,1.1569265,0.0051183244,0.34329203,0.60936034,-0.022227444,-0.84512043,-0.9165531,0.029909503,0.7052039,0.9028952,0.71804565,-0.7084414,-0.48010296,0.69341236,0.013990867
Subject_27,-0.7429386,-0.14660072,-1.3538253,-0.52964485,-0.4409476,-1.18415,-0.30560467,0.24678741,-0.6774437,-1.9059823,-0.028068848,-0.087283984,-0.8587168,-0.66602176,-1.4397306,-0.4541211,-1.6341031,-0.8664362,0.4504707,-1.2888477
Subject_28,1.2952893,0.085374475,-1.2969681,-0.13584776,0.5751422,-1.1230342,-0.057313703,-1.0188199,0.2393851,0.26399642,2.1590633,-1.4651996,0.47061747,1.2195072,-0.6044071,1.4552146,1.4607852,-1.2371327,0.48198232,-0.5533778
Subject_29,-1.6126591,0.17067751,1.2674229,-0.055869136,0.25397244,0.07567942,0.26776943,1.0383966,-1.5080975,-0.2961463,-0.5942833,0.9732831,-1.3900265,0.84336317,0.31823087,-0.15459843,0.3710325,-0.37478513,0.1338923,0.5107311
Subject_30,-1.4138656,-1.817155,0.18659702,-1.4727063,-0.8764134,-1.294925,-0.69977325,-0.43567327,0.06372435,0.34145305,2.1371956,-0.39510897,-0.904396,-1.2059169,1.2076516,-0.43049744,-0.6461321,1.0019617,0.64295495,0.6221166
Subject_31,-0.09673833,0.0069315634,0.9792349,-1.1186701,-0.13525984,1.2498819,0.03843721,0.011111824,-0.0116577055,-1.2536246,1.1822466,-0.019889615,-0.56584877,-0.50542396,-0.20315146,0.42689338,0.42374766,-0.02985283,-0.03250241,1.4182284
Subject_32,-0.06313524,0.2602996,0.023666192,-0.93911016,-0.74910975,-0.0076094107,-0.33083686,0.6878714,-0.698425,0.689657,0.7021353,0.1862659,-1.0453695,-0.70341617,-0.0032664312,0.18109758,1.3827019,0.8351763,0.58274966,-0.8541864
Subject_33,-1.4641289,0.21191394,-0.3403552,-0.008865069,-0.15367953,1.9797022,0.096443154,0.31456953,-0.42678285,0.31571195,0.0045452886,1.5181212,0.52005535,1.8113475,-0.94072574,1.5980561,-0.7239797,-0.09350701,0.8807253,0.36263967
Subject_34,-1.2199656,-0.07053253,0.35039786,0.2609979,0.18254158,1.5501091,-0.070237435,-0.111219905,0.717047,-0.3386648,-0.75280935,1.5287838,-0.9793797,-1.3683791,0.5113597,0.03052693,-1.4859767,0.774184,0.030624803,-0.33169317
Subject_35,1.9804912,1.7412688,0.55880046,-1.2913306,-0.12876669,1.0777076,-0.10290405,0.66476154,-0.75387573,-0.6747952,-1.4047906,1.8233191,0.016803836,-0.055412535,-0.76695395,-0.14026591,-0.7638696,1.7746208,0.09508306,0.5808354
Subject_36,0.77295744,2.4295003,1.6865491,-1.1366887,-2.7668478,1.5155091,-0.3379068,0.24200921,-1.6515086,0.6904263,0.32170117,0.34708735,-0.84963745,1.4446137,-2.0250726,-1.0946867,-0.39923778,-0.92162967,0.42415854,0.9362009
Subject_37,-0.05373278,0.820382,1.1752633,1.2228404,-0.07639702,1.1970797,0.10575852,1.4544295,0.690948,-0.7600603,0.7677561,1.0886351,0.16583702,-0.40052083,-0.044191547,0.27248982,0.02366298,1.3875118,0.88776684,-0.39167976
Subject_38,0.505671,0.16846387,-0.8919513,-0.21337934,0.037112474,-1.1480132,-1.0634156,-1.2275057,-0.63370985,-0.23757347,-1.3334682,-1.0530603,0.09489817,-0.27817518,-0.30443665,0.6739068,0.28580445,1.1279687,-0.09723641,0.31146637
Subject_39,-1.9358566,0.25060582,3.1977246,0.42728853,0.17857681,-1.8624111,-0.93790877,0.7096715,0.4755189,2.0381255,1.4804951,1.3989309,-0.29432553,-0.6107055,0.5811399,-0.035639733,1.9719108,-1.1998025,0.22996135,1.3662615
Subject_40,-0.6846979,1.0225724,0.7662543,-0.06521211,-0.7647242,-0.42733172,-0.5393497,-0.14601454,-0.21056415,-1.450585,0.05037537,0.7855183,-0.01895629,-0.3262795,0.33723444,-0.04618828,0.03844731,-1.5637388,-0.07983504,-0.5155885
Subject_41,-0.24395473,-0.9768455,1.4450369,1.1495166,-0.11543668,0.40684745,1.6871369,0.7826434,-0.97979313,-1.0058547,-0.5601598,-0.9173169,1.2497054,-1.2261292,-0.059449356,-0.5286998,-1.1447108,0.8625246,0.29601833,-1.1250814
