Subject_ID,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14,Factor_15,Factor_16,Factor_17,Factor_18,Factor_19,Factor_20
Subject_1,-1.8244951,0.66077393,-1.6074067,-0.38963702,0.08542941,-0.5845528,1.6943413,-0.0215958,-0.52971536,-1.6651372,0.25338033,-0.77293134,0.5027319,-0.20542674,-0.88212204,0.2536872,-0.57324976,-0.736526,-0.3963764,1.7890955
Subject_2,0.72244596,0.25039116,-0.20244764,-1.9804745,0.2300541,-0.83132267,1.0651274,-0.5206919,-0.7867347,1.1027642,0.5394789,-0.22769344,-1.0790745,-0.21490464,0.26165706,0.14944261,1.5219326,-1.2709749,1.518271,0.755327
Subject_3,0.420262,0.4259553,0.7606761,1.0243402,1.410541,0.3599577,-0.18492493,-0.013231932,0.9294389,-1.4832499,0.05941067,0.7289695,-0.03700338,1.4512004,0.9473537,0.22776549,0.63768446,-0.77471614,-1.4511186,-0.12278388
Subject_4,3.1964617,-0.18966457,0.7744653,0.05176544,-1.262759,0.21572012,3.136856,-2.5928626,-0.45182088,-0.5120991,-1.713064,1.4936471,-2.0190544,1.0180764,-1.33028,-0.32316414,-0.15788297,4.6623597,-0.013681555,1.3286921
Subject_5,0.20173194,-1.8263973,0.13398345,-1.9457278,0.3410239,-1.0470805,-1.1157943,-0.24095632,0.009472345,1.355418,-0.8794868,0.5211895,-0.2540628,0.23369858,0.8135267,-0.06656551,-1.5512875,0.06360269,-0.33447462,-1.3241638
Subject_6,1.6530007,0.07366832,0.60892195,0.52269936,0.4174951,-0.32081613,-1.3047417,0.69368535,2.3911045,0.9932598,1.3331957,-1.1172907,0.77928776,0.11566452,1.6805205,-1.2115792,0.25637457,0.21462648,-0.45276496,-0.67588747
Subject_7,0.27993184,1.0286015,-0.32273072,-0.075128,2.329135,2.291209,1.1244597,-0.7358481,1.9163967,-0.88026696,-0.89744914,2.6298966,1.2160369,0.091565594,0.17393176,-1.1314495,0.61739343,-0.61763746,0.10604893,-0.6951337
Subject_8,-0.51221865,1.347524,-0.7659481,0.6803629,0.65671146,2.21345,1.0658373,-0.015555565,0.02869826,0.9968362,0.5647655,-0.34264708,0.24803935,-1.2387435,-0.22178945,0.5896127,1.1644727,0.4194193,0.43109885,-0.068660125
Subject_9,0.20881987,-0.21100137,-0.010546329,-0.7582481,-2.165384,0.11798087,-0.15372679,0.015186164,0.8731312,-0.46315038,-2.3483448,-0.6574373,-0.24431749,-1.3707045,-0.9918908,0.16982296,1.3464451,0.23053057,-1.6443177,-0.11748547
Subject_10,0.014004053,0.0038410744,0.8946448,-0.07915417,-0.95363915,-1.7979985,1.189457,-1.1414236,-0.7747991,0.41912857,0.83667207,0.43458086,0.039396934,-0.44544917,-0.28019857,-0.39879483,-1.5655836,0.19738057,-1.6922716,-1.0115141
Subject_11,1.1859726,-1.3214107,-0.9366063,-0.19314827,0.45524198,0.88421917,-0.4728505,-0.14865541,0.27119204,-0.47360516,0.40649095,-0.7612957,-0.041751627,-1.3184341,-0.24237499,1.7609512,0.8727549,-0.50932497,-0.7368796,-0.22387339
Subject_12,0.99954176,0.26165497,0.5082063,0.47935468,-0.12252053,-0.37787685,1.02883,1.5621251,0.5541913,-0.030969255,-0.6266443,-0.33940247,-0.020406164,-0.018376227,-0.117398635,-0.41479713,-1.2218904,0.32834527,-0.1734044,-0.11141631
Subject_13,-1.1688114,-0.64834917,0.7039903,-0.045034975,0.21897197,-0.20657602,-1.986931,-1.2740322,0.04879819,0.6588804,0.95327264,-1.026248,0.84985083,0.4098594,0.37862065,-0.46924266,-0.446676,-0.70200723,1.8368115,-0.08092717
Subject_14,1.237565,-0.44957575,1.4677855,0.75406975,-0.460612,0.769503,-1.6289188,0.032755617,-0.36396092,0.90262973,-0.37518117,1.2658952,-1.2050079,-1.1788058,0.66071767,0.9887246,0.17993353,0.74354565,-0.5357481,-0.43701702
Subject_15,0.058245603,-0.3217235,-0.58426017,-0.86533874,1.0892562,0.5978218,0.97496057,-0.3317644,2.005953,0.21419403,0.1840194,0.26063833,0.14269766,-1.3467896,0.94400024,-0.46660382,-0.2633022,0.112899885,-0.42797416,1.447146
Subject_16,0.12704615,-0.7765315,1.2101161,-1.331098,0.61132914,0.8354241,-0.842207,1.2253458,0.45888814,-0.34474543,0.22199222,-2.141847,-0.43436465,0.43537578,-1.012958,0.15530705,1.9822989,0.059266917,-0.5697881,0.48820558
Subject_17,0.25207815,-1.0434216,-0.45693573,-1.2007014,0.28942087,2.1842759,0.17014726,1.0078208,-0.44599244,-0.70450044,-1.2914311,0.5666029,1.6141075,-0.46448147,-0.76194733,-1.2001355,-0.5123871,-0.39863053,-0.84528834,-0.9448678
Subject_18,0.11916882,-1.2903079,-0.40817347,0.38760427,1.7584499,0.32316488,-0.45435438,-0.3506705,-1.6099244,0.20095642,1.5096606,1.0165929,0.6997964,-0.65351945,0.60675865,1.1467282,0.777918,0.7013211,-0.9143569,-0.045724984
Subject_19,-1.1125771,-0.82508415,-0.817944,0.3481918,0.17499715,-0.060418677,0.39063802,-0.14875124,0.6721586,-0.042418577,-0.32838702,0.831827,0.7072291,-0.9521061,-0.859249,1.2607081,-0.09602158,1.4453406,2.3996646,0.6007667
Subject_20,-3.5231626,-1.2125777,-1.6109856,0.55736816,3.9295404,-0.70062715,0.43117052,-0.62942916,-0.27863324,-1.9133586,2.076051,0.38280377,1.7325785,0.045987066,-2.8410535,-0.2630952,2.2168157,3.2038798,-0.45493367,2.517339
Subject_21,-0.75097615,1.7385434,-0.977759,0.78436595,0.3218768,0.9669745,0.6537931,-0.6269686,-0.7649477,0.5212388,0.4237634,0.29387388,-1.9433988,-1.0579058,-0.21577594,-0.05939551,-1.0614221,-1.1614817,-2.5520265,0.5946771
Subject_22,-0.4186065,-0.90681064,-0.41764238,-0.41415802,0.47078574,0.28761095,-1.3418845,0.98721236,-0.18424486,-0.939786,0.20783898,1.1416007,0.26206353,-0.069218494,0.77352154,-0.7906245,0.54222494,-1.6885059,-0.46690035,0.32667857
Subject_23,-0.11874168,-0.987074,-0.5128229,0.29854044,0.029150302,0.5704831,1.219726,12.25926,1.1705117,-1.8796047,-0.8736149,0.72359854,0.4052213,3.9095216,0.4204462,-0.56969637,0.4066476,0.22476785,1.3094704,0.73350626
Subject_24,0.3729181,0.10479869,-1.7620834,1.1628103,-0.47421184,-0.6734643,-0.85584354,0.4583807,-0.8901328,0.4096017,-1.2931594,-2.0255115,-1.3337039,-2.3823974,0.052599147,2.3620195,0.5151214,-0.19572037,0.14644651,-0.32059735
Subject_25,0.48866975,0.27004915,1.0968616,-0.6189907,-0.936214,0.010032525,-1.675663,0.7391483,2.5889437,-0.00011310318,0.13624543,1.0624765,0.25668308,-0.3501443,-1.1767023,0.24837719,-0.012372135,-0.36510637,0.26337495,-0.21293004
Subject_26,0.48717993,0.26747352,1.8653239,0.79819465,0.21794951,-0.9963364,0.40038148,0.22734869,2.2247088,-0.20991921,0.177463,-0.1999757,-0.8934488,1.4991043,-1.2700114,-1.4672172,-1.2419007,-0.23535223,0.005885262,0.61619866
Subject_27,-0.4240506,-0.5714089,0.01746379,2.0121255,0.24368638,0.29452458,-0.99824345,-0.23926327,0.87335306,0.36430195,1.3266274,-0.35366294,1.2913024,1.5193383,-1.0990329,0.02062659,-0.57246876,-0.3420757,0.82609344,0.0028044072
Subject_28,0.32221478,0.9030582,-0.69752383,-0.0143967,0.8976534,-0.59212726,0.24495897,-0.21768937,-0.6713491,-0.5874177,-0.22493757,0.670389,-0.27493107,-0.55321085,-0.89474803,-0.5201429,-1.1673237,-0.023839511,0.59383285,-0.27343
Subject_29,0.29583028,-0.20034042,-1.5417786,0.437381,-0.23580039,-0.46489468,0.5923485,0.15504645,-1.2270823,-0.92453146,1.5516417,-0.22940202,0.08041109,-0.4819895,-0.1746293,0.89647096,0.6547768,1.4205122,1.3521241,-0.04931201
Subject_30,-0.78625315,-1.055828,1.0255831,2.4866772,1.563133,0.14971961,-0.33113748,-0.90833974,-1.1295671,-0.0025950563,1.8931515,-0.8398296,1.4421505,0.71431947,0.65714014,-1.5538595,-0.6827011,-0.5986486,0.19114366,0.92397034
Subject_31,0.30508044,-0.7068808,0.76748604,0.2220145,-0.08541255,1.492512,-1.7303927,-1.3361572,-0.9801589,-0.11886354,2.0770578,1.4062941,-1.9134837,-0.70818526,-1.0502584,-2.1032877,-0.67212343,-1.2204245,-0.00736664,-0.12321846
Subject_32,-0.21857941,-0.47753394,0.6175609,0.9939655,-0.33040065,-1.117036,0.050988313,1.1937524,0.55457765,0.41898042,1.3953557,0.27402717,-0.16904448,-0.82904917,-0.8544959,0.8720154,1.470244,0.7603262,-0.44808647,0.83595306
Subject_33,1.1686255,1.0773667,-0.036730096,0.17246477,-0.39797872,-0.8903923,1.134066,0.13495174,-0.9551048,-0.028402837,0.7091354,-0.7406799,-1.5500603,-0.5902401,-1.6563098,-0.67900884,-0.5738141,-2.6497498,0.32688826,-0.77826756
Subject_34,-0.9326048,1.5535755,0.6624076,0.093894295,0.83479375,1.1164728,0.5722083,0.68901443,-2.23715,-0.75136787,0.8574874,0.77922434,0.97230756,-0.31503582,-1.6375185,-0.11243127,1.9885547,0.8634033,-0.6139198,-0.5516333
Subject_35,-0.92820984,-1.1437988,0.09738813,0.35193843,-2.1671941,1.2441401,-0.511195,-2.2199764,0.33873114,-1.9622606,0.031966075,0.7027539,-1.1413585,0.030448336,-0.47132036,0.97244406,-0.97765994,1.0202427,1.0526457,0.63745517
Subject_36,-3.249695,-0.5104697,0.057639074,-1.2373277,-0.9365963,0.85155034,0.71318674,0.2659275,-3.4020703,0.8593541,-0.16221543,-0.5607004,-0.6506887,0.17333254,-0.76943856,-0.61956716,-0.02134246,-0.3631541,1.1207649,1.8912159
Subject_37,0.09233569,-0.9256765,0.59438074,-1.05792,-0.14061758,-0.14776054,0.045012724,-0.34524238,1.7468992,1.2619083,-1.6250186,0.055294838,0.22806232,-0.96080244,0.16328125,0.36470398,0.19548291,-0.004812598,0.36900523,0.80888474
Subject_38,0.7785538,0.4584838,-0.9648148,-0.9169041,0.87991863,-0.57372713,2.2420373,0.84070224,-1.2097151,0.36583638,1.6842898,-0.57698673,-0.56547433,-0.0549623,-0.03783104,0.42836657,0.0793598,-0.15925068,1.2578933,0.2881695
Subject_39,-0.7547629,-1.500543,-0.62929565,-0.66618794,0.64349484,0.72958916,-0.48657045,1.4494532,-0.0020258348,1.1724981,-1.3066366,1.1774259,-0.003550838,0.6224763,-0.54963106,0.53942865,-0.42836896,-0.63573897,-0.53912854,0.19833435
Subject_40,-2.5238044,-2.0865796,0.8430635,-1.7908785,0.93343323,0.8908504,-1.7591724,-0.6046691,-0.6853706,-1.3498117,0.0072266883,0.31060278,0.7872633,-0.47052822,-0.9214141,-0.20099567,-2.3832574,1.4506418,-0.3766319,0.19417262
Subject_41,-0.25546086,0.5848684,1.0697986,1.7318299,0.16870664,-0.1931191,-0.14655276,1.3568336,-0.7249808,0.16761109,0.6483137,-0.04201693,-0.16603975,0.2004291,0.23054442,-0.3909418,0.6273397,-0.37409765,-0.10858969,-0.028364744
Subject_42,0.07493427,0.73517424,0.06285837,1.1404896,0.5797691,1.4092346,-1.0466304,-1.0037588,-0.23575999,0.95211834,0.15693104,-1.6738178,0.93794924,-0.9398398,0.03315926,0.53777564,0.9333181,1.1953845,0.37612244,0.16917683
Subject_43,-0.5855225,0.86178315,-0.094636016,-0.8423503,0.26791775,-0.45315278,-0.48021662,-0.7794746,1.2426559,-0.48557273,-0.71762013,1.7220795,-0.047797665,-0.004153507,-0.6765129,-0.14241832,1.1147095,0.06049862,0.7332834,0.09129378
Subject_44,0.7720902,-0.5756745,0.598562,-1.1144252,0.23962995,-0.3602931,-0.008950604,1.3760096,0.9668412,-0.8324225,0.46614477,0.8491487,0.6693922,-1.1991397,-1.0446861,-1.553505,-0.62795436,0.3107232,-0.080715045,1.3386225
Subject_45,0.0057429983,0.18412128,0.48242515,0.12370611,-0.59416527,-1.3262347,-0.86290264,-1.2039564,-0.73809814,0.96644557,-0.93365,-0.60429966,1.4507023,0.2324738,0.24858674,-2.0801091,-0.849361,0.6562513,0.0035016518,2.053276
Subject_46,-0.24435121,-0.5256163,-0.105070725,-0.25881606,0.26775044,-1.008676,-0.6792609,-0.19977629,-2.0471544,0.114301376,-1.1088705,1.2717376,1.6695856,-0.13006674,0.04498991,-0.3576902,1.7169644,-0.7054771,-0.6718613,0.48794955
Subject_47,-0.8742071,-1.1389171,1.9206432,0.42052263,1.655599,-1.4982604,0.6105594,-2.074932,0.05902013,-0.3064198,1.1411237,1.4804032,-0.06883346,0.22347306,0.36601096,-0.948467,1.1631969,1.1119771,-0.62725765,0.8077899
Subject_48,-1.1692746,0.52459604,-0.5595878,-2.9972734,-0.42800426,0.3310957,-0.6584018,0.4842509,0.6615548,0.9959182,-0.5237536,-0.5274854,1.842778,1.2077655,-0.3916748,0.5304599,0.37372622,-1.0310159,-0.55240256,-0.17707224
Subject_49,-4.37634,-0.854327,-1.3748509,0.5311356,4.3286266,-0.041651417,1.1571279,1.3071501,-0.90392345,0.35524625,0.89340913,-0.818961,-0.9111845,1.7309632,-0.31022036,-1.1460433,1.1124558,-0.23356624,-0.40301597,4.5645413
Subject_50,0.24335523,-0.54519206,-0.9171042,0.95496136,-1.3003738,-0.1939464,-2.1300967,0.89346313,-1.1026555,0.77011704,-1.1466949,1.008353,0.8542017,0.042985834,0.19453166,-0.86017764,-0.47253352,0.15616155,-0.20088692,-0.25121918
Subject_51,0.3986955,-0.084997036,-0.16155261,-0.7029886,1.3609611,0.09184614,-1.7178456,-0.16364136,1.1887488,-0.23632279,-0.55715,0.6422743,-0.30135235,-0.52200377,0.1251905,-1.8930787,-0.93783635,0.45452628,0.48185122,1.3523885
Subject_52,-1.1564451,2.3182135,-0.51129,-1.2854487,-0.6805674,1.2323763,0.9394216,-1.0284715,-0.68162864,1.7341317,1.7733698,-1.4137282,0.61168605,0.045520682,-0.24625155,0.6538462,-0.6316084,0.5461208,-1.6227726,1.027621
Subject_53,-0.098281465,-0.14315961,-0.18786676,0.5441525,0.44756106,0.8046636,1.5893728,-0.75120467,0.79616976,-0.5486816,1.7267184,-0.6391842,-1.7409987,1.2626437,0.11309564,-1.2103841,2.416341,0.091872856,-0.2130051,-0.28731537
