factor_index,max_loading,mean_loading,median_loading,std_loading,nonzero_count,nonzero_pct,is_effective
0,2.2516,0.5503,0.4447,0.439,856,0.9907,True
1,2.2127,0.5647,0.4711,0.4316,856,0.9907,True
2,2.1135,0.6978,0.6507,0.4656,858,0.9931,True
3,2.2674,0.5791,0.47,0.4381,855,0.9896,True
4,2.3966,0.5955,0.4607,0.5004,850,0.9838,True
5,2.5132,0.6268,0.5321,0.4622,856,0.9907,True
6,2.1584,0.6742,0.6311,0.4304,860,0.9954,True
7,2.2938,0.4935,0.3959,0.4002,854,0.9884,True
8,2.3002,0.5721,0.4837,0.4551,853,0.9873,True
9,3.2963,0.5894,0.4784,0.4494,852,0.9861,True
10,2.2569,0.5824,0.431,0.483,857,0.9919,True
11,2.703,0.6378,0.5492,0.4892,852,0.9861,True
12,2.4416,0.5774,0.4446,0.4766,854,0.9884,True
13,2.7906,0.6837,0.5866,0.4804,853,0.9873,True
14,2.1474,0.6463,0.5569,0.453,858,0.9931,True
15,2.3107,0.5871,0.4448,0.4777,855,0.9896,True
16,2.3848,0.6377,0.556,0.469,854,0.9884,True
17,2.1516,0.6958,0.6658,0.4475,860,0.9954,True
18,2.7938,0.564,0.4428,0.4717,855,0.9896,True
19,2.2272,0.5175,0.3899,0.4202,852,0.9861,True
