Factor_Index,Matches,Match_Rate_%,Status,Mean_Similarity
0,1,25.0,Unstable,0.5735144354403019
1,1,25.0,Unstable,0.6353032812476158
2,2,50.0,Unstable,0.5867890901863575
3,1,25.0,Unstable,0.5408895593136549
4,1,25.0,Unstable,0.7135173231363297
5,1,25.0,Unstable,0.6290100067853928
6,1,25.0,Unstable,0.4988560378551483
7,1,25.0,Unstable,0.5204489827156067
8,1,25.0,Unstable,0.6449867784976959
9,1,25.0,Unstable,0.6684768199920654
10,1,25.0,Unstable,0.6396681293845177
11,3,75.0,Robust,0.8460870534181595
12,1,25.0,Unstable,0.5378120541572571
13,1,25.0,Unstable,0.44819854386150837
14,1,25.0,Unstable,0.738110713660717
15,1,25.0,Unstable,0.5186399631202221
16,1,25.0,Unstable,0.727363184094429
17,2,50.0,Unstable,0.608897976577282
18,1,25.0,Unstable,0.6499545238912106
19,1,25.0,Unstable,0.6877845823764801
