Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14,Factor_15,Factor_16,Factor_17,Factor_18,Factor_19,Factor_20
0.11979524,0.82742304,1.0341362,0.480742,-0.7400444,0.61935455,1.5571243,0.25503576,0.084740885,-0.41167796,0.9769756,-1.1767414,0.03273096,1.1916897,0.8319591,1.427301,0.5515329,-1.1182406,0.11072243,-0.21489722
-1.8770691,0.32424855,0.43784282,0.36758724,-0.11560929,0.9667066,0.4768224,0.31529927,-1.7600194,-1.7660242,-0.19754525,-0.77984273,-0.14100671,-0.013124676,0.025719732,1.2659044,0.22466594,-1.309686,-1.32622,1.9738184
1.0979824,0.97246605,0.9383566,1.2556661,-1.6062163,0.26143834,1.5437757,-1.4176923,0.511561,-1.0902102,1.0338576,0.030366465,-0.42410228,0.64511526,0.13412698,-0.79029113,0.08128443,-1.1769158,-0.7724411,-0.66723955
-0.14999887,0.8150826,-0.7735136,-0.114823155,0.5498142,0.0384243,-0.6002073,0.17016482,-1.2765244,0.49349472,-0.21639252,-1.31178,-0.9177469,0.8845022,0.8686717,0.3581076,1.1490338,0.8829488,0.36970112,-0.88412124
-1.1888798,-0.6090676,-0.17700918,0.52593017,0.6269434,-0.20409264,0.956332,0.17890088,0.000772287,0.75730544,-0.5641538,-0.9987545,-0.058981705,0.107888415,-0.7877767,-0.72039664,0.15529406,-1.223925,-0.3149554,0.15537763
0.7780287,0.33543482,-0.5891965,1.4129928,0.25256237,-0.44309816,1.0171666,-0.25699744,0.2953359,0.14320613,0.538572,-0.80783623,-1.232131,-0.3558787,-1.7641455,0.631736,0.967703,-0.76212364,-2.8108313,-0.7696698
-0.19766974,-0.42155036,-0.2316685,-0.3304056,0.09471474,-0.8217721,1.056438,-0.13847294,0.82079804,1.4255786,0.6646213,0.17161052,0.27885035,-1.38453,-1.1044124,-0.1980275,-1.0814083,-0.7873653,-0.92623943,-0.33951554
0.05811725,-0.66632104,-0.83848566,-0.44831538,0.6502334,1.4450988,0.9605518,-0.15737058,-0.25732166,-0.43232545,-0.09540389,-0.7893031,0.05457184,-0.67554194,0.09882189,0.4640209,-0.67047423,-0.3901589,-1.0440418,0.34931183
-0.7746133,-0.52818257,0.033046667,-0.7002657,1.4769957,-0.31164125,-2.157585,-0.8654991,-1.426017,-1.0226579,-0.30475053,-0.16371632,-0.1585212,0.3827064,0.8484186,-0.64856946,0.45053703,-0.41257304,-1.3619479,-2.784355
-0.27012268,-1.1712826,0.62671024,-1.2638236,0.90302,0.33943802,0.8743997,0.3339296,0.13854963,-0.72656935,0.37847674,1.167523,-0.28732154,-0.5501693,-0.17967,-0.97894675,0.871049,-1.166122,-0.9049984,-0.09502996
