Subject_ID,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14,Factor_15,Factor_16,Factor_17,Factor_18,Factor_19,Factor_20
Subject_1,-0.22432765,0.33122253,0.5052031,2.5882437,-1.2882308,-0.2647975,0.4483533,0.068045564,-0.572086,0.4530713,-0.42486247,-0.5274845,-2.5852466,-0.40550587,-1.1403584,0.18858327,-0.6688413,-0.051030885,-0.04578033,0.28650838
Subject_2,-1.450683,0.11236617,0.13003302,0.59109753,1.6436975,-0.93546754,0.0476442,-1.4901643,0.76824975,-0.20781456,-0.71917015,-0.21531881,0.50417215,0.752771,-0.074506305,-0.76755863,1.619316,-0.13231593,-0.4463387,-1.7722021
Subject_3,-0.45959723,-1.0049899,0.46370262,0.62179995,-0.6813063,-1.1546044,1.2036079,-0.62094766,0.6866701,0.5094299,-1.2702402,0.32749638,1.1523491,0.014690864,-0.30592382,1.1510961,0.734301,-1.3509864,0.29735392,0.049186178
Subject_4,-0.5017899,-0.21442612,-1.9932121,-0.27575538,-1.3071119,-0.75678504,-1.5094026,-0.6081452,1.8544214,-0.46907172,-0.63857096,1.3039107,-0.9539433,1.6470606,1.76622,0.63728905,-1.0907682,1.724852,-0.8065655,-2.380455
Subject_5,-1.054251,1.2376851,1.6140896,0.9864935,1.1052306,-0.77384907,-1.7959588,0.16671269,-0.3527377,0.94244725,-0.11951836,-1.1900862,0.27968922,-0.078005776,0.16163829,-1.3764423,-1.2406187,1.2226144,-1.00068,-0.3957433
Subject_6,-0.1096049,-0.23908003,0.27459875,-0.21347247,1.7333146,1.2290573,0.054709386,0.56608677,-1.67509,-0.5531584,1.8053269,0.29030585,0.95595765,0.5669843,-0.17705801,-0.5093929,0.17898142,-0.4474283,1.9882325,0.3443387
Subject_7,1.727014,1.2363688,0.56678843,1.6186845,0.8122406,-1.107918,-1.331462,1.3272548,0.6295848,-2.12291,1.1588973,-0.42300114,-0.69218946,-1.7047071,-0.3017213,1.1071075,-1.4677244,-0.63543904,-1.1352402,0.44580927
Subject_8,0.4027147,0.087700054,0.91842675,-0.4820709,-0.1336455,-1.0149407,-0.019106923,0.7557764,1.0438203,-1.3346249,1.1611204,0.5613491,-1.0258412,-0.3539886,-0.17477432,1.0521786,-0.93039596,-0.08436064,-1.1693813,0.025286457
Subject_9,1.1654539,-1.310986,-0.034762017,0.26469925,0.4801648,-0.25046396,0.15842915,-1.7001944,0.29825097,0.79195225,0.013702396,-0.9055227,2.6841004,0.50175947,-0.28873387,-1.6480566,0.048088267,0.19149615,0.5533977,0.018474178
Subject_10,-0.9033938,0.3342064,0.06286142,0.85620636,1.2122368,0.18482326,0.9715839,0.28447378,0.46347007,-0.5353529,0.01319054,0.008325884,0.393774,-0.82978576,-1.0416133,-0.7866764,1.2083676,1.0325178,-0.45826656,0.27358675
Subject_11,0.5855476,-1.9592308,1.4513166,0.32155672,1.7941971,0.7436679,0.146948,-0.69050455,1.1220456,0.6829138,-0.6258572,0.92172486,-1.9572616,1.2404641,-0.35889828,-0.5653282,-1.0461826,-0.024941912,0.41888505,0.19851813
Subject_12,1.0300575,0.10189143,-0.28989512,0.42791215,0.14270335,0.2247056,0.049177628,0.52709675,-0.24744767,-1.0312299,-0.38805747,0.08880978,-1.2643081,1.3987836,-0.12539782,0.37845266,-1.5147171,-0.088344,-0.35601857,0.5442466
Subject_13,-0.10788674,0.8175603,-0.17773895,0.28966823,0.3578232,-1.0929234,-0.007836734,-0.30389696,-0.2597494,-1.4001269,-0.45997742,0.6792748,-0.84517395,0.34460354,0.08032689,0.6980411,-0.6309864,-0.40265432,1.0346104,-0.25560462
Subject_14,1.3213187,1.1585647,-0.54737014,0.6387539,-0.62495315,-0.3891358,0.5146015,-0.29472342,1.1888275,-0.30857703,0.6169089,0.13649656,-0.5168889,-0.6517391,-0.71143365,-0.41114604,-0.4037955,-0.4056916,-2.0830688,-0.8299228
Subject_15,0.01827618,-1.4342916,0.41583043,-1.1362134,0.9853373,-0.77220726,0.02562413,-0.7226236,-0.9130541,-0.4318156,-0.18974423,0.19464344,-0.27984303,0.12638445,-0.21774256,-1.6443113,0.70237654,0.013818093,0.094617754,0.16460626
Subject_16,0.9559125,-0.708663,0.18134153,-1.4299495,1.5090593,1.0355304,-0.3082076,-0.71244234,0.8393927,-0.81451344,0.26355454,1.2476453,-0.54868287,-0.0671731,0.92534506,0.4112264,0.022263449,1.18762,-0.9622863,-0.068400525
