Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14,Factor_15,Factor_16,Factor_17,Factor_18,Factor_19,Factor_20
-0.308425,0.24544403,0.18309575,-2.0179193,0.6952569,1.2644756,-0.01530956,-0.3741715,-1.4228567,2.3341794,-0.481924,-1.5345525,0.4217602,0.24423,1.703556,-0.9709232,-0.7813999,0.7412549,0.4196565,-0.16640887
-0.26589373,0.58641255,0.6749821,-1.3407868,0.5374579,0.5231481,0.90322673,-0.26996347,-0.9001502,-0.9123057,-1.28901,-0.614573,-1.6330289,-1.8821102,0.13664638,-1.7132671,-0.14323778,0.8103036,-1.1635256,0.7062283
0.19863297,0.048376452,0.13037331,-0.10797885,-0.53701705,-0.011942775,0.2745844,0.17428298,0.1451723,-0.28911886,-0.0475998,-0.1810491,1.1236356,-0.40072292,0.21244243,0.20182213,-1.5057491,-0.5863803,0.61412245,-0.27305582
0.46270153,0.6019464,0.79214305,-0.8315491,-1.1937008,-0.72252405,1.0222877,-1.5560048,0.6376301,0.049619503,-0.97961164,-2.0918686,0.8423839,-0.1652798,-0.6922119,-1.2717782,1.3337795,1.2857351,0.14458333,-0.2964175
-0.55479527,1.1475459,-1.7524948,1.3656899,-0.14067894,0.67134815,0.5933266,0.653813,0.07923849,-1.2011447,-0.25075018,0.41708866,-1.2883027,-1.61717,-1.4545863,-0.91528875,-0.22665887,1.4065802,-0.3430358,-0.44606167
-1.2345692,1.043186,0.41056174,0.5475612,1.8127247,2.0709367,-0.7014116,-0.7041008,-1.4729335,2.0042827,-0.37277332,0.33278278,1.2117325,1.7687933,1.0082333,-0.4566019,0.41134438,-0.34385985,-0.06827845,0.38415396
1.6275685,-0.7109415,-0.048009977,1.9064264,0.42481607,0.4845804,1.684485,0.8473512,0.11599092,1.60797,0.9242802,-0.6311602,-1.179394,1.0890648,0.74873626,-0.043828394,0.8845679,1.9052287,0.82020944,0.2525691
1.5074531,0.4911991,0.90070915,-0.7853355,0.6679676,-0.630058,-0.15000123,-0.45123857,-1.2330376,0.45200592,0.5457238,0.48483634,-0.3727905,0.079729974,-0.25599375,-0.070441715,1.5761535,-0.9719595,0.19367905,1.016113
-1.3819885,-0.15549925,-1.2596316,0.60615075,-1.2941296,0.531607,-1.2513367,-1.3857263,-0.053775307,-0.04484118,-1.2372618,-0.8343718,0.16930234,1.3413167,0.32574624,1.5999097,-0.08952807,-0.18256874,-1.0843099,-0.7955634
1.1627747,-0.457838,0.45990822,-1.6181413,0.01820695,0.16039836,1.4230438,1.3597304,-0.12123912,0.89435863,0.5663849,-1.3888079,0.47703055,-0.8498514,-0.24308574,-1.0896865,1.4277099,0.56831014,-0.43458498,-0.6386579
-0.6037558,0.08932646,-2.1880019,1.3886743,0.24832195,1.8953707,1.9929956,-1.3527383,-2.1493611,-0.9693451,-0.72884625,-0.012448266,-0.098322056,0.60967964,0.9435053,-0.9429458,-2.6293962,0.52692896,1.4578086,-0.8141912
0.8772852,-0.019681849,-0.37513098,-0.9698696,0.20351022,0.72660524,2.3690937,0.8552462,-0.8592147,-0.31523156,-1.5959351,-1.1379076,0.078775644,-0.12668808,-0.67157084,-0.54522145,-1.0476673,-0.47024536,1.1119556,-0.9464953
-1.0795131,0.38577938,1.0111268,-1.0482135,0.046320956,-0.9505061,0.96547794,-1.1029075,-0.9757532,0.09688299,0.85296524,-1.5149195,0.27803844,0.040244013,0.7371042,0.78321385,-0.7133197,-0.109158255,-0.26337928,-0.2961581
0.3312369,-1.6341808,0.24965815,-1.455479,1.9574585,-1.1976216,-0.5232757,-1.1620407,-0.81273156,-1.0268859,-0.72564477,-2.4662666,0.18169136,1.3083836,-0.2894429,-0.4800985,0.3929698,0.5830016,-0.9464059,-0.201766
0.96182,1.6196879,-0.6055655,1.3312407,-0.3651975,0.691157,-1.4691688,-1.1814396,-0.53611535,1.3136842,0.69630533,0.6484497,-1.3342578,0.34693167,-0.29664487,0.81385905,0.5806284,1.1314827,0.5934648,-1.6926591
-0.5868972,0.81398803,0.0582731,-0.89431113,1.0664974,0.7607917,0.058149643,-0.4181187,-0.007999677,-0.5948623,-0.10421401,-0.36837876,-0.21098611,0.81148493,-1.0463566,-0.48503667,-0.22908412,-1.4099953,-0.38837266,-0.12832591
-0.29852724,0.49106568,-0.5771647,1.26265,0.07707231,-0.6412849,0.6074283,0.21658336,0.45641378,0.64604056,-1.722043,0.5423224,0.34162864,-0.13089506,-0.34505078,-1.2300947,2.0615478,0.31116974,0.5289511,0.9230381
-1.1138878,0.71082056,-0.058249563,-0.04908486,0.32684457,-1.2641968,0.2834911,0.57595074,0.16773537,1.4937443,-0.8009109,-0.7253258,-0.16443463,0.6720549,0.107226335,-0.45188713,-1.6265333,-0.48050416,-0.16704534,-1.7338204
-0.47620288,0.21303867,0.027062127,0.80731094,-0.64022475,-0.77415216,-0.8015386,-0.9289637,0.17336395,0.64030445,1.0329984,-0.31456995,0.6656536,0.70947963,-0.7686714,-1.2350084,2.7694812,-0.89588755,0.80652875,0.3762699
-1.0847565,0.24170202,0.5921485,-0.9651951,0.4282657,-0.56263006,0.29621238,1.0236416,-0.29481432,-0.53569335,1.4311653,1.8457333,1.3361377,0.9050196,-0.3405894,-0.25766954,-1.108897,-0.6001161,-0.7289193,-0.48419094
2.2826197,-0.09050828,0.11483635,0.5165528,-0.97363627,0.002967715,0.76765573,-0.41766572,-1.5034955,1.1807623,-0.2042115,0.5468744,-0.013728492,-0.033299785,-0.010585699,0.38110855,0.20670985,0.22802547,0.6102168,2.2636497
-0.2431782,-0.91668826,1.1578248,0.15762126,-1.2098466,2.0451758,2.0208867,1.9772484,-0.7983119,-0.67876637,0.07067727,0.5887548,-1.9703903,-0.1660345,-0.19443697,-0.4073096,0.45713842,-0.5893153,1.8331482,-0.5765883
-1.1117743,-0.91392726,0.54585576,-0.50704074,-1.1344764,1.9066329,-1.1704069,-0.36370367,-0.1525974,1.5725653,-0.34280688,-0.31390417,0.93159103,0.6906397,-0.7894152,-0.13234378,0.8970158,-0.7173236,-0.7827878,1.2073706
0.07390692,0.06733391,0.3663317,1.9034395,0.4061813,-2.318966,-2.5371952,0.9130591,0.39893067,1.6631392,-1.2989187,0.18174917,-0.20361023,-1.4510926,-0.7934023,-0.8130404,1.4781293,0.07527398,-0.51528853,-1.5839536
-0.68232197,-1.1622066,-1.0270162,-0.7084057,0.31226435,1.1349196,0.70299596,-0.32631296,-1.381914,1.0651642,-0.3994777,0.54894173,-1.0606723,-0.01633914,-0.13381763,-1.2623446,-0.114200085,-0.18867777,1.1621315,-0.5585032
0.89159214,-0.2643465,0.32239938,-0.6874074,0.5344006,-0.95478576,0.5063986,-1.0922825,0.35644445,-1.1269048,-1.0163101,0.048326768,0.21656586,-0.8256472,0.51225066,0.16825743,1.2079942,0.7131229,0.75377995,0.45369843
-0.22627163,0.60104525,-1.8287028,-0.57968515,-1.2916392,-0.2566339,1.5863402,0.11900849,-0.13458505,0.48427024,0.71988094,-1.0829006,-1.5127504,0.4213636,0.65615195,-0.80515873,0.68208265,1.0708054,1.31457,-2.0884185
1.6238235,-0.20092125,-1.0924752,-0.28974256,-1.065447,-0.34300455,1.4362708,-0.3414429,0.85906374,-2.0436654,-1.2523615,-0.43844014,-0.30415386,0.8177942,0.47122154,0.35202193,0.17448285,0.64750654,-0.4498019,-1.3052738
0.15066536,-0.09669715,-0.8966797,-0.65405893,0.5761246,0.5281324,0.84032494,0.91140974,0.15246741,0.8988721,-1.114492,-1.6210945,0.17218311,-0.65465266,0.09412214,0.4197106,1.3917521,-0.21917461,0.6119356,-2.2961018
0.13448115,-0.27313527,0.7922455,-1.2862818,-0.6132919,0.5829816,0.04828273,-0.28133798,2.1605089,0.40155157,-0.8882656,0.33344996,-0.049552433,1.3562486,-0.51161927,-0.88290185,-0.3663192,-0.50387776,0.76278955,0.62652874
