Subject_ID,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14,Factor_15,Factor_16,Factor_17,Factor_18,Factor_19,Factor_20
Subject_23,-0.091104195,0.38043973,-1.1878479,-1.6468256,-0.8725111,0.44459778,-0.67944896,1.345931,-0.22896801,-1.716954,-0.22615273,1.6245235,0.63472015,1.4412389,0.57490635,-1.162384,-5.4490275,-0.5030767,-1.0371981,-1.5357896
Subject_24,-0.8042914,-1.0038946,-0.6277576,0.063528866,1.4000146,-0.28337818,-1.4394174,0.46526614,-0.6519821,0.55665445,-1.287572,0.024545036,0.41270843,1.0591197,0.9210615,0.5149968,0.65253615,-1.1585249,-0.7624571,0.76102936
Subject_25,-0.9709766,0.8808278,1.2053338,1.1233529,0.7829495,-1.4799339,0.5257185,0.3562472,-0.62348706,-0.30823484,-0.35043898,-0.4515434,-0.954073,-0.9833633,1.7423129,0.73086816,0.18327115,0.7860211,-1.5051805,-0.6480913
Subject_26,-0.31671557,-0.013272225,0.5654706,0.90822566,-1.0482888,0.28098777,0.1660235,-2.7205553,0.44079164,-0.14521635,-0.6271806,0.8829879,-0.31415096,1.2522119,-0.030390792,0.33318672,0.28871214,0.50217944,0.43817395,-2.4182389
Subject_27,-1.0874267,-0.223263,-0.60842353,-0.007845831,-1.2147325,-0.7173144,-0.35793942,0.21286722,-0.6110496,0.049418554,0.03925738,1.0829133,0.94780266,0.46359387,1.6151626,-1.0575353,0.37243274,-0.14006165,0.43255058,1.9092127
Subject_28,0.018154347,-1.1560189,0.10469119,0.18735537,-1.2651284,-0.13903305,0.27901304,0.80848134,0.8706647,0.10007732,-1.2569038,-0.50147074,0.9685824,0.21577704,1.4466723,0.53287584,-0.8796556,-0.8034578,0.018360889,0.22098792
Subject_29,-0.5804928,0.46090627,0.61555463,-0.64378244,0.058927957,0.8132102,-1.3597386,-0.79686457,0.4520049,0.1239048,1.4400572,1.9079098,0.8036095,-0.015932662,1.00728,0.9944625,0.15744615,0.19826649,0.08765906,-1.2160856
Subject_30,1.65901,0.14194618,-1.0541303,-0.19854024,-0.089954354,1.0659705,0.6135419,1.6270362,-0.3257573,-0.60096717,0.48323315,-0.57511157,1.6549929,-0.24141969,0.6479589,-0.7455761,-1.7219515,-1.4871398,-0.2919593,-0.23270495
Subject_31,-0.68717396,-0.6466358,-0.69690746,-0.0948126,-0.34861287,0.06901896,-2.0111635,0.39182365,0.61478966,0.5951749,0.84703374,0.81280494,1.7720109,0.55748916,-0.08836388,0.08376727,-1.2017018,-0.33761647,0.007778319,0.57347405
Subject_32,0.13762249,-0.44699958,0.64811575,0.9670115,0.5458895,-0.12040571,-0.059320077,0.0700419,0.82624006,-0.2548415,-0.16314982,-0.722925,0.29882905,-0.24994314,-0.2689434,-0.16171266,-0.71508616,-1.1383053,-0.47077084,-0.52043074
Subject_33,-0.1111009,0.4460666,-0.031989936,0.25246763,-0.26102987,-0.09688543,0.1134682,-0.7278445,-0.74973017,0.76962656,-1.4256094,-1.3342031,0.06868753,-0.20287576,-0.14675799,1.1891533,0.30156577,0.5108073,-0.9244095,-0.57570845
Subject_34,0.02051116,1.8455575,0.8105411,0.120059766,-0.20775571,0.5794678,-0.51481307,-0.21965328,-1.6615582,-0.8243415,-0.6981346,0.87128675,0.2913041,-0.10373899,-0.047513038,-0.5395282,-1.3835663,0.33371308,0.457107,-0.54347
Subject_35,-0.027999409,-0.8225954,0.31427488,2.1928635,-0.46402583,-1.199785,1.2332631,0.55414796,-1.532432,-0.28752264,-0.29821926,0.7320306,0.54640883,-1.4181362,-0.18703265,-1.0942034,0.079176575,-1.0264623,0.43212348,0.2613924
Subject_36,1.1101246,0.11764229,0.59427106,1.9984692,-0.12402232,0.75966036,-0.48774293,-0.017222544,0.07002632,-0.76999766,0.38281658,-0.027336825,-0.530817,1.0863581,-0.16562396,-2.5624914,-0.45314312,-2.2440584,-1.4849193,0.9185762
Subject_37,0.3927049,-0.94877076,0.85641235,-0.122469,-0.35112742,1.442886,0.42908093,-1.7044698,0.7083088,-0.24749175,0.075606935,-1.235091,0.5552572,0.5166805,0.091209754,0.1610075,-1.7302167,-1.3495034,0.36751527,-0.9639174
Subject_38,-0.48743975,0.83079976,-0.18541725,-0.12304483,0.60971826,0.59343517,0.1087435,-0.25032866,0.190805,0.006959103,-0.7671935,-0.92136985,-0.5898869,1.0440944,-0.48983684,0.5715217,0.00025961103,-1.1699038,-0.2991107,-0.7053897
Subject_39,-1.9072933,2.0647295,-0.935628,-0.10118002,0.7752515,-0.36855713,-0.99371034,0.09968417,-0.6469868,-1.0000875,1.1249211,-0.29211324,0.2730026,1.250401,-1.395967,-0.4748587,-0.05752279,0.8516249,1.3178854,0.4018361
Subject_40,0.5266667,0.248897,1.3824011,0.53861797,-1.2841026,0.06502654,-1.3511738,-1.3349099,0.20965055,-1.313192,1.983635,1.0066665,0.28154856,0.87656,-0.22787377,-0.9921731,-0.14857337,-0.12140194,-0.61756057,0.05659348
