Subject,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4
Subject_0,1.3640884,-0.08166054,1.006801,0.7003346,1.8160186
Subject_1,-0.019053368,0.82390255,0.14642851,0.022736983,0.45589793
Subject_2,0.058326654,-0.71004295,0.025046028,-0.5290539,-0.43827525
Subject_3,0.53766435,-1.9550858,0.23977241,-0.98180825,-1.2825568
Subject_4,1.0830219,-1.9415783,-1.3909729,-1.0994403,-0.38036132
Subject_5,2.0494256,-1.0067192,0.05578169,1.2409811,-1.3762845
Subject_6,0.34311354,-0.785519,0.74991685,-0.15999444,0.53445286
Subject_7,-0.8975297,-0.4145726,1.2666798,-1.3370663,-0.31656745
Subject_8,-0.5417399,0.6018519,0.14887948,1.5989306,1.8426635
Subject_9,-0.47601068,0.5738215,0.29410738,0.09385698,-0.15376315
Subject_10,0.22918582,0.55962366,1.2199802,1.813684,0.10747126
Subject_11,0.36674315,-0.28599373,0.092070796,-0.81192684,-0.6091653
Subject_12,0.7395145,0.8673755,-1.9775491,-0.41596526,0.46358374
Subject_13,0.36632034,0.66931546,0.95735884,-0.31876302,-0.94960564
Subject_14,-0.08947039,-0.020169193,0.23230036,-1.5904738,-0.90123
Subject_15,0.076326475,1.4002746,0.57395583,-1.2865921,0.9704689
Subject_16,-0.63879037,0.5586614,-0.07722839,-0.6700419,0.560182
Subject_17,0.19118242,-1.1723218,0.9540055,0.31233692,-0.07229132
Subject_18,-0.56970066,-0.29931232,-1.0099583,-0.46220556,-0.89882594
Subject_19,-0.20804366,1.7440145,-1.8644493,0.2907404,-0.06312568
Subject_20,0.13009867,-0.9966366,1.1258397,0.6059621,-0.5385667
Subject_21,1.6213872,-0.44868702,0.83607864,-0.42007968,-0.72426236
Subject_22,-0.8051067,-1.3155062,1.7653776,0.071894884,1.0615512
Subject_23,0.24335413,0.9051993,0.092999525,0.6402735,0.3824706
Subject_24,-0.2194276,0.53459424,-1.4308194,0.30555838,0.7716852
Subject_25,-0.41591924,-1.78489,-0.28299597,-0.31711617,1.919321
Subject_26,-2.7521663,0.8674568,-1.2008314,-0.13511214,-0.22829533
Subject_27,0.62749213,-0.5904041,0.46607468,1.3857183,-0.30691236
Subject_28,-0.75546944,-0.3032943,0.9868705,0.6490417,0.57858884
Subject_29,-1.4408044,0.5226968,-0.90921515,-0.20579265,-0.1714396
Subject_30,-0.5833405,-0.58748025,-0.6783679,0.6242098,-0.34202284
Subject_31,-0.69115263,0.33531353,-0.06385992,0.9887492,0.26684242
Subject_32,-0.24947277,-1.6398185,-0.2503772,0.46102095,0.9224116
Subject_33,1.7138231,-2.1635027,0.3124688,-0.6948526,-1.6757143
Subject_34,-0.62331176,0.4653161,1.1496027,-0.81365156,0.5232725
Subject_35,-1.6903465,1.2026054,1.0608593,0.63127244,-1.197816
